"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"14:54","yes",1,10,"-SF 10","run","SF"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"14:19","no",2,8,"-SF 12","pass","SF"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"13:42","yes",1,10,"-SF 25","run","SF"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"13:07","yes",2,9,"-SF 26","pass","SF"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"13:01","yes",3,9,"-SF 26","pass","SF"
"49ers_at_broncos_2022_reg_3","Denver Broncos",1,"12:50","yes",1,10,"-DEN 29","pass","DEN"
"49ers_at_broncos_2022_reg_3","Denver Broncos",1,"12:24","yes",2,8,"-DEN 31","run","DEN"
"49ers_at_broncos_2022_reg_3","Denver Broncos",1,"12:01","yes",3,8,"-DEN 31","pass","DEN"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"11:07","yes",1,10,"-SF 25","pass","SF"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"10:32","no",1,10,"-SF 45","run","SF"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"9:46","yes",1,10,"-DEN 18","pass","SF"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"9:14","no",2,1,"-DEN 9","run","SF"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"8:38","no",1,8,"-DEN 8","pass","SF"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"7:58","no",2,3,"-DEN 3","pass","SF"
"49ers_at_broncos_2022_reg_3","Denver Broncos",1,"7:56","no",1,10,"-DEN 25","run","DEN"
"49ers_at_broncos_2022_reg_3","Denver Broncos",1,"7:23","yes",2,7,"-DEN 28","pass","DEN"
"49ers_at_broncos_2022_reg_3","Denver Broncos",1,"7:19","yes",3,2,"-DEN 33","pass","DEN"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"7:05","no",1,10,"-SF 19","pass","SF"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"6:24","no",1,10,"-SF 35","run","SF"
"49ers_at_broncos_2022_reg_3","San Francisco 49ers",1,"6:02","yes",2,10,"-SF 35","run","SF"
"49ers_at_broncos_2022_reg_3","Denver Broncos",1,"4:21","no",1,10,"-DEN 20","run","DEN"
