"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"49ers_at_cardinals_2022_reg_11","Arizona Cardinals",1,"15:00","no",1,10,"-ARZ 25","run","ARI"
"49ers_at_cardinals_2022_reg_11","Arizona Cardinals",1,"14:25","yes",2,16,"-ARZ 19","pass","ARI"
"49ers_at_cardinals_2022_reg_11","Arizona Cardinals",1,"13:47","yes",3,10,"-ARZ 25","pass","ARI"
"49ers_at_cardinals_2022_reg_11","San Francisco 49ers",1,"13:32","no",1,10,"-SF 37","run","SF"
"49ers_at_cardinals_2022_reg_11","San Francisco 49ers",1,"13:01","yes",2,8,"-SF 39","pass","SF"
"49ers_at_cardinals_2022_reg_11","San Francisco 49ers",1,"12:56","yes",3,8,"-SF 39","pass","SF"
"49ers_at_cardinals_2022_reg_11","Arizona Cardinals",1,"12:38","no",1,10,"-ARZ 20","run","ARI"
"49ers_at_cardinals_2022_reg_11","Arizona Cardinals",1,"12:06","yes",2,11,"-ARZ 19","pass","ARI"
"49ers_at_cardinals_2022_reg_11","Arizona Cardinals",1,"11:25","yes",3,5,"-ARZ 25","pass","ARI"
"49ers_at_cardinals_2022_reg_11","Arizona Cardinals",1,"10:51","yes",1,10,"-ARZ 42","run","ARI"
"49ers_at_cardinals_2022_reg_11","Arizona Cardinals",1,"10:20","yes",2,8,"-ARZ 44","pass","ARI"
"49ers_at_cardinals_2022_reg_11","Arizona Cardinals",1,"9:49","yes",1,10,"-SF 39","run","ARI"
"49ers_at_cardinals_2022_reg_11","Arizona Cardinals",1,"9:17","yes",2,2,"-SF 31","run","ARI"
"49ers_at_cardinals_2022_reg_11","Arizona Cardinals",1,"8:49","yes",1,10,"-SF 26","run","ARI"
"49ers_at_cardinals_2022_reg_11","Arizona Cardinals",1,"8:12","yes",2,6,"-SF 22","pass","ARI"
"49ers_at_cardinals_2022_reg_11","Arizona Cardinals",1,"8:07","yes",3,6,"-SF 22","pass","ARI"
"49ers_at_cardinals_2022_reg_11","San Francisco 49ers",1,"8:00","yes",1,10,"-SF 25","pass","SF"
"49ers_at_cardinals_2022_reg_11","San Francisco 49ers",1,"7:26","yes",1,10,"-SF 36","pass","SF"
"49ers_at_cardinals_2022_reg_11","San Francisco 49ers",1,"6:52","yes",2,5,"-SF 41","run","SF"
"49ers_at_cardinals_2022_reg_11","San Francisco 49ers",1,"6:12","yes",3,2,"-SF 44","run","SF"
