"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"14:53","yes",1,10,"-ATL 26","pass","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"14:10","no",2,8,"-ATL 28","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"13:41","yes",3,2,"-ATL 34","pass","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"12:56","yes",1,10,"-SF 29","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"12:17","yes",2,7,"-SF 26","pass","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"11:47","yes",3,1,"-SF 20","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"11:10","yes",1,10,"-SF 15","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"10:32","yes",2,7,"-SF 12","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"9:52","yes",3,2,"-SF 7","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"9:12","no",1,5,"-SF 5","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"8:51","yes",2,2,"-SF 2","pass","ATL"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",1,"8:39","no",1,10,"-SF 28","run","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",1,"8:02","no",2,7,"-SF 31","run","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",1,"7:19","yes",3,4,"-SF 34","pass","SF"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"6:58","yes",1,10,"-ATL 32","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"6:18","yes",2,9,"-ATL 33","pass","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"5:41","yes",1,10,"-ATL 48","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"4:42","yes",2,14,"-ATL 44","pass","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"4:17","yes",2,24,"-ATL 34","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",1,"3:44","yes",3,21,"-ATL 37","pass","ATL"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",1,"2:59","yes",1,10,"-SF 11","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",1,"2:21","yes",2,3,"-SF 18","run","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",1,"1:21","yes",1,10,"-SF 21","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",1,":43","yes",2,4,"-SF 27","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"15:00","yes",1,10,"-SF 41","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"13:40","yes",1,10,"-ATL 41","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"12:59","yes",1,10,"-ATL 29","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"12:21","yes",1,10,"-ATL 17","run","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"11:39","yes",2,5,"-ATL 12","pass","SF"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"11:34","yes",1,10,"-ATL 25","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"10:56","no",2,9,"-ATL 26","run","ATL"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"9:16","no",1,10,"-ATL 32","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"8:00","no",1,10,"-ATL 15","run","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"7:13","yes",2,9,"-ATL 14","pass","SF"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"7:07","no",1,10,"-ATL 25","pass","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"7:02","yes",1,10,"-ATL 30","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"6:27","yes",2,2,"-ATL 38","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"5:45","no",3,1,"-ATL 39","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"4:16","yes",2,18,"-ATL 33","pass","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"3:34","yes",3,12,"-ATL 39","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"2:28","yes",1,5,"-SF 41","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"2:00","yes",2,2,"-SF 38","pass","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"1:54","yes",1,10,"-SF 18","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"1:10","no",2,11,"-SF 19","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"1:02","yes",1,3,"-SF 3","run","ATL"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,":57","yes",1,10,"-SF 25","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,":42","yes",2,1,"-SF 34","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,":38","no",3,1,"-SF 34","run","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,":22","yes",1,10,"-SF 37","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"14:53","no",1,10,"-SF 30","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"14:49","yes",2,10,"-SF 30","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"14:43","yes",3,10,"-SF 30","pass","SF"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"13:52","yes",1,10,"-ATL 35","pass","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"13:19","no",1,10,"-ATL 45","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"12:14","no",3,1,"-SF 46","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"11:36","no",1,10,"-SF 38","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"10:53","yes",2,6,"-SF 34","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"10:04","no",1,10,"-SF 14","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"9:22","yes",2,6,"-SF 10","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"8:44","yes",3,3,"-SF 7","pass","ATL"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"8:40","no",1,10,"-SF 25","run","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"8:21","yes",2,3,"-SF 32","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"7:40","yes",1,10,"-SF 40","run","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"6:59","yes",2,6,"-SF 44","pass","SF"
"49ers_at_falcons_2022_reg_6","San Francisco 49ers",2,"6:54","yes",3,6,"-SF 44","pass","SF"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"6:39","yes",1,10,"-ATL 10","run","ATL"
"49ers_at_falcons_2022_reg_6","Atlanta Falcons",2,"5:59","yes",2,7,"-ATL 13","run","ATL"
