"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,"15:00","no",1,10,"-SF 25","pass","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,"14:25","no",2,5,"-SF 30","run","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,"13:43","yes",3,6,"-SF 29","pass","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,"13:04","no",1,10,"-SF 49","run","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,"11:51","no",1,9,"-CAR 9","pass","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,"11:47","yes",2,9,"-CAR 9","pass","SF"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",1,"11:37","no",1,10,"-CAR 16","run","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",1,"11:03","no",2,1,"-CAR 25","pass","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",1,"10:59","no",3,1,"-CAR 25","run","CAR"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,"9:54","yes",1,10,"-SF 15","pass","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,"9:22","no",2,1,"-SF 24","run","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,"8:44","yes",1,10,"-SF 25","pass","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,"8:40","yes",2,10,"-SF 25","run","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,"8:03","yes",3,7,"-SF 28","pass","SF"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",1,"7:09","no",1,10,"-CAR 44","run","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",1,"6:35","yes",2,2,"-SF 48","run","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",1,"5:54","no",1,10,"-SF 43","pass","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",1,"5:20","no",2,8,"-SF 41","run","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",1,"4:40","yes",3,6,"-SF 39","run","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",1,"4:20","yes",4,1,"-SF 34","run","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",1,"3:38","no",1,10,"-SF 31","pass","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",1,"3:33","no",2,10,"-SF 31","run","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",1,"2:54","yes",3,13,"-SF 34","pass","CAR"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,"2:10","no",1,10,"-SF 31","run","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,"1:28","no",2,5,"-SF 36","run","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,":43","yes",3,4,"-SF 37","pass","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",1,":21","yes",1,10,"-CAR 33","pass","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",2,"15:00","no",1,10,"-CAR 21","run","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",2,"14:18","no",2,9,"-CAR 20","pass","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",2,"13:45","yes",2,14,"-CAR 25","pass","SF"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"12:08","no",2,11,"-CAR 21","pass","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"11:36","yes",1,10,"-SF 47","run","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"10:59","yes",2,7,"-SF 44","pass","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"10:39","yes",3,1,"-SF 38","run","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"10:18","yes",3,6,"-SF 43","run","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"9:39","yes",1,10,"-SF 36","pass","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"9:33","yes",1,10,"-SF 31","pass","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"9:27","yes",1,20,"-SF 41","pass","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"8:48","yes",2,10,"-SF 31","pass","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"8:43","yes",3,10,"-SF 31","pass","CAR"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",2,"7:59","yes",1,10,"-SF 25","run","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",2,"7:20","yes",2,9,"-SF 26","pass","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",2,"5:47","yes",3,5,"-CAR 45","pass","SF"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"5:33","no",1,10,"-CAR 7","run","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"5:00","no",2,10,"-CAR 7","pass","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"4:17","yes",3,4,"-CAR 13","pass","CAR"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",2,"4:03","no",1,10,"-SF 46","run","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",2,"3:21","no",1,10,"-CAR 40","run","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",2,"2:00","yes",1,10,"-CAR 30","pass","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",2,"1:56","yes",2,10,"-CAR 30","pass","SF"
"49ers_at_panthers_2022_reg_5","San Francisco 49ers",2,"1:53","yes",3,10,"-CAR 30","pass","SF"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"1:43","yes",1,10,"-CAR 22","pass","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"1:22","yes",2,2,"-CAR 30","pass","CAR"
"49ers_at_panthers_2022_reg_5","Carolina Panthers",2,"1:04","yes",1,10,"-CAR 40","pass","CAR"
