"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"15:00","no",1,10,"-LV 30","pass","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"13:50","yes",2,6,"-SF 46","pass","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"13:11","yes",1,10,"-SF 32","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"12:27","yes",2,7,"-SF 29","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"11:45","no",3,2,"-SF 24","pass","LV"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",1,"11:34","yes",1,10,"-SF 33","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",1,"10:56","yes",1,10,"-SF 44","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",1,"10:17","yes",2,5,"-SF 49","pass","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",1,"9:31","yes",1,10,"-LV 45","pass","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",1,"9:27","no",2,10,"-LV 45","pass","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",1,"8:39","yes",3,3,"-LV 38","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",1,"7:50","yes",1,1,"-LV 1","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",1,"7:09","no",2,2,"-LV 2","pass","SF"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"7:06","yes",1,10,"-LV 25","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"6:31","no",2,1,"-LV 34","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"5:56","no",1,10,"-LV 36","pass","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"5:23","no",1,10,"-SF 37","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"4:44","no",1,10,"-SF 27","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"4:04","yes",2,1,"-SF 18","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"3:17","yes",1,10,"-SF 15","pass","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"3:12","no",1,5,"-SF 5","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"2:34","no",2,4,"-SF 4","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",1,"1:52","no",3,1,"-SF 1","pass","LV"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",1,"1:38","yes",1,10,"-SF 25","pass","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",1,"1:34","no",2,10,"-SF 25","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",1,":50","yes",3,1,"-SF 34","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",1,":10","no",1,10,"-SF 36","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"15:00","no",2,12,"-SF 34","pass","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"14:14","yes",3,6,"-SF 40","pass","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"14:09","no",1,10,"-LV 47","pass","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"14:04","yes",1,10,"-LV 35","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"13:23","yes",2,10,"-LV 35","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"12:56","yes",3,5,"-LV 30","pass","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"12:16","yes",1,10,"-LV 24","pass","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"11:32","no",2,1,"-LV 15","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"10:50","no",1,6,"-LV 6","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"10:28","no",2,1,"-LV 1","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"9:45","yes",3,2,"-LV 2","pass","SF"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",2,"9:38","yes",1,10,"-LV 25","pass","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",2,"9:01","no",2,5,"-LV 30","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",2,"8:20","no",1,10,"-LV 37","pass","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",2,"7:34","yes",1,10,"-SF 39","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",2,"7:08","no",1,10,"-SF 23","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",2,"6:31","yes",2,1,"-SF 14","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",2,"5:52","yes",1,10,"-SF 11","pass","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",2,"5:48","yes",2,10,"-SF 11","pass","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",2,"5:04","yes",3,10,"-SF 11","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",2,"4:33","no",4,1,"-SF 2","run","LV"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"4:29","no",1,11,"-SF 1","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"3:51","no",2,7,"-SF 5","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"3:24","no",2,9,"-SF 3","run","SF"
"49ers_at_raiders_2022_reg_17","San Francisco 49ers",2,"2:47","yes",3,5,"-SF 7","pass","SF"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",2,"2:33","yes",1,10,"-SF 44","run","LV"
"49ers_at_raiders_2022_reg_17","Las Vegas Raiders",2,"2:00","yes",2,6,"-SF 40","pass","LV"
