"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"14:54","no",1,10,"-LA 29","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"14:18","no",2,10,"-LA 29","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"14:14","yes",3,10,"-LA 29","pass","LAR"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",1,"13:11","yes",1,10,"-SF 27","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",1,"12:33","yes",2,1,"-SF 36","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",1,"11:49","yes",1,10,"-SF 41","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",1,"11:13","yes",2,6,"-SF 45","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",1,"10:34","yes",1,10,"-LA 44","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",1,"9:51","yes",2,9,"-LA 43","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",1,"9:44","yes",3,9,"-LA 43","pass","SF"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"9:30","no",1,10,"-LA 12","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"8:46","yes",1,10,"-LA 32","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"8:05","no",2,4,"-LA 38","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"7:25","yes",1,10,"-LA 42","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"6:39","yes",2,6,"-LA 46","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"5:55","yes",1,10,"-SF 44","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"5:13","no",2,9,"-SF 43","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"4:35","yes",3,3,"-SF 37","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"3:58","no",1,10,"-SF 34","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"3:51","yes",2,10,"-SF 34","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"3:13","yes",3,9,"-SF 33","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"2:36","yes",1,10,"-SF 10","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"1:54","yes",2,4,"-SF 4","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"1:49","no",1,2,"-SF 2","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"1:05","no",2,2,"-SF 2","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,"1:01","yes",3,2,"-SF 2","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,":57","no",1,1,"-SF 1","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,":54","no",2,1,"-SF 1","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",1,":16","no",3,1,"-SF 1","run","LAR"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",1,":01","yes",1,15,"-SF 24","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",2,"15:00","yes",2,6,"-SF 33","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",2,"14:20","yes",3,7,"-SF 32","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",2,"13:42","yes",1,10,"-SF 41","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",2,"13:02","yes",1,10,"-LA 36","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",2,"12:17","yes",2,8,"-LA 34","pass","SF"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",2,"12:10","no",1,10,"-LA 25","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",2,"11:29","yes",2,3,"-LA 32","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",2,"10:57","no",3,1,"-LA 34","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",2,"10:10","no",1,10,"-LA 44","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",2,"9:30","no",2,3,"-SF 49","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",2,"8:43","no",1,10,"-SF 26","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",2,"8:03","yes",2,5,"-SF 21","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",2,"7:21","no",3,1,"-SF 17","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",2,"6:41","yes",1,10,"-SF 16","pass","LAR"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",2,"6:28","yes",1,10,"-SF 36","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",2,"6:07","yes",2,15,"-SF 31","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",2,"5:43","no",1,10,"-LA 43","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",2,"5:17","yes",1,5,"-LA 38","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",2,"3:54","yes",2,14,"-LA 36","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",2,"3:09","no",3,2,"-LA 24","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",2,"2:29","no",1,10,"-LA 21","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",2,"2:00","yes",1,8,"-LA 8","run","SF"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",2,"1:00","no",1,10,"-LA 25","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",2,":19","no",2,6,"-LA 29","run","LAR"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,"15:00","yes",1,10,"-SF 25","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,"13:38","yes",2,9,"-LA 49","pass","SF"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",3,"12:46","no",1,10,"-LA 10","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",3,"12:02","no",2,5,"-LA 15","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",3,"11:20","yes",1,10,"-LA 20","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",3,"11:14","yes",2,10,"-LA 20","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",3,"10:31","yes",3,5,"-LA 25","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",3,"9:50","no",1,10,"-LA 38","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",3,"9:45","no",2,10,"-LA 38","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",3,"9:01","yes",3,6,"-LA 42","pass","LAR"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,"8:45","yes",1,10,"-SF 12","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,"8:03","yes",2,4,"-SF 18","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,"7:23","no",1,10,"-SF 29","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,"6:36","no",2,5,"-SF 34","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,"5:50","no",1,10,"-SF 48","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,"5:12","yes",2,9,"-SF 49","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,"4:31","no",1,10,"-LA 39","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,"4:15","yes",1,10,"-LA 28","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,"3:28","no",1,10,"-LA 16","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,"2:47","yes",2,11,"-LA 17","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,"1:58","yes",3,3,"-LA 9","pass","SF"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",3,"1:51","no",1,10,"-LA 25","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",3,"1:08","yes",2,7,"-LA 28","pass","LAR"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",3,":15","yes",1,10,"-SF 42","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",4,"15:00","yes",1,10,"-LA 36","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",4,"14:19","yes",2,5,"-LA 31","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",4,"13:36","no",3,1,"-LA 27","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",4,"12:51","yes",1,10,"-LA 25","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",4,"12:11","yes",1,1,"-LA 1","run","SF"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",4,"12:07","no",1,10,"-LA 25","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",4,"11:28","no",2,5,"-LA 30","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",4,"11:23","yes",3,5,"-LA 30","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",4,"10:49","no",1,10,"-LA 21","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",4,"10:44","yes",2,10,"-LA 21","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",4,"10:00","yes",3,3,"-LA 28","pass","LAR"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",4,"9:47","yes",1,10,"-SF 27","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",4,"9:08","yes",2,7,"-SF 30","pass","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",4,"8:19","no",1,10,"-LA 14","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",4,"7:34","yes",2,8,"-LA 12","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",4,"6:48","no",3,3,"-LA 7","pass","SF"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",4,"6:37","yes",1,10,"-LA 21","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",4,"5:35","yes",3,16,"-LA 15","run","LAR"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",4,"4:43","no",1,10,"-SF 36","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",4,"3:59","no",2,7,"-SF 39","run","SF"
"49ers_at_rams_2022_reg_8","San Francisco 49ers",4,"3:16","yes",3,4,"-SF 42","run","SF"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",4,"2:24","yes",1,10,"-LA 9","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",4,"2:00","yes",2,6,"-LA 13","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",4,"1:18","yes",3,4,"-LA 15","pass","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",4,"1:02","no",1,10,"-LA 21","run","LAR"
"49ers_at_rams_2022_reg_8","Los Angeles Rams",4,":28","no",2,6,"-LA 25","run","LAR"
