"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"14:54","yes",1,10,"-SEA 35","run","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"14:25","yes",2,5,"-SEA 40","pass","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"13:54","no",1,10,"-SEA 45","pass","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"13:12","yes",2,13,"-SEA 42","pass","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"13:06","yes",3,13,"-SEA 42","pass","SEA"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"12:54","no",1,10,"-SF 10","run","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"12:23","no",2,7,"-SF 13","pass","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"11:40","yes",3,5,"-SF 15","pass","SF"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"10:57","no",1,10,"-SEA 35","pass","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"10:52","yes",2,10,"-SEA 35","run","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"10:03","yes",3,12,"-SEA 33","pass","SEA"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"9:13","no",1,10,"-SF 14","pass","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"8:28","no",2,3,"-SF 21","run","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"7:46","no",1,10,"-SF 44","run","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"7:19","no",2,7,"-SF 47","run","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"6:37","yes",3,3,"-SEA 49","pass","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"5:59","yes",1,10,"-SEA 41","run","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"5:15","yes",2,10,"-SEA 41","pass","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"4:31","yes",1,10,"-SEA 30","run","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"3:56","yes",2,8,"-SEA 28","pass","SF"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"3:41","yes",1,10,"-SEA 32","run","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"2:29","yes",3,18,"-SEA 24","pass","SEA"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"1:38","yes",2,9,"-SEA 49","pass","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,":56","yes",3,6,"-SEA 46","pass","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,":33","yes",3,16,"-SF 44","pass","SF"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"14:51","yes",1,10,"-SEA 25","pass","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"14:47","yes",2,10,"-SEA 25","run","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"14:09","yes",3,5,"-SEA 30","pass","SEA"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"13:21","no",1,10,"-SF 24","run","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"12:43","no",2,4,"-SF 30","pass","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"12:05","no",1,10,"-SF 46","run","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"11:39","yes",1,18,"-SF 38","pass","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"10:53","yes",2,9,"-SF 47","pass","SF"
"49ers_at_seahawks_2022_reg_15","San Francisco 49ers",1,"10:49","yes",3,9,"-SF 47","pass","SF"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"10:37","yes",1,10,"-SEA 18","run","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"9:56","yes",2,8,"-SEA 20","pass","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"9:22","yes",1,10,"-SEA 33","pass","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"8:42","yes",1,10,"-SEA 46","pass","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"8:38","yes",2,10,"-SEA 46","pass","SEA"
"49ers_at_seahawks_2022_reg_15","Seattle Seahawks",1,"7:34","yes",3,13,"-SEA 43","run","SEA"
