"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"15:00","yes",1,10,"-DAL 25","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"14:39","yes",2,6,"-DAL 29","run","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"14:16","yes",3,2,"-DAL 33","run","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"13:54","yes",1,10,"-DAL 42","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"13:27","no",2,1,"-CHI 49","run","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"12:50","yes",3,6,"-DAL 46","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"12:13","no",1,15,"-CHI 48","run","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"11:39","no",1,10,"-CHI 31","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"11:06","no",1,10,"-CHI 15","run","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"10:29","no",2,2,"-CHI 7","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"10:23","yes",3,2,"-CHI 7","run","DAL"
"bears_at_cowboys_2022_reg_8","Chicago Bears",1,"10:18","yes",1,10,"-CHI 25","pass","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",1,"10:11","yes",2,10,"-CHI 25","pass","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",1,"9:54","no",2,20,"-CHI 15","run","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",1,"9:09","yes",3,19,"-CHI 16","pass","CHI"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"8:31","yes",1,10,"-DAL 31","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"8:09","yes",1,10,"-DAL 42","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"7:22","yes",1,10,"-CHI 46","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"7:01","yes",2,3,"-CHI 39","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"6:37","yes",1,10,"-CHI 22","run","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"5:59","no",2,9,"-CHI 21","run","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",1,"5:24","yes",3,9,"-CHI 21","pass","DAL"
"bears_at_cowboys_2022_reg_8","Chicago Bears",1,"5:19","no",1,10,"-CHI 25","run","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",1,"4:45","no",2,10,"-CHI 25","run","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",1,"4:13","yes",1,10,"-CHI 43","pass","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",1,"3:44","no",2,6,"-CHI 47","run","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",1,"3:02","no",1,10,"-DAL 38","run","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",1,"2:20","yes",2,4,"-DAL 32","run","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",1,"1:38","yes",3,4,"-DAL 32","run","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",1,"1:09","yes",1,10,"-DAL 18","run","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",1,":34","no",2,6,"-DAL 14","run","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",2,"15:00","yes",3,2,"-DAL 10","run","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",2,"14:23","no",1,6,"-DAL 6","pass","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",2,"13:45","yes",2,3,"-DAL 3","run","CHI"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",2,"13:41","no",1,10,"-DAL 25","run","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",2,"13:13","no",2,4,"-DAL 31","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",2,"12:42","no",1,10,"-DAL 48","run","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",2,"11:29","no",3,1,"-CHI 43","run","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",2,"10:56","no",1,10,"-CHI 18","run","DAL"
"bears_at_cowboys_2022_reg_8","Chicago Bears",2,"10:50","yes",1,10,"-CHI 25","run","CHI"
"bears_at_cowboys_2022_reg_8","Chicago Bears",2,"9:39","yes",3,15,"-CHI 20","pass","CHI"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",2,"9:23","yes",1,10,"-DAL 46","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",2,"9:18","no",2,10,"-DAL 46","run","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",2,"8:44","yes",3,8,"-DAL 48","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",2,"8:19","no",1,10,"-CHI 37","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",2,"8:13","no",2,10,"-CHI 37","pass","DAL"
"bears_at_cowboys_2022_reg_8","Dallas Cowboys",2,"7:37","yes",1,10,"-CHI 15","run","DAL"
