"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"15:00","no",1,10,"-ATL 25","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"14:56","yes",2,10,"-ATL 25","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"14:12","yes",1,10,"-ATL 40","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"13:41","yes",2,7,"-ATL 43","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"13:01","yes",1,10,"-CHI 41","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"12:26","yes",1,10,"-CHI 28","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"11:57","yes",2,9,"-CHI 27","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"11:13","no",1,10,"-CHI 14","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"10:27","yes",2,3,"-CHI 7","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"9:46","no",1,2,"-CHI 2","pass","ATL"
"bears_at_falcons_2022_reg_11","Chicago Bears",1,"9:27","yes",1,10,"-ATL 44","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",1,"8:46","no",2,1,"-ATL 35","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",1,"8:11","no",1,10,"-ATL 31","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",1,"7:38","no",2,6,"-ATL 27","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",1,"6:52","yes",2,10,"-ATL 18","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",1,"6:08","yes",3,8,"-ATL 16","pass","CHI"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"5:57","yes",1,10,"-ATL 19","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"5:18","yes",2,10,"-ATL 19","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"4:51","no",3,1,"-ATL 28","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"4:15","no",1,10,"-ATL 31","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"3:39","yes",2,6,"-ATL 35","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",1,"3:12","yes",3,4,"-ATL 37","pass","ATL"
"bears_at_falcons_2022_reg_11","Chicago Bears",1,"2:59","yes",1,10,"-CHI 16","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",1,"2:22","no",2,6,"-CHI 20","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",1,"1:43","yes",1,10,"-CHI 29","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",1,"1:07","yes",2,8,"-CHI 31","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",1,":22","yes",3,6,"-CHI 33","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",1,":02","yes",1,10,"-ATL 41","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"15:00","yes",2,5,"-ATL 36","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"14:19","yes",1,10,"-ATL 28","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"14:13","yes",2,10,"-ATL 28","run","CHI"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"12:45","yes",1,10,"-ATL 10","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"12:21","yes",1,10,"-ATL 19","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"11:50","yes",2,9,"-ATL 20","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"11:48","yes",3,9,"-ATL 20","pass","ATL"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"11:37","no",1,10,"-CHI 30","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"11:01","no",2,6,"-CHI 34","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"10:22","yes",1,10,"-CHI 49","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"9:39","yes",1,10,"-ATL 27","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"9:02","yes",2,8,"-ATL 25","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"8:29","yes",3,5,"-ATL 22","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"7:24","yes",1,10,"-ATL 29","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"6:52","no",2,6,"-ATL 25","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"6:44","yes",3,6,"-ATL 25","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"6:13","yes",1,10,"-ATL 15","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"5:35","no",2,7,"-ATL 12","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"5:13","no",3,1,"-ATL 6","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"4:35","yes",1,4,"-ATL 4","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"4:18","yes",1,10,"-CHI 25","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"3:47","yes",2,5,"-CHI 30","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"3:13","yes",3,2,"-CHI 33","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"2:28","yes",2,11,"-CHI 49","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"2:00","yes",1,10,"-ATL 39","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"1:31","yes",1,20,"-ATL 49","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"1:26","yes",2,14,"-ATL 43","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"1:20","yes",3,9,"-ATL 38","pass","CHI"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"1:10","yes",1,10,"-ATL 46","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,":53","yes",2,5,"-CHI 49","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,":48","yes",2,15,"-ATL 41","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,":24","no",1,10,"-CHI 31","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,":23","yes",2,10,"-CHI 31","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,":04","no",3,1,"-CHI 22","run","ATL"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"14:16","yes",2,16,"-CHI 19","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"13:36","yes",3,10,"-CHI 25","pass","CHI"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"13:15","yes",1,10,"-ATL 42","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"12:47","yes",1,10,"-CHI 40","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"12:14","yes",2,10,"-CHI 40","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"11:30","yes",3,10,"-CHI 40","pass","ATL"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"10:43","yes",1,10,"-CHI 20","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"10:09","yes",2,5,"-CHI 25","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"9:16","yes",1,15,"-CHI 25","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"8:37","no",2,14,"-CHI 26","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"8:05","no",3,1,"-CHI 39","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"7:28","no",1,10,"-CHI 41","run","CHI"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"5:15","no",1,10,"-ATL 39","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"4:37","no",1,10,"-CHI 44","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"3:57","yes",1,10,"-CHI 31","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"3:14","yes",2,6,"-CHI 27","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"2:41","yes",3,8,"-CHI 29","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",2,"1:53","yes",2,6,"-CHI 10","run","ATL"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"1:48","no",1,10,"-CHI 25","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,"1:13","yes",2,9,"-CHI 26","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",2,":31","yes",3,3,"-CHI 32","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",3,"15:00","no",1,10,"-CHI 38","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",3,"14:26","yes",2,5,"-CHI 43","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",3,"13:45","yes",3,3,"-CHI 45","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",3,"12:29","no",1,10,"-ATL 18","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",3,"12:07","yes",1,20,"-ATL 28","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",3,"11:29","no",2,15,"-ATL 23","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",3,"10:46","yes",3,12,"-ATL 20","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",3,"9:51","no",1,6,"-ATL 6","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",3,"9:15","yes",2,7,"-ATL 7","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",3,"8:30","yes",3,5,"-ATL 5","pass","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",3,"8:20","no",1,2,"-ATL 2","run","CHI"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,"8:16","yes",1,10,"-ATL 25","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,"7:35","yes",2,8,"-ATL 27","pass","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,"6:57","yes",1,10,"-ATL 37","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,"6:14","yes",2,3,"-ATL 44","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,"5:31","no",1,10,"-ATL 48","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,"5:04","no",2,6,"-CHI 48","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,"4:19","no",3,1,"-CHI 43","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,"3:30","yes",4,2,"-CHI 44","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,"2:46","yes",1,10,"-CHI 38","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,"2:02","yes",2,7,"-CHI 35","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,"1:57","yes",3,7,"-CHI 35","pass","ATL"
"bears_at_falcons_2022_reg_11","Chicago Bears",3,"1:47","yes",1,10,"-CHI 25","run","CHI"
"bears_at_falcons_2022_reg_11","Chicago Bears",3,"1:42","yes",2,9,"-CHI 26","run","CHI"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,"1:07","no",1,10,"-CHI 40","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,"1:03","no",2,6,"-CHI 36","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,":57","no",1,10,"-CHI 10","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,":55","no",2,11,"-CHI 11","run","ATL"
"bears_at_falcons_2022_reg_11","Atlanta Falcons",3,":35","no",3,12,"-CHI 12","run","ATL"
