"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bears_at_giants_2022_reg_4","New York Giants",1,"15:00","no",1,10,"-NYG 25","run","NYG"
"bears_at_giants_2022_reg_4","New York Giants",1,"14:36","no",2,10,"-NYG 25","run","NYG"
"bears_at_giants_2022_reg_4","New York Giants",1,"13:58","yes",3,9,"-NYG 26","pass","NYG"
"bears_at_giants_2022_reg_4","Chicago Bears",1,"13:44","no",1,10,"-CHI 24","run","CHI"
"bears_at_giants_2022_reg_4","Chicago Bears",1,"13:03","no",2,8,"-CHI 26","pass","CHI"
"bears_at_giants_2022_reg_4","Chicago Bears",1,"12:27","yes",1,10,"-CHI 44","run","CHI"
"bears_at_giants_2022_reg_4","Chicago Bears",1,"11:50","no",1,10,"-NYG 40","run","CHI"
"bears_at_giants_2022_reg_4","Chicago Bears",1,"11:10","no",2,3,"-NYG 33","run","CHI"
"bears_at_giants_2022_reg_4","Chicago Bears",1,"10:26","yes",3,2,"-NYG 32","run","CHI"
"bears_at_giants_2022_reg_4","Chicago Bears",1,"10:00","yes",1,10,"-NYG 14","run","CHI"
"bears_at_giants_2022_reg_4","Chicago Bears",1,"9:19","no",2,9,"-NYG 13","run","CHI"
"bears_at_giants_2022_reg_4","Chicago Bears",1,"8:37","yes",3,7,"-NYG 11","pass","CHI"
"bears_at_giants_2022_reg_4","New York Giants",1,"8:27","no",1,10,"-NYG 25","pass","NYG"
"bears_at_giants_2022_reg_4","New York Giants",1,"7:49","no",2,1,"-NYG 34","run","NYG"
"bears_at_giants_2022_reg_4","New York Giants",1,"7:17","yes",1,10,"-CHI 48","run","NYG"
"bears_at_giants_2022_reg_4","New York Giants",1,"6:36","no",2,4,"-CHI 42","run","NYG"
"bears_at_giants_2022_reg_4","New York Giants",1,"5:55","no",1,10,"-CHI 33","pass","NYG"
"bears_at_giants_2022_reg_4","New York Giants",1,"5:15","no",1,10,"-CHI 21","run","NYG"
"bears_at_giants_2022_reg_4","Chicago Bears",1,"5:00","no",1,10,"-CHI 19","pass","CHI"
"bears_at_giants_2022_reg_4","Chicago Bears",1,"4:17","no",1,10,"-NYG 25","run","CHI"
"bears_at_giants_2022_reg_4","Chicago Bears",1,"3:41","yes",2,8,"-NYG 23","pass","CHI"
"bears_at_giants_2022_reg_4","Chicago Bears",1,"2:57","yes",2,12,"-NYG 14","run","CHI"
