"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bears_at_jets_2022_reg_12","New York Jets",1,"15:00","yes",1,10,"-NYJ 25","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",1,"14:25","yes",2,4,"-NYJ 31","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",1,"14:06","yes",2,4,"-NYJ 31","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",1,"13:30","no",1,10,"-NYJ 42","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",1,"12:51","yes",1,10,"-CHI 46","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",1,"12:10","yes",2,1,"-CHI 37","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",1,"11:31","yes",1,10,"-CHI 21","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",1,"10:52","yes",1,8,"-CHI 8","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",1,"10:48","no",2,8,"-CHI 8","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",1,"10:17","yes",3,8,"-CHI 8","pass","NYJ"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"10:12","no",1,10,"-CHI 25","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"9:33","yes",2,6,"-CHI 29","pass","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"9:29","yes",3,6,"-CHI 29","pass","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"8:51","no",1,10,"-NYJ 45","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"8:14","yes",2,7,"-NYJ 42","pass","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"7:29","yes",1,9,"-NYJ 9","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"6:48","no",2,7,"-NYJ 7","pass","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"6:06","yes",3,4,"-NYJ 4","pass","CHI"
"bears_at_jets_2022_reg_12","New York Jets",1,"5:54","no",1,10,"-NYJ 16","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",1,"5:12","yes",2,11,"-NYJ 15","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",1,"4:26","yes",3,5,"-NYJ 21","pass","NYJ"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"4:11","no",1,10,"-CHI 29","pass","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"3:36","no",1,10,"-CHI 49","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"3:01","yes",2,4,"-NYJ 45","pass","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"2:24","no",3,1,"-NYJ 42","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"1:53","no",1,10,"-NYJ 39","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",1,"1:03","no",2,11,"-NYJ 40","pass","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",1,":41","yes",1,9,"-NYJ 9","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"15:00","no",2,6,"-NYJ 6","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"14:24","yes",3,4,"-NYJ 4","pass","CHI"
"bears_at_jets_2022_reg_12","New York Jets",2,"14:20","yes",1,10,"-NYJ 25","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"14:15","yes",2,10,"-NYJ 25","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"13:36","yes",3,6,"-NYJ 29","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"12:56","yes",1,10,"-NYJ 36","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"12:16","yes",2,11,"-NYJ 35","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"11:34","yes",3,9,"-NYJ 37","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"10:49","no",1,10,"-CHI 21","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"10:10","yes",2,11,"-CHI 22","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"10:07","yes",3,11,"-CHI 22","pass","NYJ"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"9:22","yes",1,10,"-CHI 18","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"8:41","no",2,6,"-CHI 22","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"8:07","no",3,1,"-CHI 27","run","CHI"
"bears_at_jets_2022_reg_12","New York Jets",2,"7:11","no",1,10,"-NYJ 22","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"6:37","no",2,6,"-NYJ 26","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"5:51","yes",3,2,"-NYJ 30","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"5:09","no",1,10,"-NYJ 46","pass","NYJ"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"4:57","yes",1,10,"-CHI 25","pass","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"4:51","yes",2,10,"-CHI 25","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"4:06","yes",3,9,"-CHI 26","pass","CHI"
"bears_at_jets_2022_reg_12","New York Jets",2,"3:39","no",1,10,"-NYJ 27","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"3:02","no",2,4,"-NYJ 33","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"2:20","yes",1,10,"-NYJ 40","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"2:00","no",2,14,"-NYJ 36","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"1:53","yes",3,6,"-NYJ 44","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"1:14","yes",1,10,"-CHI 47","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,":51","yes",2,1,"-CHI 38","run","NYJ"
"bears_at_jets_2022_reg_12","Chicago Bears",2,":12","no",1,10,"-CHI 25","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"14:19","no",2,17,"-CHI 18","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"13:32","yes",3,13,"-CHI 22","pass","CHI"
"bears_at_jets_2022_reg_12","New York Jets",2,"13:21","no",1,10,"-NYJ 37","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"12:40","yes",2,8,"-NYJ 39","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"12:02","yes",3,4,"-NYJ 43","pass","NYJ"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"11:48","no",1,10,"-CHI 1","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"11:23","yes",1,10,"-CHI 14","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"10:43","no",2,3,"-CHI 21","pass","CHI"
"bears_at_jets_2022_reg_12","New York Jets",2,"9:59","no",1,10,"-NYJ 47","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"9:23","no",2,2,"-CHI 45","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"8:39","no",1,10,"-CHI 38","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"7:59","yes",1,10,"-CHI 28","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"7:19","yes",2,7,"-CHI 25","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"6:41","yes",3,4,"-CHI 22","pass","NYJ"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"6:35","no",1,10,"-CHI 25","pass","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"5:55","yes",1,10,"-CHI 39","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"5:16","no",2,8,"-CHI 41","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"4:32","yes",3,5,"-CHI 44","pass","CHI"
"bears_at_jets_2022_reg_12","New York Jets",2,"4:19","no",1,10,"-NYJ 21","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"3:53","no",2,6,"-NYJ 25","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"3:19","no",1,10,"-CHI 46","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",2,"2:36","no",1,10,"-CHI 32","run","NYJ"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"2:28","yes",1,10,"-CHI 25","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"2:06","yes",1,20,"-CHI 15","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,"1:29","no",2,6,"-CHI 29","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",2,":55","yes",3,7,"-CHI 28","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",3,"15:00","yes",1,10,"-CHI 41","pass","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",3,"14:52","yes",2,10,"-CHI 41","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",3,"14:17","yes",1,10,"-NYJ 48","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",3,"13:35","yes",2,9,"-NYJ 47","pass","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",3,"12:46","yes",3,2,"-NYJ 40","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",3,"12:36","yes",1,10,"-NYJ 32","pass","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",3,"11:55","no",2,5,"-NYJ 27","run","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",3,"11:12","yes",3,5,"-NYJ 27","pass","CHI"
"bears_at_jets_2022_reg_12","Chicago Bears",3,"11:08","yes",4,5,"-NYJ 27","pass","CHI"
"bears_at_jets_2022_reg_12","New York Jets",3,"11:03","no",1,10,"-NYJ 27","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",3,"10:27","no",2,6,"-NYJ 31","pass","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",3,"9:49","no",1,10,"-NYJ 40","run","NYJ"
"bears_at_jets_2022_reg_12","New York Jets",3,"9:09","yes",1,10,"-CHI 41","pass","NYJ"
