"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bears_at_lions_2022_reg_17","Chicago Bears",1,"15:00","no",1,10,"-CHI 25","run","CHI"
"bears_at_lions_2022_reg_17","Chicago Bears",1,"14:19","yes",2,9,"-CHI 26","pass","CHI"
"bears_at_lions_2022_reg_17","Chicago Bears",1,"14:13","yes",3,9,"-CHI 26","run","CHI"
"bears_at_lions_2022_reg_17","Chicago Bears",1,"13:46","yes",1,10,"-CHI 39","run","CHI"
"bears_at_lions_2022_reg_17","Chicago Bears",1,"13:07","yes",2,5,"-CHI 44","pass","CHI"
"bears_at_lions_2022_reg_17","Chicago Bears",1,"12:26","yes",3,1,"-CHI 48","run","CHI"
"bears_at_lions_2022_reg_17","Chicago Bears",1,"11:41","yes",1,10,"-DET 21","pass","CHI"
"bears_at_lions_2022_reg_17","Chicago Bears",1,"11:36","no",2,10,"-DET 21","run","CHI"
"bears_at_lions_2022_reg_17","Chicago Bears",1,"11:00","no",3,2,"-DET 13","pass","CHI"
"bears_at_lions_2022_reg_17","Detroit Lions",1,"10:54","no",1,10,"-DET 25","pass","DET"
"bears_at_lions_2022_reg_17","Detroit Lions",1,"10:18","no",2,8,"-DET 27","run","DET"
"bears_at_lions_2022_reg_17","Detroit Lions",1,"9:35","yes",3,4,"-DET 31","pass","DET"
"bears_at_lions_2022_reg_17","Detroit Lions",1,"8:51","no",1,10,"-CHI 41","pass","DET"
"bears_at_lions_2022_reg_17","Detroit Lions",1,"8:46","no",2,10,"-CHI 41","run","DET"
"bears_at_lions_2022_reg_17","Detroit Lions",1,"7:44","yes",3,4,"-CHI 35","pass","DET"
"bears_at_lions_2022_reg_17","Detroit Lions",1,"7:38","yes",4,4,"-CHI 35","pass","DET"
"bears_at_lions_2022_reg_17","Detroit Lions",1,"7:29","no",1,1,"-CHI 1","run","DET"
"bears_at_lions_2022_reg_17","Detroit Lions",1,"6:48","no",2,2,"-CHI 2","pass","DET"
"bears_at_lions_2022_reg_17","Chicago Bears",1,"5:58","yes",2,13,"-CHI 22","run","CHI"
"bears_at_lions_2022_reg_17","Chicago Bears",1,"5:21","yes",3,4,"-CHI 31","run","CHI"
"bears_at_lions_2022_reg_17","Chicago Bears",1,"4:28","yes",1,9,"-DET 9","run","CHI"
"bears_at_lions_2022_reg_17","Chicago Bears",1,"3:48","yes",2,3,"-DET 3","run","CHI"
"bears_at_lions_2022_reg_17","Detroit Lions",1,"2:26","no",1,10,"-DET 25","run","DET"
