"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"15:00","yes",1,10,"-GB 25","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"14:32","no",1,10,"-GB 43","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"13:50","yes",2,6,"-GB 47","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"13:07","yes",1,10,"-CHI 39","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"12:27","yes",2,7,"-CHI 36","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"12:22","yes",3,7,"-CHI 36","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"11:40","no",1,10,"-CHI 28","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"10:56","yes",2,8,"-CHI 26","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"10:10","yes",3,10,"-CHI 28","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"9:26","yes",1,15,"-CHI 18","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"9:23","yes",2,15,"-CHI 18","pass","GB"
"bears_at_packers_2022_reg_2","Chicago Bears",1,"8:28","no",1,10,"-CHI 29","run","CHI"
"bears_at_packers_2022_reg_2","Chicago Bears",1,"7:50","no",2,6,"-CHI 33","run","CHI"
"bears_at_packers_2022_reg_2","Chicago Bears",1,"7:06","no",1,10,"-CHI 45","run","CHI"
"bears_at_packers_2022_reg_2","Chicago Bears",1,"6:24","yes",2,10,"-CHI 45","pass","CHI"
"bears_at_packers_2022_reg_2","Chicago Bears",1,"5:43","no",1,10,"-GB 25","run","CHI"
"bears_at_packers_2022_reg_2","Chicago Bears",1,"5:20","no",1,10,"-GB 12","run","CHI"
"bears_at_packers_2022_reg_2","Chicago Bears",1,"4:42","no",2,1,"-GB 3","run","CHI"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"4:37","yes",1,10,"-GB 25","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"4:05","yes",2,4,"-GB 31","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"3:23","yes",1,10,"-GB 36","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"3:19","yes",2,10,"-GB 36","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"2:45","yes",1,10,"-GB 48","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"2:08","no",2,1,"-CHI 43","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,"1:26","no",1,10,"-CHI 38","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",1,":46","no",1,10,"-CHI 14","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"15:00","yes",2,11,"-CHI 15","run","GB"
"bears_at_packers_2022_reg_2","Chicago Bears",2,"14:06","yes",2,15,"-CHI 15","pass","CHI"
"bears_at_packers_2022_reg_2","Chicago Bears",2,"13:25","yes",3,19,"-CHI 11","pass","CHI"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"12:49","yes",1,10,"-GB 39","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"12:46","no",2,10,"-GB 39","pass","GB"
"bears_at_packers_2022_reg_2","Chicago Bears",2,"11:50","no",1,15,"-CHI 15","run","CHI"
"bears_at_packers_2022_reg_2","Chicago Bears",2,"11:19","no",2,14,"-CHI 16","run","CHI"
"bears_at_packers_2022_reg_2","Chicago Bears",2,"10:37","yes",3,10,"-CHI 20","pass","CHI"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"10:11","no",1,10,"-GB 46","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"9:29","yes",2,2,"-CHI 46","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"8:52","yes",1,10,"-CHI 41","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"8:13","no",2,2,"-CHI 33","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"7:39","no",1,10,"-CHI 24","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"6:50","yes",2,28,"-CHI 42","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"6:05","yes",3,8,"-CHI 22","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"5:23","no",1,10,"-CHI 13","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"4:40","yes",2,5,"-CHI 8","pass","GB"
"bears_at_packers_2022_reg_2","Chicago Bears",2,"4:30","yes",1,10,"-CHI 15","pass","CHI"
"bears_at_packers_2022_reg_2","Chicago Bears",2,"4:26","no",2,10,"-CHI 15","run","CHI"
"bears_at_packers_2022_reg_2","Chicago Bears",2,"3:47","yes",3,15,"-CHI 10","pass","CHI"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"3:10","yes",1,10,"-GB 33","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"2:27","yes",1,10,"-GB 47","run","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"2:00","yes",2,9,"-GB 48","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"1:18","yes",2,7,"-CHI 34","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,":43","yes",1,10,"-CHI 14","pass","GB"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,":35","yes",2,1,"-CHI 5","pass","GB"
"bears_at_packers_2022_reg_2","Chicago Bears",2,":32","yes",1,10,"-CHI 25","pass","CHI"
"bears_at_packers_2022_reg_2","Chicago Bears",2,"14:54","yes",1,10,"-CHI 22","run","CHI"
"bears_at_packers_2022_reg_2","Chicago Bears",2,"13:42","yes",3,10,"-CHI 22","pass","CHI"
"bears_at_packers_2022_reg_2","Green Bay Packers",2,"13:00","no",1,10,"-GB 14","run","GB"
