"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bears_at_patriots_2022_reg_7","New England Patriots",1,"14:57","yes",1,10,"-NE 17","run","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",1,"14:23","no",2,10,"-NE 17","pass","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",1,"14:17","yes",2,10,"-NE 17","pass","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",1,"13:39","yes",3,11,"-NE 16","run","NE"
"bears_at_patriots_2022_reg_7","Chicago Bears",1,"12:54","no",1,10,"-CHI 34","run","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",1,"12:20","no",2,6,"-CHI 38","run","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",1,"11:38","yes",3,4,"-CHI 40","pass","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",1,"11:07","no",1,10,"-NE 40","pass","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",1,"10:32","yes",1,10,"-NE 29","pass","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",1,"10:28","no",2,10,"-NE 29","run","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",1,"9:49","yes",3,14,"-NE 33","run","CHI"
"bears_at_patriots_2022_reg_7","New England Patriots",1,"8:57","yes",1,10,"-NE 21","run","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",1,"8:11","yes",2,7,"-NE 24","pass","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",1,"7:14","yes",3,10,"-NE 21","run","NE"
"bears_at_patriots_2022_reg_7","Chicago Bears",1,"6:29","yes",1,10,"-CHI 44","pass","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",1,"5:01","yes",3,6,"-CHI 48","pass","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",1,"4:17","yes",1,10,"-NE 33","pass","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",1,"3:42","yes",1,10,"-NE 19","run","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",1,"3:01","yes",2,2,"-NE 11","run","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",1,"2:16","yes",1,3,"-NE 3","run","CHI"
"bears_at_patriots_2022_reg_7","New England Patriots",1,"2:05","yes",1,10,"-NE 23","pass","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",1,"1:59","no",2,10,"-NE 23","run","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",1,"1:27","yes",3,5,"-NE 28","run","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",1,":51","no",1,10,"-NE 38","run","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",1,":15","yes",2,6,"-NE 42","pass","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",2,"15:00","no",1,10,"-CHI 46","run","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",2,"14:20","yes",2,9,"-CHI 45","run","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",2,"13:49","no",3,1,"-CHI 37","run","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",2,"13:22","no",1,10,"-CHI 36","pass","NE"
"bears_at_patriots_2022_reg_7","Chicago Bears",2,"13:08","yes",1,10,"-CHI 27","pass","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",2,"13:06","yes",2,10,"-CHI 27","pass","CHI"
"bears_at_patriots_2022_reg_7","New England Patriots",2,"11:55","yes",1,10,"-NE 45","pass","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",2,"11:14","yes",2,6,"-NE 49","run","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",2,"9:52","no",1,10,"-CHI 30","pass","NE"
"bears_at_patriots_2022_reg_7","Chicago Bears",2,"9:36","yes",1,10,"-CHI 30","run","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",2,"8:59","yes",1,10,"-CHI 45","run","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",2,"8:16","no",2,9,"-CHI 46","run","CHI"
"bears_at_patriots_2022_reg_7","New England Patriots",2,"6:45","no",1,7,"-CHI 7","run","NE"
"bears_at_patriots_2022_reg_7","New England Patriots",2,"6:08","no",2,4,"-CHI 4","run","NE"
"bears_at_patriots_2022_reg_7","Chicago Bears",2,"6:04","yes",1,10,"-CHI 25","run","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",2,"5:33","yes",2,5,"-CHI 30","run","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",2,"5:12","no",3,1,"-CHI 34","run","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",2,"4:32","yes",1,10,"-CHI 35","run","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",2,"3:50","yes",1,10,"-CHI 45","pass","CHI"
"bears_at_patriots_2022_reg_7","Chicago Bears",2,"3:12","yes",1,10,"-NE 39","pass","CHI"
