"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"14:55","no",1,10,"-MIN 14","run","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"14:23","no",2,6,"-MIN 18","pass","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"13:49","no",1,10,"-MIN 34","pass","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"13:07","no",2,6,"-MIN 38","pass","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"12:32","no",1,10,"-CHI 48","run","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"11:58","no",2,8,"-CHI 46","run","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"11:19","yes",3,3,"-CHI 41","pass","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"10:41","no",1,10,"-CHI 35","run","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"10:09","no",2,4,"-CHI 29","pass","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"9:21","no",1,10,"-CHI 13","pass","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"8:39","yes",2,7,"-CHI 10","pass","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"8:18","no",1,1,"-CHI 1","run","MIN"
"bears_at_vikings_2022_reg_5","Chicago Bears",1,"8:15","yes",1,15,"-CHI 20","pass","CHI"
"bears_at_vikings_2022_reg_5","Chicago Bears",1,"7:06","yes",2,6,"-MIN 46","pass","CHI"
"bears_at_vikings_2022_reg_5","Chicago Bears",1,"6:59","no",1,10,"-MIN 26","run","CHI"
"bears_at_vikings_2022_reg_5","Chicago Bears",1,"6:21","yes",2,10,"-MIN 26","pass","CHI"
"bears_at_vikings_2022_reg_5","Chicago Bears",1,"6:15","yes",3,15,"-MIN 31","pass","CHI"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"6:06","no",1,10,"-MIN 25","pass","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"5:32","no",2,4,"-MIN 31","run","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"4:54","no",1,10,"-MIN 37","pass","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"4:08","yes",2,9,"-MIN 38","pass","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"3:23","no",1,10,"-CHI 47","run","MIN"
"bears_at_vikings_2022_reg_5","Minnesota Vikings",1,"2:57","yes",2,11,"-CHI 48","pass","MIN"
