"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"14:56","yes",1,10,"-CIN 14","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"14:34","yes",1,5,"-CIN 19","run","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"13:58","yes",2,1,"-CIN 23","run","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"13:22","yes",1,10,"-CIN 25","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"12:42","yes",2,5,"-CIN 30","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"12:38","yes",3,5,"-CIN 30","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"12:23","yes",1,10,"-CLV 44","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"12:18","yes",2,10,"-CLV 44","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"11:33","yes",3,7,"-CLV 41","pass","CIN"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"10:47","no",1,10,"-CLV 16","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"10:06","yes",2,4,"-CLV 22","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"9:31","no",1,10,"-CLV 28","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"8:56","no",1,10,"-CIN 35","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"8:16","no",2,9,"-CIN 34","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"7:07","yes",3,19,"-CIN 44","pass","CLE"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"6:10","yes",1,10,"-CIN 43","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"5:36","yes",2,8,"-CIN 45","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"4:54","yes",3,10,"-CIN 43","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"4:19","no",1,10,"-CLV 46","run","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"3:35","yes",2,10,"-CLV 46","pass","CIN"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"2:08","no",1,10,"-CLV 31","pass","CLE"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"1:30","yes",1,10,"-CIN 48","run","CIN"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"14:54","no",1,10,"-CLV 13","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"14:14","no",2,1,"-CLV 22","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"13:44","yes",1,10,"-CLV 25","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"13:18","yes",2,11,"-CLV 24","pass","CLE"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"12:20","yes",1,10,"-CIN 30","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"11:42","yes",2,7,"-CIN 33","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"11:01","yes",3,2,"-CIN 38","pass","CIN"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"10:49","no",1,10,"-CLV 22","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"10:11","no",2,8,"-CLV 24","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"9:24","yes",3,5,"-CLV 27","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"8:48","no",1,10,"-CIN 44","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"8:18","no",2,2,"-CIN 36","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"7:37","no",1,10,"-CIN 32","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"6:58","yes",2,10,"-CIN 32","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"6:17","yes",3,4,"-CIN 26","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"5:37","yes",1,8,"-CIN 8","pass","CLE"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"5:00","yes",1,10,"-CIN 28","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"4:55","yes",1,10,"-CIN 44","run","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"4:12","yes",2,6,"-CIN 48","run","CIN"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"3:25","no",1,10,"-CIN 47","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"2:53","no",1,10,"-CIN 34","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,"2:00","yes",2,12,"-CIN 36","pass","CLE"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"1:49","yes",1,10,"-CIN 49","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",1,"1:24","yes",2,10,"-CIN 49","pass","CIN"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,":53","yes",3,14,"-CLV 34","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,":40","yes",1,10,"-CLV 37","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,":34","yes",1,10,"-CLV 49","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,":17","no",1,10,"-CIN 37","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,":16","yes",2,10,"-CIN 37","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",1,":09","yes",3,10,"-CIN 37","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"15:00","no",1,10,"-CLV 25","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"14:34","no",2,5,"-CLV 30","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"14:01","no",3,1,"-CLV 34","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"13:30","yes",1,10,"-CLV 37","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"12:55","no",2,10,"-CLV 37","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"12:29","yes",3,7,"-CLV 40","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"11:47","no",1,10,"-CIN 34","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"11:05","no",2,9,"-CIN 33","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"10:21","yes",3,6,"-CIN 30","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"9:43","no",1,9,"-CIN 9","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"9:05","no",2,3,"-CIN 3","run","CLE"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",2,"8:57","yes",1,10,"-CIN 25","run","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",2,"8:17","yes",2,6,"-CIN 29","pass","CIN"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"7:27","no",1,10,"-CLV 40","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"7:01","yes",2,11,"-CLV 39","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"6:31","no",1,10,"-CIN 49","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"5:56","yes",2,10,"-CIN 49","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"5:14","no",1,10,"-CIN 34","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"4:37","no",2,10,"-CIN 34","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"3:56","yes",1,7,"-CIN 7","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",2,"3:14","yes",2,4,"-CIN 4","pass","CLE"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",2,"3:05","yes",1,10,"-CIN 27","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",2,"2:59","yes",2,10,"-CIN 27","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",2,"2:15","yes",3,1,"-CIN 36","run","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",2,"1:51","yes",1,10,"-CIN 41","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",2,"1:11","yes",1,10,"-CLV 41","run","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",2,":37","yes",2,4,"-CLV 35","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",2,":06","yes",1,10,"-CLV 24","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",2,":03","yes",2,10,"-CLV 24","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",3,"15:00","no",3,1,"-CLV 15","run","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",3,"14:22","yes",1,10,"-CLV 13","pass","CIN"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"14:10","no",1,10,"-CLV 17","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"13:22","no",2,4,"-CLV 23","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"12:41","yes",3,2,"-CLV 25","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"11:56","no",1,10,"-CLV 35","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"11:11","no",2,11,"-CLV 34","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"10:37","yes",3,9,"-CLV 36","pass","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"9:33","no",1,10,"-CIN 11","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"8:51","no",2,10,"-CIN 11","run","CLE"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",3,"8:46","yes",1,10,"-CIN 25","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",3,"8:16","yes",2,8,"-CIN 27","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",3,"7:58","yes",1,10,"-CIN 47","run","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",3,"7:21","yes",2,5,"-CLV 48","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",3,"6:48","yes",1,10,"-CLV 41","pass","CIN"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"6:40","no",1,10,"-CIN 45","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"5:57","no",2,5,"-CIN 40","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"5:47","no",3,5,"-CIN 40","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"5:43","no",4,5,"-CIN 40","run","CLE"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",3,"5:37","yes",1,10,"-CIN 30","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",3,"4:44","yes",3,18,"-CIN 22","pass","CIN"
"bengals_at_browns_2022_reg_8","Cincinnati Bengals",3,"4:07","yes",4,4,"-CIN 36","pass","CIN"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"4:03","no",1,10,"-CIN 36","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"3:19","no",2,9,"-CIN 35","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"3:08","no",3,2,"-CIN 28","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"2:22","no",1,5,"-CIN 18","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,"2:00","no",1,10,"-CIN 10","run","CLE"
"bengals_at_browns_2022_reg_8","Cleveland Browns",3,":39","no",2,10,"-CIN 10","run","CLE"
