"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bengals_at_buccaneers_2022_reg_15","Cincinnati Bengals",1,"15:00","yes",1,10,"-CIN 25","pass","CIN"
"bengals_at_buccaneers_2022_reg_15","Cincinnati Bengals",1,"14:30","yes",1,10,"-CIN 37","pass","CIN"
"bengals_at_buccaneers_2022_reg_15","Cincinnati Bengals",1,"13:53","yes",2,3,"-CIN 44","run","CIN"
"bengals_at_buccaneers_2022_reg_15","Cincinnati Bengals",1,"13:13","yes",1,10,"-CIN 49","pass","CIN"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"12:26","no",1,10,"-TB 30","pass","TB"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"11:52","no",2,5,"-TB 35","pass","TB"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"11:46","yes",3,5,"-TB 35","pass","TB"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"11:10","no",1,10,"-TB 41","run","TB"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"10:35","yes",2,9,"-TB 42","run","TB"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"9:57","yes",3,8,"-TB 43","pass","TB"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"9:20","no",1,10,"-CIN 41","pass","TB"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"8:39","yes",1,10,"-CIN 21","run","TB"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"7:55","no",2,6,"-CIN 17","run","TB"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"7:21","no",1,10,"-CIN 11","run","TB"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"7:00","no",2,3,"-CIN 4","pass","TB"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"6:55","yes",3,3,"-CIN 4","run","TB"
"bengals_at_buccaneers_2022_reg_15","Cincinnati Bengals",1,"6:06","yes",1,10,"-CIN 25","pass","CIN"
"bengals_at_buccaneers_2022_reg_15","Cincinnati Bengals",1,"5:33","yes",2,5,"-CIN 30","run","CIN"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"3:58","no",1,10,"-TB 41","pass","TB"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"2:55","no",1,10,"-CIN 49","pass","TB"
"bengals_at_buccaneers_2022_reg_15","Tampa Bay Buccaneers",1,"2:51","yes",2,10,"-CIN 49","pass","TB"
