"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"15:00","no",1,10,"-DAL 25","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"14:22","no",2,6,"-DAL 29","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"13:54","yes",1,10,"-DAL 36","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"13:15","no",2,9,"-DAL 37","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"12:37","yes",3,2,"-DAL 44","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"12:33","yes",4,2,"-DAL 44","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"11:57","no",1,10,"-CIN 39","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"11:13","no",2,1,"-CIN 30","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"10:29","yes",1,10,"-CIN 23","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"9:52","no",2,5,"-CIN 18","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"9:20","no",1,10,"-CIN 12","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"8:41","no",2,7,"-CIN 9","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",1,"8:35","no",1,10,"-CIN 25","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",1,"8:04","yes",1,10,"-CIN 36","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",1,"7:25","yes",2,8,"-CIN 38","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",1,"6:45","yes",3,8,"-CIN 38","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",1,"6:21","yes",1,10,"-DAL 44","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",1,"5:43","no",1,10,"-DAL 27","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",1,"3:50","yes",3,14,"-DAL 31","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"3:05","no",1,10,"-DAL 25","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"2:33","no",2,7,"-DAL 28","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,"1:32","yes",3,10,"-DAL 25","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,":45","no",1,10,"-CIN 47","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",1,":19","no",1,1,"-CIN 1","run","DAL"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",2,"15:00","yes",2,16,"-CIN 19","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",2,"14:15","yes",3,4,"-CIN 31","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,"14:05","no",1,10,"-DAL 25","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,"13:25","no",2,8,"-DAL 27","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,"12:45","yes",3,4,"-DAL 31","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,"12:06","no",1,10,"-DAL 46","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,"11:20","no",2,8,"-DAL 48","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,"10:39","yes",3,13,"-DAL 43","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",2,"10:27","no",1,15,"-CIN 10","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",2,"9:41","no",2,17,"-CIN 8","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",2,"8:56","yes",3,5,"-CIN 20","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",2,"8:15","no",1,10,"-CIN 26","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",2,"7:31","yes",2,9,"-CIN 27","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",2,"7:28","yes",3,9,"-CIN 27","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",2,"7:06","no",1,10,"-DAL 46","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",2,"7:02","no",2,10,"-DAL 46","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,"5:31","yes",1,10,"-DAL 11","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,"5:12","no",1,10,"-DAL 22","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,"4:39","no",2,6,"-DAL 26","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,"4:00","yes",3,4,"-DAL 28","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,"3:44","no",1,10,"-CIN 47","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,"3:07","no",2,10,"-CIN 47","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,"2:22","yes",3,11,"-CIN 48","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",2,"2:00","yes",2,6,"-CIN 17","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",2,"1:37","yes",1,10,"-CIN 29","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,":51","yes",1,10,"-CIN 49","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,":32","yes",2,7,"-CIN 46","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,":22","yes",2,10,"-CIN 39","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",2,":18","yes",3,7,"-CIN 36","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",2,":09","no",1,10,"-CIN 25","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"15:00","no",1,10,"-CIN 25","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"14:24","no",1,10,"-CIN 35","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"13:49","yes",2,4,"-CIN 41","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"13:46","yes",3,4,"-CIN 41","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"13:42","no",1,10,"-CIN 46","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"12:36","yes",2,22,"-CIN 34","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"11:11","no",1,10,"-DAL 34","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"10:30","yes",2,8,"-DAL 32","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"10:25","yes",3,13,"-DAL 37","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",3,"9:41","no",1,10,"-DAL 25","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",3,"8:55","no",2,8,"-DAL 27","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",3,"8:16","yes",3,7,"-DAL 28","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"8:00","no",1,10,"-CIN 41","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"7:34","no",1,10,"-DAL 40","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"6:59","no",2,5,"-DAL 35","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"6:22","no",1,10,"-DAL 30","run","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",3,"5:38","no",2,6,"-DAL 26","run","CIN"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",3,"4:05","no",1,10,"-DAL 25","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",3,"3:28","no",1,10,"-DAL 39","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",3,"3:23","no",2,10,"-DAL 39","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",3,"2:55","yes",3,7,"-DAL 42","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",3,"2:53","yes",3,2,"-DAL 47","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",3,"2:48","yes",1,10,"-CIN 48","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",3,"2:28","no",2,3,"-CIN 41","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",3,"1:49","no",1,10,"-CIN 37","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",3,":26","no",2,5,"-CIN 31","run","DAL"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",4,"15:00","yes",3,5,"-CIN 31","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",4,"14:49","yes",1,10,"-DAL 26","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",4,"14:08","yes",1,10,"-DAL 43","run","DAL"
"bengals_at_cowboys_2022_reg_2","Dallas Cowboys",4,"13:31","yes",2,7,"-DAL 46","pass","DAL"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",4,"12:39","yes",1,10,"-CIN 17","pass","CIN"
"bengals_at_cowboys_2022_reg_2","Cincinnati Bengals",4,"12:33","yes",2,10,"-CIN 17","pass","CIN"
