"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"15:00","yes",1,10,"-CIN 25","pass","CIN"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"14:26","yes",1,10,"-CIN 38","pass","CIN"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"13:56","no",2,4,"-CIN 44","pass","CIN"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"13:47","yes",3,9,"-CIN 39","pass","CIN"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"13:13","no",1,10,"-NYJ 42","pass","CIN"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"12:37","yes",1,10,"-NYJ 28","run","CIN"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"11:59","yes",2,15,"-NYJ 33","pass","CIN"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"11:20","yes",3,8,"-NYJ 26","pass","CIN"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"10:35","yes",1,4,"-NYJ 4","pass","CIN"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"10:31","yes",1,14,"-NYJ 14","pass","CIN"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"9:45","yes",3,12,"-NYJ 12","pass","CIN"
"bengals_at_jets_2022_reg_3","New York Jets",1,"9:35","no",1,10,"-NYJ 25","pass","NYJ"
"bengals_at_jets_2022_reg_3","New York Jets",1,"9:29","yes",1,10,"-NYJ 30","run","NYJ"
"bengals_at_jets_2022_reg_3","New York Jets",1,"8:56","no",2,8,"-NYJ 32","run","NYJ"
"bengals_at_jets_2022_reg_3","New York Jets",1,"8:16","yes",1,10,"-NYJ 40","pass","NYJ"
"bengals_at_jets_2022_reg_3","New York Jets",1,"7:44","no",2,5,"-NYJ 45","pass","NYJ"
"bengals_at_jets_2022_reg_3","New York Jets",1,"7:06","yes",3,6,"-NYJ 44","pass","NYJ"
"bengals_at_jets_2022_reg_3","New York Jets",1,"6:31","no",1,10,"-CIN 33","run","NYJ"
"bengals_at_jets_2022_reg_3","New York Jets",1,"5:50","yes",2,7,"-CIN 30","run","NYJ"
"bengals_at_jets_2022_reg_3","New York Jets",1,"5:11","yes",3,9,"-CIN 32","pass","NYJ"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"5:04","yes",1,10,"-CIN 25","run","CIN"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"4:31","yes",2,6,"-CIN 29","pass","CIN"
"bengals_at_jets_2022_reg_3","New York Jets",1,"3:45","no",1,10,"-CIN 43","pass","NYJ"
"bengals_at_jets_2022_reg_3","New York Jets",1,"3:09","no",1,10,"-CIN 27","run","NYJ"
"bengals_at_jets_2022_reg_3","New York Jets",1,"2:36","no",2,6,"-CIN 23","run","NYJ"
"bengals_at_jets_2022_reg_3","New York Jets",1,"1:58","yes",3,5,"-CIN 22","pass","NYJ"
"bengals_at_jets_2022_reg_3","Cincinnati Bengals",1,"1:49","yes",1,10,"-CIN 25","run","CIN"
