"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"14:56","yes",1,10,"-CIN 22","pass","CIN"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"14:26","yes",2,2,"-CIN 30","pass","CIN"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"13:44","no",1,10,"-NE 31","pass","CIN"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"13:05","yes",1,10,"-NE 14","run","CIN"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"12:31","yes",2,5,"-NE 9","pass","CIN"
"bengals_at_patriots_2022_reg_16","New England Patriots",1,"12:18","no",1,10,"-NE 26","run","NE"
"bengals_at_patriots_2022_reg_16","New England Patriots",1,"11:59","yes",2,8,"-NE 28","run","NE"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"10:35","yes",1,10,"-CIN 41","run","CIN"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"10:00","yes",2,5,"-CIN 46","pass","CIN"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"9:23","yes",1,10,"-NE 48","pass","CIN"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"8:41","no",2,5,"-NE 43","run","CIN"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"7:59","yes",3,3,"-NE 41","run","CIN"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"7:18","yes",1,10,"-NE 36","pass","CIN"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"6:25","yes",2,12,"-NE 38","pass","CIN"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"5:44","yes",3,1,"-NE 27","run","CIN"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"5:23","yes",1,10,"-NE 23","pass","CIN"
"bengals_at_patriots_2022_reg_16","New England Patriots",1,"5:10","yes",1,10,"-NE 30","run","NE"
"bengals_at_patriots_2022_reg_16","New England Patriots",1,"4:35","no",2,4,"-NE 36","run","NE"
"bengals_at_patriots_2022_reg_16","New England Patriots",1,"4:03","yes",3,6,"-NE 34","pass","NE"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"3:49","yes",1,10,"-CIN 49","pass","CIN"
"bengals_at_patriots_2022_reg_16","Cincinnati Bengals",1,"3:13","yes",2,4,"-NE 45","run","CIN"
