"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",1,"15:00","yes",1,10,"-CIN 25","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",1,"14:21","yes",1,10,"-CIN 36","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",1,"13:44","yes",2,10,"-CIN 36","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",1,"13:08","yes",3,4,"-CIN 42","pass","CIN"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"12:57","yes",1,10,"-BLT 30","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"12:06","yes",2,3,"-BLT 37","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"10:44","yes",1,10,"-CIN 48","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"10:19","yes",2,1,"-CIN 39","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"9:39","no",1,10,"-CIN 33","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"8:56","yes",1,10,"-CIN 21","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"8:49","yes",2,10,"-CIN 21","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"8:46","yes",3,10,"-CIN 21","pass","BAL"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",1,"7:57","no",1,10,"-CIN 31","run","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",1,"7:20","yes",2,12,"-CIN 29","run","CIN"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"5:55","yes",1,10,"-BLT 32","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"5:13","yes",1,10,"-BLT 49","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"5:05","yes",2,10,"-BLT 49","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"4:45","yes",1,10,"-CIN 46","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"4:15","yes",1,20,"-BLT 44","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"4:12","yes",2,20,"-BLT 44","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,"3:36","yes",3,15,"-BLT 49","run","BAL"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",1,"2:51","yes",1,10,"-CIN 9","run","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",1,"2:11","yes",2,8,"-CIN 11","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",1,"2:08","yes",3,8,"-CIN 11","pass","CIN"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,":37","no",1,10,"-CIN 29","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",1,":11","yes",2,2,"-CIN 21","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",2,"15:00","yes",3,2,"-CIN 21","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",2,"14:20","yes",1,10,"-CIN 14","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",2,"13:36","yes",2,7,"-CIN 11","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",2,"13:31","yes",3,7,"-CIN 11","pass","BAL"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"13:22","yes",1,10,"-CIN 22","run","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"12:04","yes",3,14,"-CIN 18","pass","CIN"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",2,"11:15","yes",1,10,"-BLT 29","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",2,"10:33","yes",1,10,"-BLT 41","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",2,"10:02","yes",1,10,"-CIN 45","run","BAL"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"9:18","yes",1,10,"-CIN 17","run","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"8:39","yes",2,1,"-CIN 26","run","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"8:00","yes",1,10,"-CIN 29","run","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"7:23","no",1,10,"-CIN 41","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"7:00","yes",1,15,"-CIN 36","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"6:18","yes",1,10,"-BLT 31","run","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"5:40","no",2,1,"-BLT 22","run","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"5:02","yes",1,10,"-BLT 19","pass","CIN"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",2,"4:54","yes",1,10,"-BLT 25","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",2,"4:16","yes",2,1,"-BLT 34","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",2,"3:47","yes",1,10,"-BLT 37","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",2,"2:07","yes",3,12,"-BLT 35","pass","BAL"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"1:54","yes",1,10,"-CIN 16","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"1:50","yes",2,10,"-CIN 16","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"1:47","yes",3,10,"-CIN 16","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"1:22","yes",1,10,"-CIN 31","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,"1:09","yes",1,10,"-CIN 48","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,":29","yes",2,1,"-BLT 43","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,":23","yes",1,10,"-BLT 25","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,":18","yes",2,10,"-BLT 25","pass","CIN"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",2,":13","yes",3,7,"-BLT 22","pass","CIN"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",2,":01","no",1,10,"-BLT 24","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",3,"15:00","yes",1,10,"-BLT 40","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",3,"14:51","yes",2,10,"-BLT 40","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",3,"14:07","yes",1,10,"-CIN 48","run","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",3,"13:27","yes",2,11,"-CIN 49","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",3,"13:21","yes",3,11,"-CIN 49","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",3,"12:36","yes",4,3,"-CIN 41","pass","BAL"
"bengals_at_ravens_2022_reg_5","Cincinnati Bengals",3,"12:31","no",1,10,"-CIN 41","pass","CIN"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",3,"12:24","yes",1,10,"-CIN 46","pass","BAL"
"bengals_at_ravens_2022_reg_5","Baltimore Ravens",3,"12:18","yes",2,10,"-CIN 46","run","BAL"
