"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"15:00","yes",1,10,"-CIN 25","run","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"14:29","yes",2,5,"-CIN 30","run","CIN"
"bengals_at_saints_2022_reg_6","New Orleans Saints",1,"12:54","no",1,10,"-NO 32","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",1,"12:22","no",2,9,"-NO 33","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",1,"12:16","yes",3,9,"-NO 33","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",1,"11:58","yes",1,10,"-CIN 32","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",1,"11:19","yes",2,3,"-CIN 25","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",1,"10:39","yes",1,10,"-CIN 18","pass","NO"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"10:28","yes",1,10,"-CIN 22","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"9:54","yes",2,1,"-CIN 31","run","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"9:21","yes",1,10,"-CIN 34","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"8:40","yes",2,2,"-CIN 42","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"8:35","yes",3,2,"-CIN 42","pass","CIN"
"bengals_at_saints_2022_reg_6","New Orleans Saints",1,"8:20","yes",1,10,"-NO 18","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",1,"7:40","no",1,10,"-NO 30","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",1,"7:34","no",2,10,"-NO 30","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",1,"6:54","yes",3,8,"-NO 32","pass","NO"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"6:40","yes",1,10,"-CIN 25","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"6:09","yes",2,4,"-CIN 31","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"5:32","yes",1,10,"-CIN 37","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"4:58","yes",1,10,"-CIN 49","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"4:24","yes",2,2,"-NO 43","run","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"3:53","yes",1,10,"-NO 38","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"3:09","yes",2,10,"-NO 38","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"3:01","yes",1,10,"-NO 24","run","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"1:43","yes",3,3,"-NO 17","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,"1:01","yes",1,9,"-NO 9","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,":56","yes",2,9,"-NO 9","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",1,":51","yes",3,9,"-NO 9","pass","CIN"
"bengals_at_saints_2022_reg_6","New Orleans Saints",1,":45","no",1,10,"-NO 25","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",1,":12","yes",2,2,"-NO 33","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"15:00","no",1,10,"-NO 40","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"14:24","yes",1,10,"-CIN 46","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"13:49","no",2,8,"-CIN 44","run","NO"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",2,"13:39","yes",1,10,"-CIN 25","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",2,"13:35","yes",2,10,"-CIN 25","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",2,"13:31","yes",3,10,"-CIN 25","pass","CIN"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"12:39","no",1,10,"-NO 25","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"12:04","yes",1,10,"-NO 49","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"10:46","yes",2,6,"-CIN 16","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"10:41","yes",3,6,"-CIN 16","pass","NO"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",2,"10:28","yes",1,10,"-CIN 25","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",2,"9:47","yes",2,4,"-CIN 31","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",2,"9:14","yes",1,10,"-CIN 38","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",2,"8:33","yes",2,6,"-CIN 42","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",2,"7:55","yes",1,10,"-NO 37","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",2,"7:22","yes",2,2,"-NO 29","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",2,"7:17","yes",3,2,"-NO 29","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",2,"6:37","yes",1,10,"-NO 21","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",2,"5:57","yes",2,8,"-NO 19","pass","CIN"
"bengals_at_saints_2022_reg_6","Cincinnati Bengals",2,"5:53","yes",3,8,"-NO 19","run","CIN"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"5:44","no",1,10,"-NO 25","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"5:09","no",2,5,"-NO 30","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"4:27","yes",3,4,"-NO 31","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"3:53","no",1,10,"-NO 38","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"3:21","no",2,10,"-NO 38","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"3:17","yes",3,10,"-NO 38","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"2:33","no",1,10,"-CIN 42","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"2:00","yes",1,10,"-CIN 30","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"1:56","yes",2,11,"-CIN 31","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"1:53","yes",1,10,"-CIN 16","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,"1:41","yes",2,12,"-CIN 18","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",2,":53","yes",3,13,"-CIN 19","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",3,"15:00","yes",1,10,"-NO 25","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",3,"14:55","no",2,10,"-NO 25","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",3,"14:16","yes",3,8,"-NO 27","pass","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",3,"13:35","no",1,10,"-NO 38","run","NO"
"bengals_at_saints_2022_reg_6","New Orleans Saints",3,"12:59","yes",2,5,"-NO 43","run","NO"
