"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,"14:56","yes",1,10,"-CIN 38","run","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,"13:56","yes",2,11,"-CIN 37","run","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,"13:14","yes",3,8,"-CIN 40","pass","CIN"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",1,"12:57","yes",1,10,"-PIT 5","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",1,"12:24","no",2,9,"-PIT 6","run","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",1,"11:48","yes",3,7,"-PIT 8","pass","PIT"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,"11:03","yes",1,10,"-CIN 43","pass","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,"10:24","yes",1,10,"-PIT 36","run","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,"9:47","yes",2,7,"-PIT 33","pass","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,"9:43","yes",3,7,"-PIT 33","run","CIN"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",1,"8:49","no",1,10,"-PIT 35","run","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",1,"8:14","yes",2,5,"-PIT 40","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",1,"7:30","no",1,10,"-CIN 38","run","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",1,"6:52","yes",2,7,"-CIN 35","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",1,"6:13","yes",3,8,"-CIN 36","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",1,"5:29","no",1,10,"-CIN 27","run","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",1,"4:52","no",2,7,"-CIN 24","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",1,"4:46","yes",3,7,"-CIN 24","pass","PIT"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,"4:30","yes",1,10,"-CIN 21","run","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,"3:57","yes",2,12,"-CIN 19","pass","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,"3:16","no",3,1,"-CIN 30","run","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,"2:50","yes",1,10,"-CIN 45","pass","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,"2:05","yes",2,9,"-CIN 46","pass","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,"1:25","no",1,10,"-PIT 30","run","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",1,":48","yes",2,9,"-PIT 29","pass","CIN"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",1,":31","yes",1,10,"-PIT 44","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",1,":27","yes",2,10,"-PIT 44","run","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"15:00","yes",3,7,"-PIT 47","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"14:26","yes",1,10,"-CIN 40","run","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"14:04","yes",2,3,"-CIN 33","run","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"13:45","yes",3,3,"-CIN 33","run","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"13:09","yes",1,10,"-CIN 19","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"13:04","no",2,10,"-CIN 19","run","PIT"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",2,"12:53","yes",1,10,"-CIN 8","run","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",2,"12:13","yes",2,6,"-CIN 12","run","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",2,"11:30","yes",3,4,"-CIN 14","pass","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",2,"10:50","yes",1,10,"-CIN 38","pass","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",2,"10:03","yes",2,4,"-CIN 44","pass","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",2,"9:23","yes",1,10,"-PIT 43","pass","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",2,"8:41","yes",2,3,"-PIT 36","run","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",2,"8:00","yes",1,10,"-PIT 29","pass","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",2,"7:23","yes",2,4,"-PIT 23","pass","CIN"
"bengals_at_steelers_2022_reg_11","Cincinnati Bengals",2,"6:46","yes",1,10,"-PIT 11","pass","CIN"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"6:34","yes",1,10,"-PIT 35","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"6:28","yes",2,10,"-PIT 35","run","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"5:47","yes",3,6,"-PIT 39","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"5:43","no",1,10,"-PIT 44","run","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"4:38","no",3,1,"-CIN 47","run","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"3:56","yes",1,10,"-CIN 46","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"3:48","yes",1,20,"-PIT 44","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"3:07","yes",2,12,"-CIN 48","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"2:25","yes",3,5,"-CIN 41","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"2:20","no",1,10,"-CIN 25","run","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"2:00","yes",2,9,"-CIN 24","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"1:52","yes",3,9,"-CIN 24","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"1:35","yes",2,10,"-CIN 24","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"1:10","yes",1,10,"-CIN 41","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,"1:05","yes",2,10,"-CIN 41","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,":39","yes",1,10,"-PIT 47","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,":31","yes",1,15,"-PIT 39","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,":24","yes",2,3,"-CIN 49","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,":18","yes",1,10,"-CIN 41","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",2,":09","yes",1,10,"-CIN 14","pass","PIT"
"bengals_at_steelers_2022_reg_11","Pittsburgh Steelers",3,"15:00","yes",1,10,"-PIT 25","pass","PIT"
