"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",1,"15:00","no",1,10,"-CIN 25","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",1,"14:19","yes",2,3,"-CIN 32","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",1,"13:50","yes",1,10,"-CIN 36","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",1,"13:47","yes",2,10,"-CIN 36","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",1,"13:09","yes",1,10,"-CIN 49","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",1,"12:35","yes",2,3,"-TEN 44","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",1,"12:32","yes",3,3,"-TEN 44","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",1,"12:05","yes",3,13,"-CIN 46","pass","CIN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"11:50","no",1,10,"-TEN 18","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"11:00","yes",2,6,"-TEN 22","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"10:21","yes",3,1,"-TEN 27","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"9:43","yes",1,10,"-TEN 31","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"9:11","no",1,10,"-TEN 43","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"8:16","yes",2,12,"-TEN 41","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"8:14","yes",3,12,"-TEN 41","pass","TEN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",1,"7:26","yes",1,10,"-CIN 4","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",1,"6:55","yes",2,7,"-CIN 7","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",1,"6:52","yes",3,7,"-CIN 7","pass","CIN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"6:36","yes",1,10,"-TEN 40","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"6:33","yes",2,10,"-TEN 40","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"5:21","yes",3,4,"-TEN 46","pass","TEN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",1,"5:08","yes",1,10,"-CIN 10","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",1,"3:56","yes",3,13,"-CIN 7","pass","CIN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"3:07","no",1,10,"-TEN 46","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"2:24","yes",2,11,"-TEN 45","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"1:46","yes",3,5,"-CIN 49","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,"1:09","no",1,10,"-CIN 41","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,":27","no",2,10,"-CIN 41","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",1,":22","yes",3,10,"-CIN 41","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"15:00","yes",1,10,"-CIN 16","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"14:57","no",2,10,"-CIN 16","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"14:13","yes",3,9,"-CIN 15","pass","TEN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"14:06","no",1,10,"-CIN 25","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"13:31","yes",2,5,"-CIN 30","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"12:58","yes",1,10,"-CIN 39","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"12:17","no",1,10,"-TEN 32","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"11:43","yes",2,6,"-TEN 28","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"11:38","yes",3,6,"-TEN 28","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"11:10","yes",1,10,"-CIN 24","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"10:35","yes",1,20,"-CIN 14","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"10:00","yes",2,19,"-CIN 15","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"9:52","yes",3,19,"-CIN 15","pass","CIN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"9:09","no",1,10,"-TEN 31","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"8:30","yes",2,12,"-TEN 29","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"7:44","yes",3,9,"-TEN 32","pass","TEN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"7:29","yes",1,10,"-CIN 8","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"6:55","no",1,10,"-CIN 40","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"6:20","yes",2,8,"-CIN 42","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"5:34","yes",3,4,"-CIN 46","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"4:52","yes",1,10,"-TEN 42","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"4:10","yes",1,10,"-TEN 29","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"3:27","yes",2,15,"-TEN 34","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"2:48","yes",3,12,"-TEN 31","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"2:00","no",1,7,"-TEN 7","run","CIN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"1:55","yes",1,10,"-TEN 25","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"1:34","yes",1,10,"-TEN 45","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"1:16","yes",1,10,"-CIN 44","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,":59","yes",1,10,"-CIN 34","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,":53","yes",1,20,"-CIN 44","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,":47","yes",2,8,"-CIN 32","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,":42","yes",3,5,"-CIN 29","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,":21","yes",1,10,"-CIN 19","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,":17","yes",2,8,"-CIN 17","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,":12","yes",3,8,"-CIN 17","pass","TEN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,":04","no",1,10,"-CIN 25","run","CIN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"14:54","yes",1,10,"-TEN 18","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"14:19","yes",2,6,"-TEN 22","pass","TEN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"13:38","yes",1,10,"-TEN 45","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"12:58","yes",2,5,"-TEN 40","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"12:14","no",3,1,"-TEN 36","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"11:46","yes",3,10,"-TEN 45","pass","CIN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"11:36","no",1,10,"-TEN 10","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"10:52","yes",2,8,"-TEN 12","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"10:04","yes",3,3,"-TEN 17","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"9:25","no",1,10,"-TEN 23","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"9:20","no",2,10,"-TEN 23","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"8:39","yes",3,10,"-TEN 23","pass","TEN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"7:54","yes",1,10,"-CIN 20","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"7:51","yes",2,10,"-CIN 20","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"7:13","yes",3,9,"-CIN 21","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"6:39","yes",1,10,"-CIN 36","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"6:06","yes",2,5,"-CIN 41","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"6:03","yes",3,5,"-CIN 41","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"5:22","yes",1,10,"-CIN 48","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"4:34","no",2,2,"-TEN 44","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"3:59","yes",1,10,"-TEN 37","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"3:54","yes",2,10,"-TEN 37","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"3:31","yes",1,10,"-TEN 16","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"3:25","yes",2,23,"-TEN 29","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,"3:20","yes",3,23,"-TEN 29","pass","CIN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"2:35","no",1,10,"-TEN 25","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"2:06","no",1,10,"-CIN 12","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,"1:25","no",2,5,"-CIN 7","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",2,":46","yes",3,4,"-CIN 6","pass","TEN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",2,":06","yes",2,5,"-CIN 30","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"15:00","no",1,10,"-CIN 35","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"14:36","no",1,10,"-TEN 41","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"14:01","yes",2,12,"-TEN 43","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"13:47","yes",1,10,"-TEN 27","pass","CIN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",3,"13:42","no",1,10,"-TEN 25","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",3,"13:05","no",2,3,"-TEN 32","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",3,"12:27","yes",1,10,"-TEN 39","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",3,"11:51","no",2,4,"-TEN 45","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",3,"11:09","yes",3,4,"-TEN 45","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",3,"10:20","no",1,10,"-TEN 49","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",3,"9:34","no",2,1,"-CIN 42","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",3,"8:48","yes",3,1,"-CIN 42","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",3,"7:58","no",1,10,"-CIN 25","run","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",3,"7:14","yes",2,10,"-CIN 25","pass","TEN"
"bengals_at_titans_2022_reg_12","Tennessee Titans",3,"6:47","yes",3,15,"-CIN 30","pass","TEN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"6:07","yes",1,10,"-CIN 25","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"5:27","yes",2,2,"-CIN 33","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"4:43","yes",1,10,"-CIN 35","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"3:57","no",2,2,"-CIN 43","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"3:49","yes",1,10,"-TEN 41","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"3:08","yes",2,10,"-TEN 41","pass","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"2:53","no",1,10,"-TEN 12","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"2:06","no",2,7,"-TEN 9","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"2:00","yes",3,11,"-TEN 13","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"1:53","no",1,6,"-TEN 6","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,"1:11","no",2,7,"-TEN 7","run","CIN"
"bengals_at_titans_2022_reg_12","Cincinnati Bengals",3,":36","no",3,8,"-TEN 8","run","CIN"
