"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"14:52","yes",1,10,"-CHI 36","run","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"14:12","yes",2,3,"-CHI 43","run","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"13:35","no",1,10,"-CHI 46","run","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"12:44","no",2,5,"-BUF 49","pass","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"11:58","yes",1,10,"-BUF 29","run","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"11:08","no",1,1,"-BUF 1","run","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"11:04","yes",1,11,"-BUF 11","pass","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"10:27","yes",2,6,"-BUF 6","run","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"9:46","yes",3,6,"-BUF 6","pass","CHI"
"bills_at_bears_2022_reg_16","Buffalo Bills",1,"9:36","yes",1,10,"-BUF 29","pass","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",1,"9:13","yes",1,10,"-CHI 47","pass","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",1,"9:10","yes",1,15,"-BUF 48","pass","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",1,"9:04","yes",2,15,"-BUF 48","pass","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",1,"8:25","yes",3,6,"-CHI 43","run","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",1,"7:47","yes",1,10,"-CHI 33","run","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",1,"7:18","yes",1,20,"-CHI 43","run","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",1,"6:28","no",1,10,"-CHI 19","pass","BUF"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"6:14","yes",1,10,"-CHI 42","pass","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"5:40","yes",2,5,"-CHI 47","run","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"4:15","no",1,10,"-BUF 40","pass","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"4:09","yes",2,10,"-BUF 40","run","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"3:25","yes",3,11,"-BUF 41","pass","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",1,"2:47","yes",4,3,"-BUF 33","pass","CHI"
"bills_at_bears_2022_reg_16","Buffalo Bills",1,"2:44","no",1,10,"-BUF 34","pass","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",1,"1:59","no",1,10,"-BUF 46","run","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",1,"1:21","yes",2,8,"-BUF 48","run","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",1,":39","no",1,10,"-CHI 37","run","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",2,"15:00","yes",2,7,"-CHI 34","pass","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",2,"14:25","yes",1,10,"-CHI 19","run","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",2,"13:54","yes",1,20,"-CHI 29","pass","BUF"
"bills_at_bears_2022_reg_16","Chicago Bears",2,"12:53","yes",1,10,"-CHI 34","pass","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",2,"12:23","no",2,3,"-CHI 41","run","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",2,"11:41","yes",1,10,"-CHI 46","pass","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",2,"11:37","yes",2,10,"-CHI 46","pass","CHI"
"bills_at_bears_2022_reg_16","Buffalo Bills",2,"10:10","no",1,10,"-BUF 2","run","BUF"
"bills_at_bears_2022_reg_16","Buffalo Bills",2,"9:33","no",2,11,"-BUF 1","run","BUF"
"bills_at_bears_2022_reg_16","Chicago Bears",2,"7:53","yes",1,10,"-BUF 38","run","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",2,"7:15","no",2,9,"-BUF 37","run","CHI"
"bills_at_bears_2022_reg_16","Chicago Bears",2,"6:37","yes",3,6,"-BUF 34","run","CHI"
