"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"15:00","yes",1,10,"-BUF 25","pass","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"14:22","no",2,11,"-BUF 24","pass","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"13:43","no",1,10,"-BUF 46","run","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"12:59","no",2,1,"-KC 45","pass","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"12:18","no",1,10,"-KC 43","run","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"11:55","yes",1,10,"-KC 33","run","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"11:16","yes",2,2,"-KC 25","pass","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"10:33","yes",1,10,"-KC 17","pass","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"9:51","yes",2,6,"-KC 13","run","BUF"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"9:47","yes",1,10,"-KC 11","run","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"9:15","yes",2,5,"-KC 16","pass","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"8:45","yes",1,10,"-KC 27","pass","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"8:42","yes",2,10,"-KC 27","pass","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"8:04","yes",1,10,"-BUF 47","pass","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"7:29","yes",1,10,"-BUF 34","pass","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"6:55","yes",2,7,"-BUF 31","pass","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"6:22","yes",1,10,"-BUF 23","run","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"5:48","yes",2,2,"-BUF 15","pass","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"5:39","yes",2,7,"-BUF 20","pass","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"5:33","yes",3,2,"-BUF 15","run","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"4:52","yes",4,2,"-BUF 15","run","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"4:14","yes",1,9,"-BUF 9","pass","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"4:10","yes",2,9,"-BUF 9","run","KC"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",1,"3:28","yes",3,9,"-BUF 9","pass","KC"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"3:16","no",1,10,"-BUF 20","pass","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"2:38","yes",1,10,"-KC 49","pass","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"2:35","yes",2,10,"-KC 49","run","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"1:50","no",3,1,"-KC 40","run","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,"1:09","yes",1,10,"-KC 36","pass","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",1,":28","yes",2,5,"-KC 31","run","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",2,"15:00","no",1,10,"-KC 22","run","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",2,"14:30","yes",1,13,"-KC 25","pass","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",2,"14:25","yes",2,13,"-KC 25","run","BUF"
"bills_at_chiefs_2022_reg_6","Buffalo Bills",2,"13:43","yes",3,9,"-KC 21","pass","BUF"
"bills_at_chiefs_2022_reg_6","Kansas City Chiefs",2,"13:26","yes",1,10,"-KC 21","pass","KC"
