"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"14:32","no",1,10,"-MIA 47","pass","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"13:51","no",1,10,"-MIA 28","run","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"13:09","yes",2,12,"-MIA 30","pass","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"12:27","yes",1,10,"-MIA 16","pass","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"11:41","yes",2,2,"-MIA 8","pass","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"11:15","no",1,4,"-MIA 4","run","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"10:33","no",2,5,"-MIA 5","run","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"9:06","yes",4,2,"-MIA 2","pass","BUF"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",1,"8:58","yes",1,15,"-MIA 17","pass","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",1,"8:54","yes",2,15,"-MIA 17","pass","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",1,"8:16","yes",3,10,"-MIA 22","pass","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",1,"8:00","no",1,10,"-MIA 27","run","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",1,"7:25","yes",2,2,"-MIA 35","pass","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",1,"7:21","yes",3,2,"-MIA 35","run","MIA"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"6:37","yes",1,10,"-BUF 12","run","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"6:04","yes",2,9,"-BUF 13","run","BUF"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",1,"5:13","yes",1,6,"-BUF 6","pass","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",1,"4:48","no",2,1,"-BUF 1","run","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",1,"4:25","no",2,1,"-BUF 1","run","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",1,"3:39","no",3,1,"-BUF 1","run","MIA"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"3:37","yes",1,10,"-BUF 25","pass","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"3:06","yes",2,3,"-BUF 32","pass","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"2:30","yes",1,10,"-BUF 40","pass","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",1,"1:53","no",2,2,"-BUF 48","pass","BUF"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",1,":49","yes",2,9,"-MIA 37","pass","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",1,":07","yes",3,9,"-MIA 37","pass","MIA"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",2,"15:00","yes",4,2,"-MIA 30","run","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",2,"13:39","yes",2,19,"-MIA 36","pass","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",2,"12:57","no",1,9,"-MIA 9","pass","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",2,"12:48","yes",2,9,"-MIA 9","pass","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",2,"12:03","yes",3,8,"-MIA 8","pass","BUF"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",2,"11:54","no",1,10,"-MIA 17","run","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",2,"11:20","no",2,6,"-MIA 21","pass","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",2,"10:50","yes",1,10,"-MIA 32","pass","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",2,"10:10","yes",1,10,"-MIA 45","pass","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",2,"9:28","yes",1,10,"-BUF 38","pass","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",2,"8:53","yes",2,4,"-BUF 32","run","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",2,"8:13","yes",1,10,"-BUF 23","run","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",2,"7:31","yes",2,1,"-BUF 14","run","MIA"
"bills_at_dolphins_2022_reg_3","Miami Dolphins",2,"6:51","yes",1,10,"-BUF 11","pass","MIA"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",2,"6:45","yes",1,10,"-BUF 25","pass","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",2,"6:09","yes",2,2,"-BUF 33","pass","BUF"
"bills_at_dolphins_2022_reg_3","Buffalo Bills",2,"5:30","no",1,10,"-BUF 43","pass","BUF"
