"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"14:58","no",1,10,"-BUF 45","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"14:21","yes",1,10,"-NYJ 13","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"14:17","no",2,10,"-NYJ 13","pass","BUF"
"bills_at_jets_2022_reg_9","New York Jets",1,"14:11","no",1,10,"-NYJ 14","run","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",1,"13:26","yes",2,14,"-NYJ 10","pass","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",1,"13:17","yes",3,14,"-NYJ 10","run","NYJ"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"12:21","yes",1,10,"-BUF 33","run","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"11:50","yes",2,9,"-BUF 34","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"11:09","no",1,10,"-BUF 47","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"11:04","yes",2,10,"-BUF 47","run","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"10:18","yes",3,5,"-NYJ 48","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"9:40","yes",1,10,"-NYJ 37","run","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"9:12","no",2,4,"-NYJ 31","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"8:32","yes",3,5,"-NYJ 32","run","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"7:48","no",1,10,"-NYJ 25","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"7:00","no",2,1,"-NYJ 16","run","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"5:36","no",2,12,"-NYJ 14","run","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,"4:41","no",1,1,"-NYJ 1","run","BUF"
"bills_at_jets_2022_reg_9","New York Jets",1,"4:31","no",1,10,"-NYJ 16","pass","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",1,"3:51","yes",1,10,"-NYJ 31","run","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",1,"3:16","no",2,3,"-NYJ 38","run","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",1,"2:47","no",1,10,"-BUF 42","pass","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",1,"2:03","yes",2,5,"-BUF 37","run","NYJ"
"bills_at_jets_2022_reg_9","Buffalo Bills",1,":31","no",1,10,"-BUF 25","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,"15:00","no",2,2,"-BUF 33","run","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,"14:15","yes",1,10,"-BUF 39","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,"14:10","yes",2,10,"-BUF 39","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,"14:05","yes",3,10,"-BUF 39","pass","BUF"
"bills_at_jets_2022_reg_9","New York Jets",2,"13:51","yes",1,10,"-NYJ 20","pass","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,"13:05","no",2,3,"-NYJ 27","run","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,"12:17","no",1,10,"-BUF 48","run","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,"11:41","yes",2,5,"-BUF 43","pass","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,"10:53","yes",3,7,"-BUF 45","pass","NYJ"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,"10:42","yes",1,10,"-BUF 7","run","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,"10:10","yes",2,6,"-BUF 11","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,"9:34","yes",3,3,"-BUF 14","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,"8:57","yes",1,10,"-BUF 21","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,"8:24","yes",1,10,"-BUF 35","run","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,"7:50","yes",2,6,"-BUF 39","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,"7:17","yes",1,10,"-NYJ 44","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,"7:14","yes",2,10,"-NYJ 44","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,"6:38","yes",3,2,"-NYJ 36","run","BUF"
"bills_at_jets_2022_reg_9","New York Jets",2,"6:30","yes",1,10,"-NYJ 25","pass","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,"5:14","no",3,1,"-NYJ 34","run","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,"4:29","yes",1,10,"-NYJ 35","pass","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,"4:24","yes",2,10,"-NYJ 35","pass","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,"3:44","yes",1,10,"-BUF 41","run","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,"3:00","yes",2,9,"-BUF 40","pass","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,"2:26","yes",3,1,"-BUF 32","run","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,"2:00","no",4,1,"-BUF 32","pass","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,"1:14","no",1,10,"-BUF 27","run","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,":52","no",2,6,"-BUF 23","pass","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,":42","yes",1,10,"-BUF 16","pass","NYJ"
"bills_at_jets_2022_reg_9","New York Jets",2,":35","yes",1,6,"-BUF 6","run","NYJ"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,":32","yes",1,10,"-BUF 25","pass","BUF"
"bills_at_jets_2022_reg_9","Buffalo Bills",2,":23","yes",1,10,"-BUF 40","pass","BUF"
"bills_at_jets_2022_reg_9","New York Jets",2,":14","yes",2,10,"-NYJ 43","pass","NYJ"
