"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"14:55","no",1,10,"-DET 24","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"14:28","no",2,10,"-DET 24","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"14:20","yes",3,10,"-DET 24","pass","DET"
"bills_at_lions_2022_reg_12","Buffalo Bills",1,"14:02","yes",1,10,"-BUF 19","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",1,"13:59","no",2,10,"-BUF 19","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",1,"13:22","yes",3,7,"-BUF 22","pass","BUF"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"13:01","no",1,10,"-DET 39","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"12:20","no",2,6,"-DET 43","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"12:14","yes",3,1,"-DET 48","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"11:40","no",1,10,"-BUF 46","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"11:07","no",2,7,"-BUF 43","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"10:27","yes",1,10,"-BUF 28","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"10:23","yes",2,10,"-BUF 28","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"9:44","yes",3,8,"-BUF 26","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"9:03","yes",1,10,"-BUF 14","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"8:23","no",2,4,"-BUF 8","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"7:40","no",3,4,"-BUF 8","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"6:56","no",4,1,"-BUF 5","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"6:47","yes",1,2,"-BUF 2","run","DET"
"bills_at_lions_2022_reg_12","Buffalo Bills",1,"6:44","yes",1,10,"-BUF 25","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",1,"6:05","no",2,7,"-BUF 28","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",1,"5:27","yes",1,10,"-BUF 44","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",1,"4:15","yes",3,1,"-DET 47","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",1,"3:36","yes",1,10,"-DET 44","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",1,"3:33","yes",2,10,"-DET 44","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",1,"2:51","yes",1,10,"-DET 23","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",1,"2:45","no",2,10,"-DET 23","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",1,"2:04","yes",3,6,"-DET 19","pass","BUF"
"bills_at_lions_2022_reg_12","Detroit Lions",1,"1:52","no",1,10,"-DET 28","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",1,":45","yes",3,9,"-DET 29","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"15:00","yes",1,10,"-DET 42","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"14:54","yes",2,10,"-DET 42","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"14:09","no",1,10,"-BUF 43","run","DET"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,"13:23","no",1,10,"-BUF 42","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,"12:22","yes",1,10,"-DET 42","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,"11:46","yes",2,6,"-DET 38","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,"11:06","yes",3,1,"-DET 33","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,"10:29","yes",1,10,"-DET 31","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,"9:57","yes",2,9,"-DET 30","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,"9:23","yes",1,10,"-DET 11","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,"8:40","yes",2,3,"-DET 4","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,"8:00","yes",3,2,"-DET 3","run","BUF"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"7:51","no",1,10,"-DET 24","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"7:13","yes",2,13,"-DET 21","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"6:40","yes",3,8,"-DET 26","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"5:57","yes",4,1,"-DET 33","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"5:39","yes",1,10,"-DET 35","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"5:16","no",1,5,"-DET 40","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"4:41","yes",2,3,"-DET 42","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"4:05","no",1,10,"-BUF 45","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"3:26","no",2,3,"-BUF 38","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"2:27","yes",2,3,"-BUF 9","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"2:08","yes",1,2,"-BUF 2","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"2:04","no",2,2,"-BUF 2","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"2:00","no",3,6,"-BUF 6","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,"1:55","no",4,1,"-BUF 1","pass","DET"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,"1:52","yes",1,10,"-BUF 25","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,"1:25","yes",1,10,"-DET 48","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,"1:20","yes",2,10,"-DET 48","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,":52","yes",3,5,"-DET 43","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",2,":32","yes",1,10,"-DET 36","pass","BUF"
"bills_at_lions_2022_reg_12","Detroit Lions",2,":26","yes",1,10,"-DET 20","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",2,":16","yes",2,10,"-DET 20","pass","DET"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"15:00","yes",1,10,"-BUF 25","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"14:20","no",2,5,"-BUF 30","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"13:39","yes",1,10,"-BUF 36","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"13:35","yes",2,10,"-BUF 36","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"13:00","yes",3,13,"-BUF 33","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"12:30","yes",1,10,"-BUF 49","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"11:48","yes",2,11,"-BUF 48","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"10:53","no",1,10,"-DET 32","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"10:14","yes",2,7,"-DET 29","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"10:06","yes",3,7,"-DET 29","pass","BUF"
"bills_at_lions_2022_reg_12","Detroit Lions",3,"9:55","no",1,10,"-DET 8","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",3,"9:15","yes",2,15,"-DET 3","pass","DET"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"8:59","no",1,10,"-BUF 35","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"7:44","no",2,7,"-DET 47","pass","BUF"
"bills_at_lions_2022_reg_12","Detroit Lions",3,"6:45","yes",1,10,"-DET 14","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",3,"6:06","no",1,10,"-DET 27","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",3,"5:21","no",1,10,"-BUF 47","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",3,"4:45","yes",2,10,"-BUF 47","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",3,"4:06","no",3,1,"-BUF 38","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",3,"3:22","yes",1,10,"-BUF 11","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",3,"3:18","yes",2,10,"-BUF 11","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",3,"2:39","yes",3,14,"-BUF 15","pass","DET"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"1:23","yes",2,10,"-BUF 20","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",3,"1:18","yes",3,10,"-BUF 20","pass","BUF"
"bills_at_lions_2022_reg_12","Detroit Lions",3,":56","no",1,10,"-BUF 35","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",3,":50","no",2,9,"-BUF 21","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",4,"15:00","yes",1,10,"-BUF 10","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",4,"14:27","yes",2,5,"-BUF 5","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",4,"13:52","yes",3,1,"-BUF 1","pass","DET"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"13:46","no",1,10,"-BUF 25","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"13:08","no",2,9,"-BUF 26","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"12:19","yes",3,1,"-BUF 34","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"11:50","yes",1,10,"-BUF 36","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"11:25","yes",2,2,"-BUF 44","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"10:53","yes",1,10,"-BUF 47","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"10:50","yes",2,10,"-BUF 47","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"10:46","yes",3,10,"-BUF 47","pass","BUF"
"bills_at_lions_2022_reg_12","Detroit Lions",4,"10:34","no",1,10,"-DET 9","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",4,"9:59","yes",1,10,"-DET 28","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",4,"9:21","no",1,10,"-DET 44","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",4,"9:15","yes",2,10,"-DET 44","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",4,"9:12","yes",3,10,"-DET 44","pass","DET"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"8:59","no",1,10,"-BUF 10","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"8:26","yes",2,8,"-BUF 12","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"7:58","yes",1,10,"-BUF 20","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"7:32","yes",2,2,"-BUF 28","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"6:59","yes",1,10,"-BUF 32","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"6:21","yes",2,8,"-BUF 34","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"5:58","yes",1,10,"-BUF 49","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"5:24","yes",2,7,"-DET 48","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"4:54","yes",1,10,"-DET 39","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"4:23","yes",1,10,"-DET 27","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"3:59","yes",2,2,"-DET 19","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"3:31","yes",1,10,"-DET 15","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"3:26","yes",2,10,"-DET 15","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"3:22","yes",1,7,"-DET 7","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,"2:44","yes",2,5,"-DET 5","pass","BUF"
"bills_at_lions_2022_reg_12","Detroit Lions",4,"2:40","no",1,10,"-DET 25","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",4,"2:10","no",2,7,"-DET 28","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",4,"2:01","yes",1,10,"-DET 42","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",4,"1:57","yes",3,6,"-DET 46","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",4,":45","no",4,1,"-BUF 49","run","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",4,":40","yes",1,10,"-BUF 42","pass","DET"
"bills_at_lions_2022_reg_12","Detroit Lions",4,":32","yes",3,1,"-BUF 33","pass","DET"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,":23","yes",1,10,"-BUF 25","pass","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,":16","yes",1,10,"-DET 39","run","BUF"
"bills_at_lions_2022_reg_12","Buffalo Bills",4,":13","yes",2,7,"-DET 36","run","BUF"
