"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"bills_at_patriots_2022_reg_13","New England Patriots",1,"14:54","yes",1,10,"-NE 20","run","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",1,"14:21","yes",2,8,"-NE 22","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",1,"13:47","no",3,1,"-NE 29","run","NE"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"12:57","yes",1,10,"-BUF 33","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"12:51","no",2,10,"-BUF 33","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"12:09","no",1,10,"-NE 48","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"11:28","yes",2,11,"-NE 49","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"11:23","yes",3,11,"-NE 49","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"10:49","yes",1,10,"-NE 28","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"10:27","yes",1,20,"-NE 38","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"8:50","yes",3,20,"-NE 38","pass","BUF"
"bills_at_patriots_2022_reg_13","New England Patriots",1,"8:02","no",1,10,"-NE 25","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",1,"7:22","no",2,1,"-NE 34","run","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",1,"6:39","no",1,10,"-NE 36","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",1,"6:03","no",1,10,"-NE 47","run","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",1,"4:55","yes",2,5,"-BUF 48","pass","NE"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"4:42","no",1,10,"-BUF 18","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"4:01","yes",2,8,"-BUF 20","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"3:19","no",1,10,"-BUF 34","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"3:14","yes",2,10,"-BUF 34","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"2:34","yes",3,9,"-BUF 35","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"2:29","no",1,10,"-NE 43","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"1:48","no",1,10,"-NE 15","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,"1:02","yes",2,8,"-NE 13","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",1,":21","yes",1,5,"-NE 5","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"15:00","yes",2,8,"-NE 8","pass","BUF"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"14:50","no",1,10,"-NE 9","run","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"14:14","yes",2,11,"-NE 8","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"14:11","no",3,18,"-NE 1","run","NE"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"13:13","yes",1,10,"-BUF 44","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"13:07","yes",2,10,"-BUF 44","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"12:29","no",1,10,"-NE 45","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"11:49","yes",2,6,"-NE 41","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"11:10","yes",3,3,"-NE 38","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"10:28","yes",1,10,"-NE 30","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"9:46","yes",2,8,"-NE 28","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"9:02","no",3,1,"-NE 21","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"8:20","no",1,10,"-NE 19","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"7:38","yes",2,4,"-NE 13","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"6:58","yes",3,3,"-NE 12","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"6:19","yes",1,8,"-NE 8","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"5:39","yes",2,8,"-NE 8","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"5:34","yes",3,8,"-NE 8","pass","BUF"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"5:27","no",1,10,"-NE 25","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"4:58","yes",2,10,"-NE 25","run","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"4:22","yes",3,10,"-NE 25","pass","NE"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"4:04","no",1,10,"-BUF 29","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"3:58","yes",2,10,"-BUF 29","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"3:15","yes",3,8,"-BUF 31","pass","BUF"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"2:55","yes",1,10,"-NE 15","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"2:53","yes",2,10,"-NE 15","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"2:16","yes",3,7,"-NE 18","pass","NE"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"2:03","yes",1,10,"-BUF 43","pass","BUF"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"1:51","yes",1,10,"-NE 41","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"1:47","yes",2,10,"-NE 41","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"1:39","yes",2,20,"-BUF 49","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"1:20","yes",1,10,"-NE 42","run","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,":54","yes",1,10,"-BUF 44","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,":50","yes",2,1,"-BUF 35","run","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,":34","no",3,1,"-BUF 35","run","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,":32","yes",1,10,"-BUF 33","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,":26","yes",2,10,"-BUF 33","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,":22","yes",3,6,"-BUF 29","pass","NE"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,":10","yes",1,10,"-BUF 38","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,":04","no",2,10,"-BUF 38","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"14:54","no",1,10,"-BUF 25","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"14:10","yes",2,6,"-BUF 29","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"13:42","yes",1,10,"-BUF 42","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"13:09","yes",1,10,"-NE 41","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"13:06","yes",2,10,"-NE 41","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"12:44","yes",2,18,"-NE 49","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"11:59","yes",3,11,"-NE 42","pass","BUF"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"11:45","no",1,10,"-NE 20","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"11:12","yes",2,4,"-NE 26","run","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"10:36","no",1,10,"-NE 33","run","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"10:10","yes",1,10,"-NE 44","run","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"9:28","no",1,10,"-BUF 45","run","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",2,"9:10","yes",3,14,"-BUF 49","pass","NE"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"8:26","no",1,10,"-BUF 6","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"7:44","yes",2,4,"-BUF 12","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"7:02","yes",1,10,"-BUF 19","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"6:20","yes",2,7,"-BUF 22","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"5:39","yes",3,4,"-BUF 25","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"5:18","no",1,10,"-BUF 44","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"4:35","no",2,9,"-BUF 45","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"3:52","no",1,10,"-NE 36","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"2:39","yes",1,10,"-NE 24","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"2:02","yes",2,7,"-NE 21","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,"1:26","yes",3,4,"-NE 18","pass","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",2,":44","no",1,9,"-NE 9","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",3,"15:00","yes",2,8,"-NE 8","run","BUF"
"bills_at_patriots_2022_reg_13","Buffalo Bills",3,"14:34","yes",3,1,"-NE 1","run","BUF"
"bills_at_patriots_2022_reg_13","New England Patriots",3,"14:26","yes",1,10,"-NE 28","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",3,"13:46","no",1,10,"-NE 43","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",3,"13:41","yes",2,10,"-NE 43","pass","NE"
"bills_at_patriots_2022_reg_13","New England Patriots",3,"13:01","yes",3,15,"-NE 38","pass","NE"
