"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,"15:00","yes",1,10,"-LAC 25","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,"14:54","no",1,10,"-DEN 45","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,"14:20","no",2,2,"-DEN 37","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,"14:14","yes",3,2,"-DEN 37","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,"14:10","yes",4,2,"-DEN 37","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,"13:28","no",1,10,"-DEN 33","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,"12:51","no",2,11,"-DEN 34","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,"12:45","yes",3,16,"-DEN 39","pass","LAC"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"12:31","yes",1,10,"-DEN 21","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"12:12","yes",1,20,"-DEN 11","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"11:31","yes",2,18,"-DEN 13","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"10:21","yes",3,14,"-DEN 17","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"10:16","no",1,10,"-DEN 38","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"9:45","no",2,2,"-DEN 46","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"9:20","yes",1,10,"-LAC 38","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"8:44","yes",2,3,"-LAC 31","run","DEN"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,"7:14","no",1,10,"-LAC 29","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,"6:53","no",1,20,"-LAC 19","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,"6:29","yes",2,11,"-LAC 28","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,"6:23","yes",3,11,"-LAC 28","pass","LAC"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"5:30","yes",1,10,"-DEN 16","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"4:59","yes",2,12,"-DEN 14","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"4:21","yes",3,4,"-DEN 22","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"4:03","yes",1,10,"-DEN 27","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"3:24","yes",2,10,"-DEN 27","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"2:40","yes",3,13,"-DEN 24","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",1,"1:57","yes",1,10,"-LAC 39","pass","DEN"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,"1:45","yes",2,7,"-LAC 21","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",1,":24","yes",1,10,"-LAC 29","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"15:00","yes",1,10,"-DEN 47","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"14:23","yes",2,8,"-DEN 45","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"13:55","yes",3,4,"-DEN 41","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"13:17","yes",1,10,"-DEN 35","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"13:12","yes",2,10,"-DEN 35","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"12:32","yes",3,5,"-DEN 30","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"11:50","yes",1,10,"-DEN 24","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"11:17","yes",2,10,"-DEN 24","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"10:37","yes",3,5,"-DEN 19","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"10:00","no",1,10,"-DEN 14","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"9:41","no",2,10,"-DEN 14","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"9:16","no",3,2,"-DEN 6","run","LAC"
"broncos_at_chargers_2022_reg_6","Denver Broncos",2,"9:01","no",1,10,"-DEN 29","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",2,"8:26","no",2,9,"-DEN 30","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",2,"7:42","yes",3,5,"-DEN 34","pass","DEN"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"7:29","no",1,10,"-LAC 12","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"7:04","yes",2,7,"-LAC 15","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"6:24","no",3,1,"-LAC 21","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"5:46","no",1,10,"-LAC 25","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"4:22","yes",3,13,"-LAC 22","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"4:13","yes",1,10,"-DEN 42","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"3:57","yes",1,20,"-LAC 48","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"3:24","no",2,3,"-DEN 35","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"2:46","yes",3,2,"-DEN 34","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"2:41","yes",1,10,"-DEN 23","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"2:00","no",2,5,"-DEN 18","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"1:51","yes",3,3,"-DEN 16","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"1:14","yes",1,10,"-DEN 12","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,"1:01","yes",3,17,"-DEN 19","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,":53","yes",2,10,"-DEN 25","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,":26","yes",1,10,"-LAC 28","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,":22","yes",1,10,"-LAC 18","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,":17","yes",1,9,"-LAC 9","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,":12","yes",2,9,"-LAC 9","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",2,":08","yes",3,9,"-LAC 9","pass","LAC"
"broncos_at_chargers_2022_reg_6","Denver Broncos",3,"15:00","no",1,10,"-DEN 25","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",3,"14:22","no",2,2,"-DEN 33","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",3,"13:46","yes",3,2,"-DEN 33","pass","DEN"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"13:27","no",1,10,"-LAC 28","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"12:49","yes",1,10,"-LAC 39","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"12:12","no",2,5,"-LAC 44","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"11:55","yes",2,15,"-LAC 34","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"11:30","no",3,1,"-LAC 48","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"10:44","no",1,10,"-DEN 35","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"10:06","no",1,10,"-DEN 21","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"9:33","no",2,4,"-DEN 15","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"9:15","yes",3,1,"-DEN 12","pass","LAC"
"broncos_at_chargers_2022_reg_6","Denver Broncos",3,"9:08","no",1,10,"-DEN 25","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",3,"9:03","no",2,10,"-DEN 25","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",3,"8:19","yes",3,5,"-DEN 30","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",3,"7:50","yes",1,10,"-DEN 35","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",3,"7:19","yes",2,4,"-DEN 41","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",3,"6:50","no",1,10,"-DEN 46","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",3,"6:10","yes",2,9,"-DEN 47","pass","DEN"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"5:13","yes",1,10,"-LAC 30","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"5:10","yes",2,10,"-LAC 30","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"4:19","no",3,1,"-LAC 39","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"3:37","no",1,10,"-LAC 41","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"2:54","no",1,10,"-DEN 47","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"2:19","yes",2,7,"-DEN 44","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"2:13","yes",3,7,"-DEN 44","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,"1:28","yes",1,10,"-DEN 37","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,":50","yes",2,8,"-DEN 35","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",3,":44","yes",3,8,"-DEN 35","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"15:00","yes",4,2,"-DEN 29","pass","LAC"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"14:55","no",1,10,"-DEN 29","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"14:25","no",2,6,"-DEN 33","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"13:43","yes",1,10,"-DEN 40","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"13:40","yes",2,10,"-DEN 40","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"12:56","yes",3,1,"-DEN 49","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"12:16","yes",1,10,"-LAC 41","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"11:36","yes",2,11,"-LAC 42","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"10:58","yes",3,8,"-LAC 39","pass","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"10:28","no",1,10,"-LAC 30","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"9:45","yes",2,9,"-LAC 29","pass","DEN"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"8:21","yes",1,10,"-LAC 25","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"8:02","yes",1,10,"-LAC 42","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"7:27","no",2,1,"-DEN 49","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"6:42","no",3,1,"-DEN 49","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"6:24","no",1,10,"-DEN 27","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"5:46","yes",2,13,"-DEN 30","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"5:04","yes",3,8,"-DEN 25","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"4:59","no",1,10,"-DEN 15","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"4:54","yes",1,20,"-DEN 25","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"4:10","yes",2,12,"-DEN 17","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"4:06","yes",3,12,"-DEN 17","pass","LAC"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"3:58","yes",1,10,"-DEN 25","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"3:24","yes",1,10,"-DEN 39","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"2:39","yes",2,6,"-DEN 43","pass","DEN"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"1:27","yes",2,10,"-LAC 25","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"1:03","yes",3,5,"-LAC 30","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,":38","yes",2,5,"-LAC 40","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,":33","no",3,1,"-LAC 44","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,":01","yes",4,1,"-LAC 44","pass","LAC"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"10:00","yes",1,10,"-DEN 25","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"9:23","yes",2,5,"-DEN 30","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"8:39","yes",3,1,"-DEN 34","pass","DEN"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"8:22","yes",1,10,"-LAC 19","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"8:09","yes",1,19,"-LAC 10","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"7:31","yes",2,14,"-LAC 15","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"7:24","yes",3,14,"-LAC 15","pass","LAC"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"7:10","yes",1,10,"-DEN 31","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"6:31","yes",2,8,"-DEN 33","run","DEN"
"broncos_at_chargers_2022_reg_6","Denver Broncos",4,"5:50","yes",3,7,"-DEN 34","pass","DEN"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"5:36","yes",1,10,"-LAC 19","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"5:32","yes",2,10,"-LAC 19","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"5:28","yes",3,15,"-LAC 14","pass","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"4:46","no",1,10,"-DEN 28","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"4:05","no",2,11,"-DEN 29","run","LAC"
"broncos_at_chargers_2022_reg_6","Los Angeles Chargers",4,"3:23","yes",3,12,"-DEN 30","pass","LAC"
