"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",1,"14:55","yes",1,10,"-DEN 17","run","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",1,"14:09","no",2,6,"-DEN 21","run","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",1,"13:27","yes",3,5,"-DEN 22","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"13:17","yes",1,10,"-KC 35","run","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"12:42","yes",2,8,"-KC 37","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"12:04","yes",3,2,"-KC 43","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"11:33","no",1,10,"-KC 47","run","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"10:18","yes",3,1,"-DEN 44","run","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"9:39","yes",4,1,"-DEN 44","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"9:04","no",1,10,"-DEN 34","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"8:24","yes",1,10,"-DEN 23","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"7:42","no",1,5,"-DEN 5","run","KC"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",1,"7:35","no",1,10,"-DEN 25","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",1,"7:00","yes",2,3,"-DEN 32","run","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",1,"6:26","yes",1,10,"-DEN 36","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",1,"6:22","yes",2,10,"-DEN 36","run","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",1,"5:41","yes",3,5,"-DEN 41","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"5:24","yes",1,10,"-KC 9","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"4:44","yes",2,7,"-KC 12","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"4:06","no",1,10,"-KC 21","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"3:26","yes",2,4,"-KC 27","run","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",1,"2:48","yes",3,1,"-KC 30","pass","KC"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",1,"2:32","no",1,10,"-DEN 21","run","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",1,"2:06","yes",2,8,"-DEN 23","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",1,"1:25","yes",3,2,"-DEN 29","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",1,":53","yes",1,10,"-DEN 33","run","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",1,":16","no",2,8,"-DEN 35","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"15:00","no",1,10,"-DEN 46","run","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"14:20","yes",2,5,"-KC 49","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"13:38","yes",3,2,"-KC 46","run","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"13:09","no",4,1,"-KC 45","run","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"12:34","no",1,10,"-KC 43","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"11:48","no",2,6,"-KC 39","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"11:40","no",1,10,"-KC 34","run","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"11:04","no",2,6,"-KC 30","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"10:58","yes",3,6,"-KC 30","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"10:46","no",1,10,"-KC 25","run","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"10:11","yes",2,4,"-KC 31","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"9:31","yes",1,10,"-KC 40","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"8:10","yes",1,10,"-DEN 10","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"8:01","yes",2,10,"-DEN 10","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"7:57","yes",3,10,"-DEN 10","pass","KC"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"7:51","yes",1,10,"-DEN 20","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"6:28","yes",3,10,"-DEN 20","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"5:50","no",1,10,"-DEN 38","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"5:45","yes",2,10,"-DEN 38","run","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"5:05","yes",3,7,"-DEN 41","pass","DEN"
"broncos_at_chiefs_2022_reg_17","Denver Broncos",2,"4:45","yes",1,10,"-KC 16","run","DEN"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"4:40","yes",1,10,"-KC 25","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"4:04","yes",1,10,"-DEN 48","run","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"3:44","yes",1,20,"-KC 42","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"3:08","yes",2,8,"-DEN 46","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"2:21","yes",1,10,"-DEN 18","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"2:00","yes",2,7,"-DEN 15","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"1:57","yes",3,7,"-DEN 15","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"1:52","yes",1,10,"-DEN 10","pass","KC"
"broncos_at_chiefs_2022_reg_17","Kansas City Chiefs",2,"1:08","yes",2,6,"-DEN 6","pass","KC"
