"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"broncos_at_jaguars_2022_reg_8","Denver Broncos",1,"14:54","yes",1,10,"-DEN 22","pass","DEN"
"broncos_at_jaguars_2022_reg_8","Denver Broncos",1,"14:50","yes",2,10,"-DEN 22","run","DEN"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"13:28","yes",1,10,"-JAX 27","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"12:42","yes",1,10,"-JAX 38","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"12:03","yes",2,7,"-JAX 41","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"11:25","yes",3,7,"-JAX 41","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Denver Broncos",1,"11:08","yes",1,10,"-DEN 17","run","DEN"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"10:36","yes",1,10,"-DEN 37","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"10:04","yes",2,4,"-DEN 31","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"9:48","no",2,14,"-DEN 41","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"9:08","yes",1,10,"-DEN 26","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"8:27","yes",2,9,"-DEN 25","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"7:46","yes",3,6,"-DEN 22","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Denver Broncos",1,"7:40","no",1,10,"-DEN 25","run","DEN"
"broncos_at_jaguars_2022_reg_8","Denver Broncos",1,"7:12","yes",2,9,"-DEN 26","run","DEN"
"broncos_at_jaguars_2022_reg_8","Denver Broncos",1,"6:50","yes",2,17,"-DEN 18","pass","DEN"
"broncos_at_jaguars_2022_reg_8","Denver Broncos",1,"5:49","yes",3,16,"-DEN 19","pass","DEN"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"5:04","yes",1,10,"-JAX 19","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"4:28","yes",2,8,"-JAX 21","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"3:56","no",3,1,"-JAX 28","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"3:22","no",1,10,"-JAX 33","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"2:42","no",2,2,"-JAX 41","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"1:52","yes",1,10,"-JAX 43","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,"1:20","yes",1,10,"-DEN 42","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,":40","yes",2,9,"-DEN 41","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",1,":03","yes",1,10,"-DEN 28","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",2,"15:00","yes",2,1,"-DEN 19","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",2,"14:24","yes",1,10,"-DEN 17","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",2,"13:41","yes",1,5,"-DEN 5","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",2,"13:36","yes",2,5,"-DEN 5","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",2,"13:31","yes",1,3,"-DEN 3","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",2,"12:51","yes",2,5,"-DEN 5","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",2,"12:48","yes",1,1,"-DEN 1","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Denver Broncos",2,"12:42","yes",1,10,"-DEN 20","pass","DEN"
"broncos_at_jaguars_2022_reg_8","Denver Broncos",2,"12:36","yes",2,10,"-DEN 20","run","DEN"
"broncos_at_jaguars_2022_reg_8","Denver Broncos",2,"12:01","no",3,1,"-DEN 29","run","DEN"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",2,"10:52","yes",1,10,"-JAX 27","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",2,"10:48","yes",2,10,"-JAX 27","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",2,"10:12","yes",1,10,"-DEN 24","run","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",2,"9:30","yes",2,11,"-DEN 25","pass","JAX"
"broncos_at_jaguars_2022_reg_8","Jacksonville Jaguars",2,"9:22","yes",3,11,"-DEN 25","pass","JAX"
