"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"15:00","no",1,10,"-CAR 25","pass","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"14:20","no",1,10,"-CAR 40","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"13:41","no",2,9,"-CAR 41","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"12:56","yes",3,6,"-CAR 44","pass","CAR"
"broncos_at_panthers_2022_reg_12","Denver Broncos",1,"12:40","no",1,10,"-DEN 5","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",1,"12:01","no",2,13,"-DEN 2","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",1,"11:23","yes",3,11,"-DEN 4","pass","DEN"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"11:05","no",1,10,"-DEN 41","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"10:35","yes",1,20,"-CAR 49","pass","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"10:31","yes",2,20,"-CAR 49","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"9:48","yes",3,18,"-DEN 49","pass","CAR"
"broncos_at_panthers_2022_reg_12","Denver Broncos",1,"9:33","no",1,10,"-DEN 12","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",1,"9:04","no",2,7,"-DEN 15","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",1,"8:19","yes",3,3,"-DEN 19","pass","DEN"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"7:30","no",1,10,"-CAR 29","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"6:49","no",2,8,"-CAR 31","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"6:09","yes",3,2,"-CAR 37","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"5:31","no",4,1,"-CAR 38","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"4:47","no",1,10,"-CAR 40","pass","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"4:03","no",2,8,"-CAR 42","pass","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"3:24","no",1,10,"-DEN 32","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"2:44","no",1,10,"-DEN 17","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"2:02","no",2,6,"-DEN 13","pass","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,"1:17","no",1,7,"-DEN 7","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",1,":36","no",2,5,"-DEN 5","pass","CAR"
"broncos_at_panthers_2022_reg_12","Denver Broncos",1,":30","yes",1,10,"-DEN 25","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",1,":07","yes",2,3,"-DEN 32","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,"15:00","no",1,10,"-DEN 43","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,"13:36","yes",3,20,"-DEN 33","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,"12:46","no",1,10,"-CAR 27","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,"12:04","yes",1,10,"-CAR 14","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,"11:24","yes",2,3,"-CAR 7","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,"10:52","no",3,2,"-CAR 6","run","DEN"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,"10:11","no",1,10,"-CAR 25","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,"9:27","no",1,10,"-CAR 43","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,"8:55","no",2,1,"-DEN 48","pass","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,"8:13","yes",1,10,"-DEN 43","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,"7:37","no",2,8,"-DEN 41","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,"6:57","yes",3,3,"-DEN 36","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,"6:14","no",1,10,"-DEN 30","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,"5:37","no",2,3,"-DEN 23","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,"4:49","yes",3,4,"-DEN 24","pass","CAR"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,"4:42","no",1,10,"-DEN 25","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,"4:07","yes",1,10,"-CAR 23","pass","DEN"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,"3:56","no",1,10,"-CAR 21","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,"3:28","no",1,20,"-CAR 11","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,"2:48","no",2,17,"-CAR 14","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,"2:03","yes",3,13,"-CAR 18","pass","CAR"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,"1:48","yes",1,10,"-DEN 15","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,"1:42","yes",2,7,"-DEN 18","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,"1:23","yes",1,10,"-DEN 25","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,"1:15","yes",2,8,"-DEN 27","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,"1:09","yes",3,5,"-DEN 30","pass","DEN"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",2,":54","yes",1,10,"-CAR 17","pass","CAR"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,":49","yes",3,8,"-CAR 19","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,":30","yes",1,10,"-DEN 29","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,":23","yes",2,8,"-DEN 31","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,":17","yes",3,8,"-DEN 31","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",2,":10","yes",1,10,"-DEN 40","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",3,"15:00","yes",1,10,"-DEN 25","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",3,"14:26","yes",2,10,"-DEN 25","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",3,"13:46","yes",3,2,"-DEN 33","pass","DEN"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,"13:34","no",1,10,"-CAR 28","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,"12:56","yes",2,4,"-CAR 34","pass","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,"12:21","no",1,10,"-CAR 48","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,"11:39","no",2,6,"-DEN 48","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,"11:02","no",1,10,"-DEN 36","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,"10:17","no",2,9,"-DEN 35","pass","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,"9:34","no",1,10,"-DEN 15","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,"8:51","no",2,9,"-DEN 14","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,"8:14","no",1,5,"-DEN 5","run","CAR"
"broncos_at_panthers_2022_reg_12","Denver Broncos",3,"7:16","no",1,10,"-DEN 28","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",3,"6:34","no",2,3,"-DEN 35","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",3,"5:52","yes",3,3,"-DEN 35","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",3,"5:26","yes",1,10,"-DEN 41","run","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",3,"5:01","yes",2,21,"-DEN 30","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",3,"4:58","yes",3,21,"-DEN 30","pass","DEN"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,"4:12","no",1,10,"-CAR 15","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,"3:33","no",2,5,"-CAR 20","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,"2:55","yes",3,3,"-CAR 22","run","CAR"
"broncos_at_panthers_2022_reg_12","Denver Broncos",3,"1:54","yes",1,10,"-DEN 9","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",3,"1:46","no",2,10,"-DEN 9","pass","DEN"
"broncos_at_panthers_2022_reg_12","Denver Broncos",3,"1:42","yes",3,10,"-DEN 9","pass","DEN"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,":52","no",1,10,"-CAR 25","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",3,":11","no",2,6,"-CAR 29","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",4,"15:00","no",1,10,"-CAR 39","pass","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",4,"14:23","no",1,9,"-DEN 9","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",4,"13:45","no",2,8,"-DEN 8","pass","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",4,"13:40","yes",3,8,"-DEN 8","pass","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",4,"13:24","no",1,10,"-DEN 35","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",4,"12:40","no",2,8,"-DEN 33","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",4,"11:55","yes",3,6,"-DEN 31","pass","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",4,"11:13","no",1,10,"-DEN 23","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",4,"10:28","no",2,5,"-DEN 18","run","CAR"
"broncos_at_panthers_2022_reg_12","Carolina Panthers",4,"9:43","no",3,2,"-DEN 15","run","CAR"
