"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"14:52","no",1,10,"-LV 32","run","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"14:18","no",2,5,"-LV 37","pass","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"13:45","no",1,10,"-LV 45","run","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"12:38","no",1,10,"-DEN 30","pass","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"12:33","yes",2,10,"-DEN 30","pass","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"12:04","no",3,2,"-DEN 22","run","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"11:20","no",1,10,"-DEN 13","pass","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"10:43","no",2,4,"-DEN 7","run","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"10:01","yes",3,5,"-DEN 8","pass","LV"
"broncos_at_raiders_2022_reg_4","Denver Broncos",1,"9:52","no",1,10,"-DEN 25","pass","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",1,"9:13","no",1,10,"-DEN 40","run","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",1,"8:33","yes",2,13,"-DEN 37","pass","DEN"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"7:06","no",1,10,"-LV 13","run","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"6:00","yes",2,13,"-LV 10","pass","LV"
"broncos_at_raiders_2022_reg_4","Denver Broncos",1,"4:54","no",1,10,"-LV 34","pass","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",1,"4:13","no",1,9,"-LV 9","run","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",1,"3:38","no",2,8,"-LV 8","run","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",1,"2:50","yes",3,5,"-LV 5","pass","DEN"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"2:45","yes",1,10,"-LV 25","pass","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"2:24","no",1,10,"-LV 37","run","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"1:51","no",2,7,"-LV 40","run","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,"1:19","no",1,10,"-LV 47","run","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",1,":44","no",2,1,"-DEN 44","run","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",2,"15:00","no",1,5,"-DEN 37","run","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",2,"14:16","no",2,3,"-DEN 35","run","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",2,"13:40","no",1,10,"-DEN 31","pass","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",2,"13:09","no",2,1,"-DEN 22","run","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",2,"12:33","yes",1,10,"-DEN 18","pass","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",2,"12:28","no",1,5,"-DEN 13","run","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",2,"11:53","no",2,2,"-DEN 10","run","LV"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"11:45","no",1,10,"-LV 48","run","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"11:05","no",2,6,"-LV 44","pass","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"11:01","yes",3,6,"-LV 44","pass","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"10:27","no",1,10,"-LV 12","pass","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"10:22","yes",1,15,"-LV 17","pass","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"9:35","yes",2,16,"-LV 18","pass","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"8:50","yes",3,16,"-LV 18","pass","DEN"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",2,"7:59","no",1,10,"-LV 20","pass","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",2,"7:54","yes",2,10,"-LV 20","pass","LV"
"broncos_at_raiders_2022_reg_4","Las Vegas Raiders",2,"7:12","yes",3,8,"-LV 22","pass","LV"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"6:23","no",1,10,"-DEN 48","run","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"5:24","yes",2,13,"-DEN 45","pass","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"4:44","yes",3,9,"-DEN 49","run","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"4:06","no",4,1,"-LV 43","run","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"3:15","no",1,10,"-DEN 25","run","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"2:32","no",2,1,"-DEN 34","run","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"2:00","no",1,10,"-DEN 47","run","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"1:36","yes",2,12,"-DEN 45","pass","DEN"
"broncos_at_raiders_2022_reg_4","Denver Broncos",2,"1:29","yes",1,10,"-LV 20","pass","DEN"
