"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"15:00","no",1,10,"-LA 25","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"14:38","yes",2,6,"-LA 29","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"14:01","no",1,10,"-LA 36","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"13:23","no",2,2,"-LA 44","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"12:36","no",1,10,"-DEN 40","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"11:59","no",2,5,"-DEN 35","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"11:15","no",3,1,"-DEN 31","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"10:17","no",1,15,"-DEN 32","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"9:36","yes",2,15,"-DEN 32","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"9:14","yes",3,28,"-DEN 45","pass","LAR"
"broncos_at_rams_2022_reg_16","Denver Broncos",1,"8:26","yes",1,10,"-DEN 25","pass","DEN"
"broncos_at_rams_2022_reg_16","Denver Broncos",1,"8:20","no",2,10,"-DEN 25","run","DEN"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"7:35","no",1,10,"-DEN 34","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"7:01","no",2,7,"-DEN 31","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"6:25","yes",1,9,"-DEN 9","pass","LAR"
"broncos_at_rams_2022_reg_16","Denver Broncos",1,"6:19","no",1,10,"-DEN 25","run","DEN"
"broncos_at_rams_2022_reg_16","Denver Broncos",1,"5:45","no",2,6,"-DEN 29","run","DEN"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"5:12","no",1,10,"-DEN 11","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,"4:49","no",2,1,"-DEN 2","run","LAR"
"broncos_at_rams_2022_reg_16","Denver Broncos",1,"4:45","yes",1,10,"-DEN 25","run","DEN"
"broncos_at_rams_2022_reg_16","Denver Broncos",1,"4:07","yes",2,7,"-DEN 28","pass","DEN"
"broncos_at_rams_2022_reg_16","Denver Broncos",1,"2:44","yes",2,19,"-DEN 39","pass","DEN"
"broncos_at_rams_2022_reg_16","Denver Broncos",1,"2:09","yes",1,10,"-LA 38","run","DEN"
"broncos_at_rams_2022_reg_16","Denver Broncos",1,"1:49","no",1,20,"-LA 48","run","DEN"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",1,":39","no",1,10,"-LA 25","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"15:00","yes",2,9,"-LA 26","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"14:36","yes",3,2,"-LA 33","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"13:27","no",1,10,"-DEN 38","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"12:45","yes",2,5,"-DEN 33","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"12:04","no",1,10,"-DEN 26","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"11:17","yes",2,7,"-DEN 23","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"10:33","no",1,9,"-DEN 9","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"9:52","yes",2,7,"-DEN 7","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"9:47","yes",3,7,"-DEN 7","pass","LAR"
"broncos_at_rams_2022_reg_16","Denver Broncos",2,"9:36","no",1,10,"-DEN 34","run","DEN"
"broncos_at_rams_2022_reg_16","Denver Broncos",2,"9:06","yes",1,10,"-DEN 44","run","DEN"
"broncos_at_rams_2022_reg_16","Denver Broncos",2,"8:37","no",2,6,"-DEN 48","run","DEN"
"broncos_at_rams_2022_reg_16","Denver Broncos",2,"8:12","yes",1,10,"-LA 45","pass","DEN"
"broncos_at_rams_2022_reg_16","Denver Broncos",2,"8:07","yes",2,10,"-LA 45","pass","DEN"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"7:12","no",1,10,"-LA 10","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"6:38","no",2,5,"-LA 15","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"6:34","yes",3,5,"-LA 15","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"5:48","no",1,10,"-LA 31","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"5:08","yes",2,7,"-LA 34","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"4:47","yes",1,10,"-LA 42","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"4:20","yes",2,5,"-LA 47","pass","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"3:34","no",3,1,"-DEN 49","run","LAR"
"broncos_at_rams_2022_reg_16","Los Angeles Rams",2,"2:47","no",1,10,"-DEN 44","pass","LAR"
