"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"14:56","no",1,10,"-DEN 17","run","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"14:24","no",2,7,"-DEN 20","pass","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"13:53","no",1,10,"-DEN 28","run","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"13:33","yes",2,3,"-DEN 35","run","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"12:55","no",3,1,"-DEN 37","run","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"12:20","yes",1,10,"-DEN 39","run","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"11:49","no",2,6,"-DEN 43","pass","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"11:14","no",1,10,"-BLT 38","run","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"10:36","no",2,7,"-BLT 35","run","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"9:54","yes",3,5,"-BLT 33","run","DEN"
"broncos_at_ravens_2022_reg_13","Baltimore Ravens",1,"8:59","yes",1,10,"-BLT 23","run","BAL"
"broncos_at_ravens_2022_reg_13","Baltimore Ravens",1,"8:34","yes",2,9,"-BLT 24","pass","BAL"
"broncos_at_ravens_2022_reg_13","Baltimore Ravens",1,"8:02","yes",3,5,"-BLT 28","pass","BAL"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"7:50","no",1,10,"-DEN 20","run","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"7:21","no",2,6,"-DEN 24","pass","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"6:42","yes",3,1,"-DEN 29","run","DEN"
"broncos_at_ravens_2022_reg_13","Baltimore Ravens",1,"5:58","yes",1,10,"-BLT 32","run","BAL"
"broncos_at_ravens_2022_reg_13","Baltimore Ravens",1,"5:11","no",2,1,"-BLT 41","run","BAL"
"broncos_at_ravens_2022_reg_13","Baltimore Ravens",1,"3:44","yes",2,14,"-BLT 40","pass","BAL"
"broncos_at_ravens_2022_reg_13","Baltimore Ravens",1,"3:07","yes",3,9,"-BLT 45","pass","BAL"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"2:24","no",1,10,"-DEN 19","pass","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",1,"2:20","no",2,10,"-DEN 19","run","DEN"
"broncos_at_ravens_2022_reg_13","Baltimore Ravens",1,":54","yes",1,10,"-BLT 30","run","BAL"
"broncos_at_ravens_2022_reg_13","Baltimore Ravens",2,"15:00","yes",3,13,"-BLT 27","pass","BAL"
"broncos_at_ravens_2022_reg_13","Denver Broncos",2,"14:01","no",1,10,"-DEN 14","run","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",2,"13:21","no",2,3,"-DEN 21","run","DEN"
"broncos_at_ravens_2022_reg_13","Denver Broncos",2,"12:52","no",1,10,"-DEN 27","run","DEN"
