"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"14:54","no",1,10,"-SEA 30","run","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"14:17","yes",2,10,"-SEA 30","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"13:38","yes",3,3,"-SEA 37","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"12:52","yes",1,15,"-SEA 49","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"12:19","no",2,6,"-DEN 42","run","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"11:37","yes",3,2,"-DEN 38","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"11:21","no",1,10,"-DEN 11","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"11:18","no",2,10,"-DEN 11","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"10:26","no",1,10,"-DEN 36","run","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"9:43","no",2,1,"-DEN 45","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"9:04","no",1,10,"-SEA 28","run","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"8:34","no",1,10,"-SEA 18","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"8:25","no",2,15,"-SEA 23","run","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"7:41","yes",3,10,"-SEA 18","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"6:48","yes",1,10,"-SEA 21","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"6:40","yes",1,10,"-SEA 42","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"6:19","yes",1,10,"-DEN 30","run","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"5:33","no",2,8,"-DEN 28","run","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"4:49","no",1,10,"-DEN 16","run","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"4:10","yes",2,6,"-DEN 12","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"3:30","no",3,2,"-DEN 8","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"3:00","no",4,1,"-DEN 7","run","SEA"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"2:55","no",1,10,"-DEN 7","run","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"2:16","yes",1,10,"-DEN 20","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"1:34","no",1,10,"-DEN 32","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,":54","no",2,3,"-DEN 39","run","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"14:14","no",2,17,"-DEN 40","run","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"13:29","yes",3,12,"-DEN 45","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"13:14","yes",1,10,"-SEA 19","run","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"12:39","yes",2,9,"-SEA 20","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"12:02","yes",3,1,"-SEA 28","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"11:28","yes",1,10,"-SEA 31","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"11:01","no",1,10,"-SEA 46","run","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"10:13","yes",1,10,"-DEN 26","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"9:51","no",1,10,"-DEN 21","run","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"9:14","yes",2,8,"-DEN 19","run","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"8:48","no",2,18,"-DEN 29","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"8:04","yes",3,26,"-DEN 37","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"7:20","no",1,10,"-DEN 25","run","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"6:34","yes",2,11,"-DEN 24","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"5:46","yes",3,2,"-DEN 33","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"5:34","yes",1,10,"-SEA 25","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"4:50","no",2,7,"-SEA 28","run","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"4:20","no",1,10,"-SEA 37","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"4:15","yes",2,10,"-SEA 37","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"3:37","no",1,10,"-DEN 47","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"3:07","no",1,10,"-DEN 29","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"2:31","yes",2,6,"-DEN 25","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"2:19","yes",1,10,"-DEN 21","run","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"2:00","yes",1,10,"-DEN 31","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"1:29","yes",1,10,"-DEN 44","run","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,":55","yes",2,8,"-DEN 46","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,":48","yes",1,10,"-SEA 24","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,":26","yes",3,18,"-SEA 32","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"14:56","no",1,10,"-DEN 20","run","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"14:20","no",2,12,"-DEN 18","run","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"13:37","no",3,4,"-DEN 26","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"13:00","yes",1,10,"-DEN 44","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"12:14","no",2,3,"-SEA 49","run","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"11:35","yes",1,10,"-SEA 36","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"10:28","yes",2,14,"-SEA 40","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"10:22","no",1,9,"-SEA 9","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"9:09","yes",2,11,"-SEA 11","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Denver Broncos",1,"8:25","yes",3,9,"-SEA 9","pass","DEN"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"7:33","yes",1,10,"-SEA 10","run","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"7:12","yes",2,9,"-SEA 11","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"7:05","yes",3,9,"-SEA 11","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"7:01","no",1,10,"-SEA 16","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"6:55","yes",1,10,"-SEA 31","run","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"6:21","yes",2,10,"-SEA 31","pass","SEA"
"broncos_at_seahawks_2022_reg_1","Seattle Seahawks",1,"6:17","yes",3,10,"-SEA 31","pass","SEA"
