"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"15:00","no",1,10,"-TEN 25","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"14:15","yes",2,8,"-TEN 27","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"13:45","yes",3,3,"-TEN 32","pass","TEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"13:28","yes",1,10,"-DEN 4","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"13:22","yes",2,10,"-DEN 4","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"13:17","yes",3,10,"-DEN 4","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"12:45","yes",1,10,"-DEN 39","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"12:42","yes",2,10,"-DEN 39","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"11:58","yes",3,10,"-DEN 39","pass","DEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"11:41","yes",1,10,"-TEN 25","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"11:02","yes",2,8,"-TEN 27","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"10:19","no",3,1,"-TEN 34","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"9:37","yes",1,10,"-TEN 35","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"9:33","yes",2,10,"-TEN 35","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"8:49","yes",3,7,"-TEN 38","pass","TEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"8:31","yes",1,10,"-DEN 21","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"8:17","yes",1,10,"-DEN 21","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"8:13","no",2,10,"-DEN 21","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"7:28","yes",3,3,"-DEN 28","pass","DEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"7:16","no",1,10,"-TEN 28","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"6:43","no",1,10,"-DEN 47","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"6:00","yes",2,7,"-DEN 44","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"5:57","yes",3,7,"-DEN 44","pass","TEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"5:46","yes",1,10,"-DEN 6","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"5:17","yes",1,10,"-DEN 17","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"4:39","no",2,10,"-DEN 17","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"3:52","yes",3,11,"-DEN 16","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"3:19","yes",1,10,"-DEN 32","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,"2:38","yes",2,9,"-DEN 33","pass","DEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,"1:37","no",1,10,"-TEN 42","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",1,":57","yes",2,7,"-TEN 45","pass","TEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",1,":03","no",1,10,"-DEN 8","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"15:00","yes",1,15,"-DEN 20","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"14:28","yes",2,6,"-DEN 29","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"13:54","yes",1,10,"-DEN 39","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"13:26","yes",2,12,"-DEN 37","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"12:44","yes",3,9,"-DEN 40","pass","DEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,"12:28","yes",1,10,"-TEN 20","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,"12:26","no",2,10,"-TEN 20","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,"11:34","yes",3,4,"-TEN 26","pass","TEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"11:21","yes",1,15,"-DEN 15","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"10:54","no",2,1,"-DEN 29","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"10:18","yes",3,2,"-DEN 28","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"9:44","yes",1,10,"-DEN 30","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"9:14","yes",2,10,"-DEN 30","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"8:30","yes",3,6,"-DEN 34","pass","DEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,"8:15","no",1,10,"-TEN 29","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,"7:38","yes",2,7,"-TEN 32","run","TEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"5:56","no",2,3,"-DEN 45","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"5:30","no",1,10,"-TEN 49","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"5:00","no",2,10,"-TEN 49","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"4:24","yes",1,10,"-TEN 32","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"3:54","yes",1,20,"-TEN 42","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"3:51","yes",2,20,"-TEN 42","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"3:16","yes",2,15,"-TEN 37","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"3:13","no",1,10,"-TEN 22","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"2:40","no",2,9,"-TEN 21","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,"2:35","yes",3,9,"-TEN 21","pass","DEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,"2:23","yes",1,10,"-TEN 25","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,"2:00","yes",2,3,"-TEN 32","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,"1:57","yes",3,3,"-TEN 32","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,"1:37","yes",1,10,"-TEN 38","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,"1:32","yes",2,10,"-TEN 38","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,"1:11","yes",1,10,"-DEN 46","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,":54","yes",2,5,"-DEN 41","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,":50","yes",1,10,"-DEN 35","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,":29","yes",1,10,"-DEN 25","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,":22","yes",1,9,"-DEN 9","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,":19","yes",2,9,"-DEN 9","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",2,":16","yes",3,9,"-DEN 9","pass","TEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",2,":06","no",1,10,"-DEN 26","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"15:00","no",1,10,"-DEN 25","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"14:56","no",2,10,"-DEN 25","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"14:11","yes",3,5,"-DEN 30","pass","DEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"13:54","no",1,10,"-TEN 30","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"13:18","yes",2,3,"-TEN 37","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"13:12","no",2,13,"-TEN 27","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"12:35","yes",3,3,"-TEN 37","run","TEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"11:26","no",1,10,"-DEN 20","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"11:00","no",1,10,"-DEN 31","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"10:41","no",1,5,"-DEN 36","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"10:00","no",2,4,"-DEN 37","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"9:20","no",1,10,"-DEN 46","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"7:39","yes",3,16,"-DEN 40","pass","DEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"6:53","no",1,10,"-TEN 20","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"6:09","yes",2,8,"-TEN 22","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"5:25","no",1,10,"-TEN 37","pass","TEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"5:14","no",1,10,"-DEN 25","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"4:36","no",2,9,"-DEN 26","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"4:07","no",1,10,"-DEN 31","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"3:36","yes",2,11,"-DEN 30","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"2:55","no",3,1,"-DEN 40","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"2:30","no",4,1,"-DEN 40","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"1:53","yes",1,10,"-DEN 42","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"1:49","yes",2,10,"-DEN 42","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"1:08","yes",3,13,"-DEN 39","pass","DEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,":50","no",1,10,"-TEN 20","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,":06","no",2,7,"-TEN 23","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,":02","yes",3,7,"-TEN 23","pass","TEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"14:49","no",1,10,"-DEN 18","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"14:12","yes",2,11,"-DEN 17","pass","DEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"11:19","no",1,10,"-TEN 42","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"10:30","yes",2,10,"-TEN 42","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"9:48","yes",3,11,"-TEN 41","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"8:58","no",1,10,"-DEN 42","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"8:16","no",2,3,"-DEN 35","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"7:39","yes",3,2,"-DEN 34","run","TEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"7:34","yes",1,10,"-DEN 38","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"7:30","yes",2,15,"-DEN 33","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"7:26","yes",3,15,"-DEN 33","pass","DEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"6:51","no",1,10,"-TEN 20","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"6:22","no",2,5,"-TEN 25","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"6:17","yes",3,5,"-TEN 25","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"5:36","no",1,10,"-TEN 33","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"4:52","no",2,6,"-TEN 37","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"4:07","yes",3,4,"-TEN 39","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"3:17","no",1,10,"-DEN 20","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"3:13","no",2,10,"-DEN 20","run","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,"3:08","yes",3,7,"-DEN 17","pass","TEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"2:27","yes",2,12,"-DEN 23","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"2:03","yes",3,5,"-DEN 30","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"1:54","yes",4,5,"-DEN 30","run","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"1:48","yes",1,10,"-DEN 39","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,"1:15","yes",1,10,"-TEN 44","pass","DEN"
"broncos_at_titans_2022_reg_10","Denver Broncos",3,":48","yes",1,10,"-TEN 27","pass","DEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,":30","yes",4,13,"-TEN 30","pass","TEN"
"broncos_at_titans_2022_reg_10","Tennessee Titans",3,":11","no",1,10,"-TEN 1","run","TEN"
