"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"browns_at_bengals_2022_reg_14","Cincinnati Bengals",1,"15:00","yes",1,10,"-CIN 25","run","CIN"
"browns_at_bengals_2022_reg_14","Cincinnati Bengals",1,"14:23","yes",2,7,"-CIN 28","pass","CIN"
"browns_at_bengals_2022_reg_14","Cincinnati Bengals",1,"14:19","yes",3,7,"-CIN 28","pass","CIN"
"browns_at_bengals_2022_reg_14","Cleveland Browns",1,"14:05","yes",1,10,"-CLV 24","pass","CLE"
"browns_at_bengals_2022_reg_14","Cleveland Browns",1,"13:32","no",1,10,"-CLV 42","pass","CLE"
"browns_at_bengals_2022_reg_14","Cleveland Browns",1,"13:08","yes",1,10,"-CIN 45","run","CLE"
"browns_at_bengals_2022_reg_14","Cleveland Browns",1,"12:29","no",2,12,"-CIN 47","run","CLE"
"browns_at_bengals_2022_reg_14","Cleveland Browns",1,"11:50","yes",1,10,"-CIN 34","pass","CLE"
"browns_at_bengals_2022_reg_14","Cleveland Browns",1,"11:15","yes",2,7,"-CIN 31","run","CLE"
"browns_at_bengals_2022_reg_14","Cleveland Browns",1,"10:37","yes",3,1,"-CIN 25","run","CLE"
"browns_at_bengals_2022_reg_14","Cleveland Browns",1,"9:55","no",4,1,"-CIN 25","pass","CLE"
"browns_at_bengals_2022_reg_14","Cincinnati Bengals",1,"9:50","yes",1,10,"-CIN 26","pass","CIN"
"browns_at_bengals_2022_reg_14","Cincinnati Bengals",1,"9:11","no",3,1,"-CIN 35","run","CIN"
"browns_at_bengals_2022_reg_14","Cincinnati Bengals",1,"8:32","yes",1,10,"-CIN 37","run","CIN"
"browns_at_bengals_2022_reg_14","Cincinnati Bengals",1,"7:51","yes",2,9,"-CIN 38","pass","CIN"
"browns_at_bengals_2022_reg_14","Cincinnati Bengals",1,"7:48","yes",3,9,"-CIN 38","pass","CIN"
"browns_at_bengals_2022_reg_14","Cleveland Browns",1,"7:02","yes",1,10,"-CLV 19","run","CLE"
"browns_at_bengals_2022_reg_14","Cleveland Browns",1,"6:16","no",2,12,"-CLV 17","run","CLE"
"browns_at_bengals_2022_reg_14","Cincinnati Bengals",1,"4:43","no",1,10,"-CIN 10","pass","CIN"
"browns_at_bengals_2022_reg_14","Cincinnati Bengals",1,"4:38","yes",2,10,"-CIN 10","run","CIN"
"browns_at_bengals_2022_reg_14","Cincinnati Bengals",1,"4:17","yes",3,3,"-CIN 17","run","CIN"
"browns_at_bengals_2022_reg_14","Cincinnati Bengals",1,"3:29","yes",1,10,"-CIN 20","run","CIN"
"browns_at_bengals_2022_reg_14","Cincinnati Bengals",1,"2:52","no",2,8,"-CIN 22","pass","CIN"
