"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"14:52","yes",1,10,"-CLV 25","pass","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"14:08","no",1,10,"-CLV 42","run","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"13:31","no",2,7,"-CLV 45","run","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"12:53","yes",3,11,"-CLV 41","run","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"12:04","no",1,10,"-BUF 37","run","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"11:25","yes",2,7,"-BUF 34","pass","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"10:39","yes",3,11,"-BUF 38","pass","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"9:53","no",1,10,"-BUF 22","run","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"9:08","yes",2,13,"-BUF 25","pass","CLE"
"browns_at_bills_2022_reg_11","Buffalo Bills",1,"8:56","no",1,10,"-BUF 35","pass","BUF"
"browns_at_bills_2022_reg_11","Buffalo Bills",1,"8:21","no",2,5,"-BUF 40","run","BUF"
"browns_at_bills_2022_reg_11","Buffalo Bills",1,"7:40","yes",3,3,"-BUF 42","pass","BUF"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"7:25","no",1,10,"-CLV 11","run","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"6:45","no",2,6,"-CLV 15","pass","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"6:37","yes",3,6,"-CLV 15","pass","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"6:07","yes",3,13,"-CLV 8","pass","CLE"
"browns_at_bills_2022_reg_11","Buffalo Bills",1,"5:16","yes",1,10,"-CLV 32","pass","BUF"
"browns_at_bills_2022_reg_11","Buffalo Bills",1,"4:23","no",2,2,"-CLV 24","run","BUF"
"browns_at_bills_2022_reg_11","Buffalo Bills",1,"3:42","yes",3,2,"-CLV 24","pass","BUF"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"3:26","no",1,10,"-CLV 35","pass","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"2:41","yes",1,10,"-BUF 39","pass","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"1:58","yes",2,8,"-BUF 37","run","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,"1:14","no",1,10,"-BUF 25","run","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",1,":31","yes",2,5,"-BUF 20","pass","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",2,"15:00","yes",1,8,"-BUF 8","run","CLE"
"browns_at_bills_2022_reg_11","Cleveland Browns",2,"14:17","yes",2,14,"-BUF 14","pass","CLE"
