"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"browns_at_commanders_2022_reg_17","Cleveland Browns",1,"15:00","yes",1,10,"-CLV 25","pass","CLE"
"browns_at_commanders_2022_reg_17","Cleveland Browns",1,"14:57","no",2,10,"-CLV 25","pass","CLE"
"browns_at_commanders_2022_reg_17","Cleveland Browns",1,"14:18","no",1,10,"-CLV 37","run","CLE"
"browns_at_commanders_2022_reg_17","Cleveland Browns",1,"13:41","yes",2,2,"-CLV 45","run","CLE"
"browns_at_commanders_2022_reg_17","Cleveland Browns",1,"13:16","yes",1,20,"-CLV 40","pass","CLE"
"browns_at_commanders_2022_reg_17","Cleveland Browns",1,"12:29","yes",3,28,"-CLV 32","pass","CLE"
"browns_at_commanders_2022_reg_17","Washington Commanders",1,"11:38","yes",1,10,"-WAS 20","run","WAS"
"browns_at_commanders_2022_reg_17","Washington Commanders",1,"10:57","yes",2,6,"-WAS 24","pass","WAS"
"browns_at_commanders_2022_reg_17","Cleveland Browns",1,"10:48","no",1,10,"-WAS 36","pass","CLE"
"browns_at_commanders_2022_reg_17","Cleveland Browns",1,"10:11","yes",1,10,"-WAS 24","pass","CLE"
"browns_at_commanders_2022_reg_17","Cleveland Browns",1,"10:06","yes",2,10,"-WAS 24","run","CLE"
"browns_at_commanders_2022_reg_17","Cleveland Browns",1,"9:30","yes",3,5,"-WAS 19","pass","CLE"
"browns_at_commanders_2022_reg_17","Washington Commanders",1,"9:17","yes",1,10,"-WAS 22","run","WAS"
"browns_at_commanders_2022_reg_17","Washington Commanders",1,"8:41","yes",2,9,"-WAS 23","pass","WAS"
"browns_at_commanders_2022_reg_17","Washington Commanders",1,"7:59","yes",3,7,"-WAS 25","pass","WAS"
"browns_at_commanders_2022_reg_17","Washington Commanders",1,"7:23","no",1,10,"-WAS 36","run","WAS"
"browns_at_commanders_2022_reg_17","Washington Commanders",1,"6:43","yes",2,6,"-WAS 40","run","WAS"
"browns_at_commanders_2022_reg_17","Washington Commanders",1,"6:01","yes",1,10,"-CLV 49","run","WAS"
"browns_at_commanders_2022_reg_17","Washington Commanders",1,"5:22","no",2,5,"-CLV 44","run","WAS"
"browns_at_commanders_2022_reg_17","Washington Commanders",1,"4:40","yes",3,4,"-CLV 43","run","WAS"
"browns_at_commanders_2022_reg_17","Washington Commanders",1,"3:56","no",4,1,"-CLV 40","run","WAS"
"browns_at_commanders_2022_reg_17","Cleveland Browns",1,"3:51","no",1,10,"-CLV 42","run","CLE"
"browns_at_commanders_2022_reg_17","Cleveland Browns",1,"3:14","no",1,10,"-WAS 44","run","CLE"
"browns_at_commanders_2022_reg_17","Cleveland Browns",1,"1:48","yes",2,10,"-WAS 10","run","CLE"
