"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"14:52","no",1,10,"-CLV 47","pass","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"14:09","no",1,10,"-MIA 15","run","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"13:28","yes",2,9,"-MIA 14","pass","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"12:25","no",1,4,"-MIA 4","pass","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"12:18","no",1,1,"-MIA 1","pass","CLE"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",1,"12:08","no",1,10,"-MIA 16","pass","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",1,"11:31","yes",2,6,"-MIA 20","run","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",1,"10:54","no",1,10,"-MIA 27","run","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",1,"10:14","yes",2,8,"-MIA 29","pass","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",1,"9:33","yes",3,3,"-MIA 34","pass","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",1,"9:02","no",4,1,"-MIA 36","run","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",1,"8:26","yes",1,10,"-MIA 40","pass","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",1,"7:39","no",1,10,"-CLV 42","run","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",1,"7:02","yes",1,10,"-CLV 24","run","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",1,"6:21","yes",1,10,"-CLV 13","pass","MIA"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"6:13","no",1,10,"-CLV 25","run","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"5:33","yes",2,9,"-CLV 26","pass","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"5:12","no",3,1,"-CLV 34","run","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"4:29","yes",1,10,"-CLV 36","pass","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"3:11","yes",3,13,"-CLV 33","pass","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"2:25","no",1,10,"-MIA 45","run","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"1:45","yes",2,5,"-MIA 40","run","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"1:10","no",3,1,"-MIA 36","pass","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,"1:05","no",4,1,"-MIA 36","run","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",1,":24","no",1,10,"-MIA 34","pass","CLE"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",1,":13","no",1,10,"-MIA 29","run","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",2,"15:00","yes",2,4,"-MIA 35","pass","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",2,"14:56","yes",3,4,"-MIA 35","pass","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",2,"14:11","yes",1,15,"-CLV 41","run","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",2,"13:23","yes",2,1,"-CLV 27","run","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",2,"11:56","yes",2,16,"-CLV 31","pass","MIA"
"browns_at_dolphins_2022_reg_10","Miami Dolphins",2,"11:51","yes",3,16,"-CLV 31","pass","MIA"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",2,"11:05","no",1,10,"-CLV 25","run","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",2,"10:26","yes",2,9,"-CLV 26","pass","CLE"
"browns_at_dolphins_2022_reg_10","Cleveland Browns",2,"9:47","no",1,10,"-CLV 36","run","CLE"
