"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"browns_at_falcons_2022_reg_4","Cleveland Browns",1,"14:54","no",1,10,"-CLV 25","pass","CLE"
"browns_at_falcons_2022_reg_4","Cleveland Browns",1,"14:04","no",1,15,"-CLV 33","pass","CLE"
"browns_at_falcons_2022_reg_4","Cleveland Browns",1,"13:23","yes",1,10,"-ATL 42","run","CLE"
"browns_at_falcons_2022_reg_4","Cleveland Browns",1,"12:37","yes",1,10,"-ATL 31","pass","CLE"
"browns_at_falcons_2022_reg_4","Cleveland Browns",1,"12:16","no",1,10,"-ATL 11","run","CLE"
"browns_at_falcons_2022_reg_4","Cleveland Browns",1,"11:36","yes",2,9,"-ATL 10","pass","CLE"
"browns_at_falcons_2022_reg_4","Cleveland Browns",1,"11:16","no",3,1,"-ATL 2","run","CLE"
"browns_at_falcons_2022_reg_4","Cleveland Browns",1,"10:30","yes",4,3,"-ATL 4","pass","CLE"
"browns_at_falcons_2022_reg_4","Atlanta Falcons",1,"10:19","no",1,10,"-ATL 4","run","ATL"
"browns_at_falcons_2022_reg_4","Atlanta Falcons",1,"9:51","no",2,4,"-ATL 10","pass","ATL"
"browns_at_falcons_2022_reg_4","Atlanta Falcons",1,"9:16","no",1,10,"-ATL 35","run","ATL"
"browns_at_falcons_2022_reg_4","Atlanta Falcons",1,"8:34","yes",1,10,"-ATL 48","pass","ATL"
"browns_at_falcons_2022_reg_4","Atlanta Falcons",1,"7:51","yes",1,10,"-CLV 42","run","ATL"
"browns_at_falcons_2022_reg_4","Atlanta Falcons",1,"7:13","yes",2,8,"-CLV 40","pass","ATL"
"browns_at_falcons_2022_reg_4","Atlanta Falcons",1,"7:06","yes",3,8,"-CLV 40","pass","ATL"
"browns_at_falcons_2022_reg_4","Atlanta Falcons",1,"6:25","yes",1,10,"-CLV 27","pass","ATL"
"browns_at_falcons_2022_reg_4","Atlanta Falcons",1,"6:21","no",2,10,"-CLV 27","run","ATL"
"browns_at_falcons_2022_reg_4","Atlanta Falcons",1,"5:46","yes",3,12,"-CLV 29","pass","ATL"
"browns_at_falcons_2022_reg_4","Atlanta Falcons",1,"5:00","yes",1,9,"-CLV 9","run","ATL"
"browns_at_falcons_2022_reg_4","Atlanta Falcons",1,"4:27","no",2,11,"-CLV 11","run","ATL"
"browns_at_falcons_2022_reg_4","Atlanta Falcons",1,"3:44","yes",3,12,"-CLV 12","pass","ATL"
"browns_at_falcons_2022_reg_4","Cleveland Browns",1,"3:28","no",1,10,"-CLV 8","run","CLE"
