"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"14:56","no",1,10,"-CAR 22","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"14:53","yes",2,10,"-CAR 22","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"14:08","yes",3,15,"-CAR 17","pass","CAR"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"13:29","no",1,10,"-CLV 35","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"12:47","yes",1,10,"-CLV 46","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"12:03","yes",2,8,"-CLV 48","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"11:17","yes",3,3,"-CAR 47","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"10:40","yes",1,10,"-CAR 43","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"10:06","no",2,4,"-CAR 37","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"9:26","yes",3,3,"-CAR 36","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"9:20","yes",4,3,"-CAR 36","pass","CLE"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"9:17","no",1,10,"-CAR 36","run","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"8:46","no",2,6,"-CAR 40","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"8:15","yes",2,16,"-CAR 30","run","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"7:36","yes",3,13,"-CAR 33","run","CAR"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"6:45","no",1,10,"-CLV 35","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"6:12","yes",1,20,"-CLV 25","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"5:47","yes",2,20,"-CLV 25","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"5:04","yes",3,5,"-CLV 40","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"4:58","no",1,10,"-CLV 45","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"4:14","no",2,8,"-CLV 47","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"3:39","yes",3,4,"-CAR 49","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"2:58","yes",1,10,"-CAR 43","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"2:16","yes",2,8,"-CAR 41","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"2:07","yes",3,8,"-CAR 41","pass","CLE"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"1:53","yes",1,10,"-CAR 5","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"1:17","no",2,5,"-CAR 10","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"1:11","yes",3,10,"-CAR 5","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,":40","no",2,7,"-CAR 23","pass","CAR"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"14:52","no",1,10,"-CLV 44","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"14:10","yes",2,8,"-CLV 46","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"14:07","yes",3,8,"-CLV 46","pass","CLE"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"13:54","no",1,10,"-CAR 8","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"13:23","yes",2,2,"-CAR 16","run","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"12:42","no",1,10,"-CAR 20","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"12:37","yes",2,10,"-CAR 20","pass","CAR"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"12:26","yes",1,10,"-CAR 42","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"11:40","yes",2,8,"-CAR 40","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"10:53","no",1,1,"-CAR 1","pass","CLE"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"10:07","yes",2,19,"-CAR 16","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"10:02","yes",3,19,"-CAR 16","pass","CAR"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"8:32","yes",2,19,"-CLV 13","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"7:49","yes",3,9,"-CLV 23","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"7:05","yes",1,10,"-CLV 38","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"6:17","yes",2,2,"-CLV 46","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"6:10","yes",3,2,"-CLV 46","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"5:29","no",1,10,"-CAR 29","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"4:52","no",2,5,"-CAR 24","run","CLE"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"4:46","no",1,10,"-CAR 25","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"4:39","yes",2,10,"-CAR 25","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"4:02","no",3,3,"-CAR 32","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"3:33","yes",1,10,"-CAR 48","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"2:45","yes",1,2,"-CLV 2","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"2:00","no",2,1,"-CLV 1","run","CAR"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"1:57","no",1,10,"-CLV 40","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"1:52","yes",2,10,"-CLV 40","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"1:17","yes",3,13,"-CLV 37","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"1:07","no",1,10,"-CAR 24","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,":47","no",2,4,"-CAR 18","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,":40","no",1,9,"-CAR 9","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,":34","no",2,9,"-CAR 9","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,":29","yes",3,8,"-CAR 8","pass","CLE"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,":21","yes",1,10,"-CAR 25","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,":15","no",2,10,"-CAR 25","run","CAR"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"14:55","yes",1,10,"-CLV 26","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"14:52","no",2,10,"-CLV 26","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"14:11","yes",3,7,"-CLV 29","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"13:30","no",1,10,"-CLV 39","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"13:07","no",2,5,"-CLV 44","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"12:22","yes",3,2,"-CLV 47","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"11:41","no",4,1,"-CLV 48","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"10:23","no",1,10,"-CAR 35","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"9:39","no",1,10,"-CAR 15","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"8:33","no",2,11,"-CAR 16","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"7:50","yes",3,11,"-CAR 16","pass","CLE"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"7:37","no",1,10,"-CAR 18","run","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"6:59","no",2,6,"-CAR 22","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"6:54","no",1,10,"-CAR 28","run","CAR"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"4:24","yes",1,10,"-CLV 33","run","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"3:52","yes",2,9,"-CLV 34","pass","CLE"
"browns_at_panthers_2022_reg_1","Cleveland Browns",1,"3:49","yes",3,9,"-CLV 34","pass","CLE"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"2:35","no",1,10,"-CAR 25","run","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"1:54","no",2,3,"-CAR 32","run","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,"1:14","yes",3,2,"-CAR 33","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,":15","yes",1,10,"-CLV 36","pass","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",1,":10","yes",2,10,"-CLV 36","run","CAR"
"browns_at_panthers_2022_reg_1","Carolina Panthers",2,"15:00","yes",3,7,"-CLV 33","run","CAR"
