"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"15:00","no",1,10,"-CLV 25","run","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"14:24","no",2,5,"-CLV 30","pass","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"13:43","no",1,10,"-CLV 44","run","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"13:09","yes",2,8,"-CLV 46","pass","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"12:32","yes",1,10,"-BLT 40","pass","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"11:57","no",1,10,"-BLT 18","run","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"11:16","yes",2,7,"-BLT 15","pass","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"10:37","yes",3,5,"-BLT 13","pass","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"10:00","no",4,1,"-BLT 9","run","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"9:05","no",1,8,"-BLT 8","run","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"8:26","no",2,2,"-BLT 2","run","CLE"
"browns_at_ravens_2022_reg_7","Baltimore Ravens",1,"8:23","yes",1,10,"-BLT 25","run","BAL"
"browns_at_ravens_2022_reg_7","Baltimore Ravens",1,"7:41","yes",2,6,"-BLT 29","run","BAL"
"browns_at_ravens_2022_reg_7","Baltimore Ravens",1,"7:10","yes",3,3,"-BLT 32","run","BAL"
"browns_at_ravens_2022_reg_7","Baltimore Ravens",1,"6:23","yes",1,10,"-BLT 44","run","BAL"
"browns_at_ravens_2022_reg_7","Baltimore Ravens",1,"5:38","yes",2,6,"-BLT 48","pass","BAL"
"browns_at_ravens_2022_reg_7","Baltimore Ravens",1,"5:05","no",1,10,"-CLV 21","run","BAL"
"browns_at_ravens_2022_reg_7","Baltimore Ravens",1,"4:19","yes",2,9,"-CLV 20","run","BAL"
"browns_at_ravens_2022_reg_7","Baltimore Ravens",1,"3:35","yes",3,3,"-CLV 14","pass","BAL"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"3:27","no",1,10,"-CLV 25","pass","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"2:49","no",1,10,"-BLT 20","run","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",1,"1:50","yes",2,15,"-BLT 25","pass","CLE"
"browns_at_ravens_2022_reg_7","Baltimore Ravens",1,":18","yes",1,10,"-BLT 25","pass","BAL"
"browns_at_ravens_2022_reg_7","Cleveland Browns",2,"14:06","yes",1,10,"-CLV 12","run","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",2,"13:24","yes",2,15,"-CLV 7","run","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",2,"12:42","no",3,19,"-CLV 3","run","CLE"
"browns_at_ravens_2022_reg_7","Baltimore Ravens",2,"11:43","no",1,10,"-CLV 21","run","BAL"
"browns_at_ravens_2022_reg_7","Baltimore Ravens",2,"10:58","yes",2,5,"-CLV 16","run","BAL"
"browns_at_ravens_2022_reg_7","Baltimore Ravens",2,"10:12","yes",3,5,"-CLV 16","pass","BAL"
"browns_at_ravens_2022_reg_7","Cleveland Browns",2,"10:05","no",1,10,"-CLV 25","run","CLE"
"browns_at_ravens_2022_reg_7","Cleveland Browns",2,"9:32","no",2,8,"-CLV 27","pass","CLE"
