"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"browns_at_texans_2022_reg_13","Cleveland Browns",1,"14:54","no",1,10,"-CLV 43","run","CLE"
"browns_at_texans_2022_reg_13","Houston Texans",1,"14:04","no",1,10,"-HST 10","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,"13:29","no",1,10,"-HST 21","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,"12:55","no",2,3,"-HST 28","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,"12:51","yes",3,3,"-HST 28","pass","HOU"
"browns_at_texans_2022_reg_13","Cleveland Browns",1,"12:38","no",1,10,"-CLV 30","run","CLE"
"browns_at_texans_2022_reg_13","Houston Texans",1,"11:53","no",1,10,"-CLV 38","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,"11:14","yes",2,4,"-CLV 32","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,"10:32","yes",3,1,"-CLV 29","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,"9:49","no",1,10,"-CLV 27","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,"9:25","no",1,10,"-CLV 16","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,"9:20","yes",1,30,"-CLV 36","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,"8:45","yes",2,24,"-CLV 30","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,"8:11","yes",3,19,"-CLV 25","pass","HOU"
"browns_at_texans_2022_reg_13","Cleveland Browns",1,"7:57","yes",1,10,"-CLV 16","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",1,"7:16","yes",1,10,"-CLV 34","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",1,"6:43","yes",2,6,"-CLV 38","pass","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",1,"6:40","yes",3,6,"-CLV 38","pass","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",1,"6:02","no",1,10,"-CLV 45","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",1,"5:34","yes",2,12,"-CLV 43","pass","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",1,"5:04","no",3,1,"-HST 46","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",1,"4:23","no",1,10,"-HST 38","pass","CLE"
"browns_at_texans_2022_reg_13","Houston Texans",1,"3:23","no",1,10,"-HST 26","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,"2:40","no",1,10,"-HST 46","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,"2:34","yes",2,10,"-HST 46","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,"1:54","no",2,1,"-CLV 34","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",1,":33","yes",1,10,"-CLV 28","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"15:00","yes",1,10,"-CLV 15","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"14:33","yes",2,4,"-CLV 9","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"14:01","no",1,3,"-CLV 3","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"13:55","yes",2,3,"-CLV 3","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"13:51","yes",3,3,"-CLV 3","run","HOU"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"13:02","no",1,10,"-CLV 1","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"12:00","no",2,10,"-CLV 1","run","CLE"
"browns_at_texans_2022_reg_13","Houston Texans",2,"11:44","yes",1,10,"-CLV 49","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"11:04","no",2,10,"-CLV 49","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"10:20","yes",3,9,"-CLV 48","pass","HOU"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"9:35","no",1,10,"-CLV 1","pass","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"8:59","no",2,2,"-CLV 9","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"8:26","yes",1,10,"-CLV 16","pass","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"7:53","yes",1,10,"-CLV 27","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"7:26","yes",1,18,"-CLV 19","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"6:44","yes",2,16,"-CLV 21","pass","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"6:11","yes",3,2,"-CLV 35","run","CLE"
"browns_at_texans_2022_reg_13","Houston Texans",2,"5:20","no",1,10,"-HST 8","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"4:41","no",2,8,"-HST 10","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"4:37","yes",3,8,"-HST 10","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"3:34","no",1,10,"-HST 32","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"2:51","yes",1,10,"-HST 46","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"2:08","no",2,7,"-HST 49","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"2:00","yes",3,2,"-CLV 46","run","HOU"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"1:22","yes",1,10,"-CLV 9","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"1:17","yes",1,10,"-CLV 21","pass","CLE"
"browns_at_texans_2022_reg_13","Houston Texans",2,":53","yes",3,4,"-CLV 27","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,":32","yes",1,10,"-HST 26","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,":27","yes",2,10,"-HST 26","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,":23","yes",3,10,"-HST 26","pass","HOU"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,":11","yes",1,10,"-CLV 20","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,":03","no",1,10,"-CLV 31","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"14:55","no",1,10,"-CLV 13","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"14:17","yes",2,1,"-CLV 22","pass","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"13:34","no",1,10,"-CLV 31","pass","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"13:29","no",2,10,"-CLV 31","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"12:53","yes",3,4,"-CLV 37","pass","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"11:32","yes",2,7,"-HST 47","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"10:52","yes",3,6,"-HST 46","pass","CLE"
"browns_at_texans_2022_reg_13","Houston Texans",2,"10:38","no",1,10,"-HST 1","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"10:03","yes",1,10,"-HST 24","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"9:22","yes",2,7,"-HST 27","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"8:57","no",1,10,"-HST 42","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"8:25","yes",2,3,"-HST 49","pass","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"7:45","no",1,10,"-CLV 37","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"7:09","no",1,10,"-CLV 22","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"6:29","no",2,4,"-CLV 16","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,"5:51","no",3,3,"-CLV 15","run","HOU"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"5:01","no",1,10,"-CLV 21","pass","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"4:23","no",2,7,"-CLV 24","run","CLE"
"browns_at_texans_2022_reg_13","Cleveland Browns",2,"3:41","yes",1,10,"-CLV 45","run","CLE"
"browns_at_texans_2022_reg_13","Houston Texans",2,"1:31","no",1,10,"-HST 19","run","HOU"
"browns_at_texans_2022_reg_13","Houston Texans",2,":54","no",2,9,"-HST 20","pass","HOU"
