"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"14:37","yes",1,10,"-SF 48","pass","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"14:34","no",2,10,"-SF 48","pass","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"13:54","yes",3,7,"-TB 49","pass","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"13:13","yes",1,10,"-TB 34","run","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"12:33","no",1,10,"-TB 13","run","SF"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,"12:21","no",1,10,"-TB 23","run","TB"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,"11:45","no",2,1,"-TB 32","pass","TB"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,"11:09","no",1,10,"-TB 41","pass","TB"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,"11:04","yes",2,10,"-TB 41","run","TB"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,"10:27","yes",3,4,"-TB 47","pass","TB"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,"9:43","no",1,10,"-SF 49","pass","TB"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,"9:04","yes",1,10,"-SF 38","run","TB"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,"8:26","yes",2,9,"-SF 37","pass","TB"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,"8:22","yes",3,9,"-SF 37","pass","TB"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"8:09","no",1,10,"-SF 45","pass","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"8:04","yes",2,10,"-SF 45","run","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"7:28","yes",3,11,"-SF 44","run","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"6:56","yes",3,21,"-SF 34","pass","SF"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,"6:26","no",1,10,"-TB 30","run","TB"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,"5:43","yes",2,8,"-TB 32","pass","TB"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,"5:34","yes",2,18,"-TB 22","pass","TB"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,"5:30","yes",3,18,"-TB 22","run","TB"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"4:43","yes",1,10,"-SF 38","pass","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"4:05","yes",1,10,"-TB 47","run","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"3:27","no",2,6,"-TB 43","run","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"2:48","no",1,10,"-TB 30","run","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"2:05","yes",1,10,"-TB 17","pass","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,"1:21","no",2,1,"-TB 8","run","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",1,":42","no",3,1,"-TB 8","pass","SF"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",1,":37","no",1,1,"-TB 1","run","TB"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",2,"15:00","yes",2,2,"-TB 2","run","SF"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",2,"14:47","yes",1,10,"-TB 18","pass","TB"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",2,"14:10","yes",2,7,"-TB 21","pass","TB"
"buccaneers_at_49ers_2022_reg_14","Tampa Bay Buccaneers",2,"13:27","yes",3,3,"-TB 25","pass","TB"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",2,"13:10","no",1,10,"-SF 29","pass","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",2,"12:33","no",1,10,"-SF 47","run","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",2,"11:51","yes",2,9,"-SF 48","pass","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",2,"11:17","no",1,10,"-TB 42","run","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",2,"10:36","yes",2,7,"-TB 39","pass","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",2,"10:08","no",3,1,"-TB 33","run","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",2,"9:20","yes",1,10,"-TB 32","run","SF"
"buccaneers_at_49ers_2022_reg_14","San Francisco 49ers",2,"8:36","yes",2,9,"-TB 31","run","SF"
