"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",1,"14:56","no",1,10,"-CLV 22","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",1,"14:12","yes",2,5,"-CLV 27","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",1,"13:33","yes",1,10,"-CLV 34","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",1,"12:58","no",1,10,"-CLV 46","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",1,"12:20","yes",2,11,"-CLV 45","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",1,"11:34","yes",3,2,"-TB 46","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",1,"10:53","yes",1,10,"-TB 31","run","CLE"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",1,"10:45","no",1,10,"-TB 25","run","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",1,"10:09","no",2,3,"-TB 32","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",1,"9:38","no",1,10,"-TB 35","run","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",1,"8:57","no",1,10,"-CLV 30","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",1,"8:17","yes",2,5,"-CLV 25","run","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",1,"7:37","no",3,1,"-CLV 21","run","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",1,"6:55","yes",1,10,"-CLV 15","run","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",1,"5:56","yes",2,11,"-CLV 16","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",1,"5:17","yes",3,5,"-CLV 10","pass","TB"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",1,"5:11","no",1,10,"-CLV 25","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",1,"3:59","no",2,4,"-TB 44","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",1,"3:18","no",1,10,"-TB 35","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",1,"2:36","yes",2,8,"-TB 33","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",1,"2:22","yes",1,10,"-TB 25","run","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",1,"1:47","no",2,8,"-TB 27","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",1,"1:22","yes",3,2,"-TB 33","pass","TB"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",1,"1:08","yes",1,10,"-CLV 32","run","CLE"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",1,":28","yes",2,10,"-CLV 32","pass","TB"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"14:32","no",4,1,"-CLV 41","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"13:52","no",1,10,"-CLV 43","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"13:25","yes",1,15,"-CLV 38","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"12:55","yes",2,6,"-CLV 47","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"12:14","yes",3,5,"-CLV 48","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,"12:01","no",1,10,"-TB 20","run","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,"11:26","yes",2,9,"-TB 21","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,"10:43","no",3,1,"-TB 29","run","TB"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"9:53","yes",1,10,"-CLV 30","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"9:16","yes",2,4,"-CLV 36","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"8:51","no",1,10,"-TB 48","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"8:19","yes",1,10,"-TB 31","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"7:45","no",2,2,"-TB 23","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"7:03","yes",3,2,"-TB 23","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"6:21","no",1,10,"-TB 14","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"5:55","yes",1,20,"-TB 24","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"5:21","yes",2,16,"-TB 20","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,"4:42","yes",3,17,"-TB 21","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,"3:53","no",1,10,"-TB 29","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,"3:33","yes",1,20,"-TB 19","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,"2:55","yes",2,11,"-TB 28","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,"2:14","yes",3,7,"-TB 32","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,"2:00","no",4,1,"-TB 38","run","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,"1:41","yes",1,10,"-TB 40","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,"1:24","yes",2,3,"-TB 47","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,"1:05","yes",1,10,"-CLV 30","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,"1:01","yes",2,10,"-CLV 30","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,":56","yes",3,10,"-CLV 30","pass","TB"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,":31","yes",1,10,"-CLV 43","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,":26","yes",2,10,"-CLV 43","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",2,":09","yes",3,6,"-CLV 47","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",2,":05","yes",4,6,"-CLV 47","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",3,"15:00","no",1,10,"-TB 25","run","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",3,"13:42","yes",3,18,"-TB 17","pass","TB"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",3,"12:51","no",1,10,"-CLV 42","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",3,"12:12","yes",2,10,"-CLV 42","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",3,"11:42","yes",3,10,"-CLV 42","pass","CLE"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",3,"11:29","no",1,10,"-TB 20","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",3,"10:56","yes",1,10,"-TB 48","run","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",3,"10:17","no",2,9,"-TB 49","run","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",3,"9:36","no",1,10,"-CLV 36","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",3,"8:56","yes",1,10,"-CLV 14","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",3,"8:21","yes",2,7,"-CLV 11","pass","TB"
"buccaneers_at_browns_2022_reg_12","Tampa Bay Buccaneers",3,"7:44","no",3,1,"-CLV 5","pass","TB"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",3,"7:41","no",1,10,"-CLV 25","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",3,"7:09","no",2,5,"-CLV 30","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",3,"6:24","no",1,10,"-CLV 41","run","CLE"
"buccaneers_at_browns_2022_reg_12","Cleveland Browns",3,"5:56","yes",2,8,"-CLV 43","pass","CLE"
