"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,"15:00","no",1,10,"-TB 25","pass","TB"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,"14:54","no",1,10,"-ARZ 45","run","TB"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,"14:15","yes",1,10,"-ARZ 27","run","TB"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,"13:36","no",2,3,"-ARZ 20","pass","TB"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,"13:32","yes",3,3,"-ARZ 20","pass","TB"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"13:23","yes",1,10,"-ARZ 25","pass","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"12:53","yes",2,12,"-ARZ 23","pass","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"12:20","no",3,1,"-ARZ 34","run","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"11:47","yes",1,10,"-ARZ 37","run","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"11:29","yes",2,6,"-ARZ 41","run","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"10:50","yes",3,2,"-ARZ 45","pass","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"10:45","no",4,2,"-ARZ 45","pass","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"9:59","no",1,10,"-ARZ 49","run","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"9:34","yes",1,10,"-TB 40","pass","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"9:05","yes",1,10,"-TB 17","run","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"8:34","yes",2,8,"-TB 15","run","ARI"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,"7:38","no",1,15,"-TB 38","run","TB"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,"6:57","yes",2,1,"-ARZ 48","run","TB"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,"6:21","no",3,1,"-ARZ 48","run","TB"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,"5:44","no",4,1,"-ARZ 48","run","TB"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"5:37","yes",1,10,"-ARZ 49","run","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"5:25","yes",1,20,"-ARZ 39","pass","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"4:57","yes",2,17,"-ARZ 42","pass","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"4:52","yes",3,17,"-ARZ 42","pass","ARI"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,"3:59","no",1,10,"-TB 10","pass","TB"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,"3:28","no",1,10,"-TB 20","run","TB"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,"2:48","yes",2,11,"-TB 19","pass","TB"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,"2:02","yes",3,6,"-TB 24","pass","TB"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"1:47","yes",1,10,"-ARZ 39","run","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"1:19","yes",1,10,"-TB 41","pass","ARI"
"buccaneers_at_cardinals_2022_reg_16","Arizona Cardinals",1,"1:13","yes",2,10,"-TB 41","pass","ARI"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",1,":32","no",1,10,"-TB 25","pass","TB"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",2,"15:00","yes",2,5,"-TB 30","run","TB"
"buccaneers_at_cardinals_2022_reg_16","Tampa Bay Buccaneers",2,"14:17","yes",3,2,"-TB 33","pass","TB"
