"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"14:56","yes",1,10,"-DAL 14","pass","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"14:19","no",2,3,"-DAL 21","run","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"13:48","no",1,10,"-DAL 28","run","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"13:09","yes",2,18,"-DAL 20","pass","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"12:35","yes",3,7,"-DAL 31","pass","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"12:13","no",1,10,"-DAL 47","run","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"11:40","no",2,4,"-TB 47","run","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"11:10","yes",1,10,"-TB 42","pass","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"11:07","yes",2,10,"-TB 42","run","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"10:27","yes",3,8,"-TB 40","pass","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"9:52","yes",1,10,"-TB 31","run","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"9:13","yes",2,11,"-TB 32","pass","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"9:10","yes",3,11,"-TB 32","pass","DAL"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",1,"9:02","yes",1,15,"-TB 20","pass","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",1,"8:33","no",1,10,"-TB 44","run","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",1,"7:58","no",2,8,"-TB 46","pass","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",1,"7:17","no",1,10,"-DAL 34","run","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",1,"6:37","no",2,3,"-DAL 27","run","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",1,"5:55","yes",3,1,"-DAL 25","run","TB"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"5:05","no",1,10,"-DAL 25","run","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"4:13","no",2,8,"-DAL 27","pass","DAL"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"4:07","yes",3,8,"-DAL 27","pass","DAL"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",1,"3:53","no",1,10,"-TB 31","pass","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",1,"2:47","no",2,2,"-DAL 42","run","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",1,"2:00","yes",1,10,"-DAL 25","pass","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",1,"1:56","no",2,10,"-DAL 25","run","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",1,"1:13","yes",3,5,"-DAL 20","pass","TB"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",1,"1:01","no",1,10,"-DAL 10","run","DAL"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",1,":25","yes",2,9,"-DAL 11","pass","TB"
"buccaneers_at_cowboys_2022_reg_1","Dallas Cowboys",2,"15:00","yes",3,4,"-DAL 16","pass","DAL"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",2,"14:45","no",1,10,"-TB 39","run","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",2,"14:09","no",2,4,"-TB 45","run","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",2,"13:30","no",3,1,"-TB 48","run","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",2,"12:46","no",1,10,"-DAL 47","run","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",2,"12:09","yes",2,7,"-DAL 44","pass","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",2,"11:32","yes",1,10,"-DAL 31","run","TB"
"buccaneers_at_cowboys_2022_reg_1","Tampa Bay Buccaneers",2,"10:51","yes",2,11,"-DAL 32","pass","TB"
