"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"15:00","no",1,10,"-TB 25","run","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"14:23","yes",2,9,"-TB 26","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"13:45","no",1,10,"-TB 36","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"13:37","no",2,10,"-TB 36","run","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"13:00","yes",3,11,"-TB 35","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",1,"12:40","no",2,10,"-CAR 10","run","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",1,"11:57","yes",3,7,"-CAR 13","run","CAR"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"10:59","yes",1,10,"-TB 27","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"10:20","no",2,6,"-TB 31","run","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"9:37","yes",3,3,"-TB 34","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"8:57","no",1,10,"-TB 39","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"7:40","yes",2,8,"-CAR 41","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"6:58","yes",3,7,"-CAR 40","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",1,"6:45","no",1,10,"-CAR 20","run","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",1,"6:02","yes",2,9,"-CAR 21","pass","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",1,"5:17","yes",3,5,"-CAR 25","pass","CAR"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"4:20","no",1,10,"-TB 22","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"3:43","no",2,2,"-TB 30","run","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"3:10","no",1,10,"-TB 41","run","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"2:26","no",2,16,"-TB 35","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"1:42","yes",1,10,"-CAR 49","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,"1:07","yes",2,9,"-CAR 48","run","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",1,":25","yes",3,3,"-CAR 42","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",2,"15:00","yes",3,8,"-CAR 47","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"14:48","no",1,10,"-CAR 10","run","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"14:05","yes",2,8,"-CAR 12","run","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"13:45","yes",3,1,"-CAR 19","run","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"13:06","no",1,10,"-CAR 25","run","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"12:38","no",2,13,"-CAR 22","pass","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"11:56","yes",3,5,"-CAR 30","pass","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"10:51","no",2,1,"-TB 41","pass","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"10:12","no",1,10,"-TB 35","pass","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"9:44","yes",2,6,"-TB 31","run","CAR"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",2,"7:48","no",1,10,"-TB 20","run","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",2,"7:11","no",2,1,"-TB 29","run","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",2,"6:33","no",1,10,"-TB 31","run","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",2,"6:01","yes",2,8,"-TB 33","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",2,"5:17","yes",3,5,"-TB 36","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",2,"4:34","no",1,10,"-TB 42","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",2,"3:46","yes",3,24,"-TB 28","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"3:16","no",1,10,"-CAR 20","pass","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"2:33","no",1,10,"-CAR 41","run","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"2:00","yes",2,9,"-CAR 42","pass","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"1:30","yes",1,10,"-TB 35","pass","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,"1:03","yes",2,6,"-TB 31","pass","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",2,":35","yes",1,10,"-TB 20","pass","CAR"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",2,":23","yes",1,10,"-TB 23","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",2,":19","yes",2,10,"-TB 23","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",2,":12","yes",1,10,"-TB 43","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",2,":05","yes",2,10,"-TB 43","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",3,"15:00","no",1,10,"-CAR 25","pass","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",3,"14:54","no",2,10,"-CAR 25","run","CAR"
"buccaneers_at_panthers_2022_reg_7","Carolina Panthers",3,"14:10","yes",3,4,"-CAR 31","pass","CAR"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",3,"13:53","yes",1,10,"-TB 28","pass","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",3,"13:19","yes",2,3,"-TB 35","run","TB"
"buccaneers_at_panthers_2022_reg_7","Tampa Bay Buccaneers",3,"12:37","no",1,10,"-TB 40","pass","TB"
