"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"14:24","no",2,8,"-NO 27","run","NO"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"13:42","no",1,10,"-NO 35","run","NO"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"13:06","no",1,10,"-NO 47","pass","NO"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"12:24","yes",2,3,"-TB 46","pass","NO"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"11:43","no",1,10,"-TB 33","run","NO"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"11:05","yes",2,7,"-TB 30","run","NO"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"10:25","no",1,10,"-TB 17","pass","NO"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"9:46","yes",2,10,"-TB 17","pass","NO"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"9:10","yes",3,5,"-TB 12","pass","NO"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",1,"9:02","no",1,10,"-TB 25","run","TB"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",1,"8:21","no",2,10,"-TB 25","pass","TB"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",1,"8:16","yes",3,10,"-TB 25","pass","TB"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",1,"7:45","yes",1,10,"-TB 48","run","TB"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",1,"7:06","yes",2,9,"-TB 49","pass","TB"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",1,"6:27","yes",3,6,"-NO 48","pass","TB"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",1,"5:49","no",1,10,"-NO 35","run","TB"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",1,"5:11","yes",2,9,"-NO 34","pass","TB"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",1,"4:26","no",3,1,"-NO 26","run","TB"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"4:21","no",1,10,"-NO 25","run","NO"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"3:44","yes",2,7,"-NO 28","run","NO"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"2:42","no",1,10,"-NO 37","run","NO"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"2:06","no",2,7,"-NO 40","run","NO"
"buccaneers_at_saints_2022_reg_2","New Orleans Saints",1,"1:25","yes",3,3,"-NO 44","run","NO"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",1,":35","no",1,10,"-TB 23","pass","TB"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",1,":03","no",2,4,"-TB 29","pass","TB"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",2,"15:00","yes",3,4,"-TB 29","pass","TB"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",2,"14:26","no",1,10,"-NO 30","run","TB"
"buccaneers_at_saints_2022_reg_2","Tampa Bay Buccaneers",2,"13:43","no",1,10,"-NO 17","run","TB"
