"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"15:00","no",1,10,"-TB 25","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"14:17","yes",2,9,"-TB 26","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"14:14","yes",3,9,"-TB 26","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"14:02","yes",1,10,"-PIT 34","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"13:28","yes",2,2,"-PIT 42","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"12:53","yes",1,10,"-PIT 47","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"12:31","no",1,10,"-TB 39","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"11:51","yes",2,14,"-TB 43","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"11:14","yes",3,6,"-TB 35","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"11:10","no",1,10,"-TB 20","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"10:30","yes",2,9,"-TB 19","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"9:35","yes",3,11,"-TB 21","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"9:11","yes",4,1,"-TB 11","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"8:29","yes",1,10,"-TB 10","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"7:44","yes",2,6,"-TB 6","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"7:32","no",1,10,"-TB 28","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"6:59","no",1,10,"-TB 41","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"6:55","no",2,10,"-TB 41","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"6:17","yes",1,10,"-PIT 39","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"5:42","no",2,3,"-PIT 32","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"4:59","yes",3,2,"-PIT 31","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"4:21","yes",1,10,"-PIT 28","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"3:44","yes",2,5,"-PIT 23","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"3:04","yes",1,10,"-PIT 17","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"3:01","yes",2,10,"-PIT 17","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"2:57","yes",3,10,"-PIT 17","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"2:47","yes",1,10,"-PIT 13","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",1,"2:05","yes",2,7,"-PIT 16","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,"1:19","yes",2,15,"-TB 41","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,":44","yes",1,10,"-PIT 37","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",1,":14","no",2,2,"-PIT 29","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"15:00","no",1,10,"-PIT 25","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"14:24","no",1,10,"-PIT 15","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"13:45","yes",2,9,"-PIT 14","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"13:04","no",1,3,"-PIT 3","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"12:28","no",2,1,"-PIT 1","run","TB"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"10:58","yes",1,10,"-PIT 19","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"10:19","yes",2,4,"-PIT 25","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"9:55","no",1,10,"-PIT 39","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"9:18","yes",2,9,"-PIT 40","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"8:42","yes",3,4,"-PIT 45","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"8:05","yes",1,10,"-TB 49","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"7:20","yes",2,7,"-TB 46","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"6:39","yes",3,6,"-TB 45","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"6:03","yes",1,10,"-TB 36","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"5:37","yes",1,20,"-TB 46","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"5:34","yes",2,20,"-TB 46","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"4:56","yes",3,15,"-TB 41","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"4:07","yes",1,10,"-TB 25","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"3:37","yes",2,10,"-TB 25","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"2:55","yes",3,2,"-TB 33","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"2:42","yes",1,10,"-PIT 26","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"2:24","yes",2,8,"-PIT 28","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"2:17","yes",3,8,"-PIT 28","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"2:02","yes",1,10,"-TB 25","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"1:58","yes",2,2,"-TB 33","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"1:21","yes",2,19,"-TB 26","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,":59","yes",3,11,"-TB 34","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,":46","yes",1,10,"-PIT 14","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,":40","no",2,10,"-PIT 14","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,":23","yes",1,10,"-TB 49","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,":11","no",1,10,"-PIT 36","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,":10","yes",2,10,"-PIT 36","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"14:48","yes",1,10,"-TB 12","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"14:07","yes",2,5,"-TB 7","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"14:03","yes",3,5,"-TB 7","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"13:55","yes",1,10,"-TB 25","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"13:19","yes",2,10,"-TB 25","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"12:45","no",3,1,"-TB 34","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"12:12","no",1,10,"-TB 39","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"11:33","yes",2,7,"-TB 42","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"10:59","no",1,10,"-PIT 30","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"10:44","no",1,10,"-PIT 23","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"10:04","no",2,2,"-PIT 15","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"10:00","no",3,2,"-PIT 15","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"9:10","yes",1,15,"-PIT 18","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"8:29","yes",2,6,"-PIT 9","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"8:24","no",1,4,"-PIT 4","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"8:17","no",1,9,"-PIT 9","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"7:37","yes",2,11,"-PIT 11","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"7:31","yes",3,11,"-PIT 11","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"7:24","no",1,10,"-PIT 25","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"7:02","yes",1,20,"-PIT 15","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"6:55","yes",2,20,"-PIT 15","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"6:16","yes",3,15,"-PIT 20","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"5:35","yes",1,10,"-PIT 36","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"4:54","yes",2,9,"-PIT 37","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",2,"4:29","yes",3,5,"-PIT 41","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"4:14","no",1,10,"-TB 15","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"3:59","yes",1,17,"-TB 8","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"3:22","yes",2,13,"-TB 12","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"2:58","yes",3,7,"-TB 18","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,"1:24","yes",2,16,"-PIT 42","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,":42","yes",3,5,"-TB 47","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",2,":30","yes",1,10,"-TB 17","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"15:00","yes",2,7,"-TB 20","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"14:27","no",3,1,"-TB 26","run","TB"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"13:38","no",1,10,"-PIT 29","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"12:57","yes",2,8,"-PIT 31","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"12:14","yes",3,13,"-PIT 26","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"11:41","yes",1,10,"-PIT 40","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"11:19","yes",2,5,"-PIT 45","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"10:58","yes",3,6,"-PIT 44","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"10:43","yes",1,10,"-TB 11","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"9:59","yes",2,5,"-TB 6","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"9:48","yes",1,10,"-TB 27","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"9:23","yes",2,9,"-TB 28","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"8:53","yes",1,10,"-TB 39","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"8:35","yes",2,8,"-TB 41","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"8:12","yes",3,4,"-TB 45","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"7:52","yes",1,10,"-PIT 38","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"7:38","no",2,1,"-PIT 29","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"7:07","no",3,1,"-PIT 29","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"6:25","no",4,1,"-PIT 29","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"5:59","yes",1,15,"-PIT 27","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"5:40","yes",2,11,"-PIT 23","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"5:34","yes",3,11,"-PIT 23","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"5:10","yes",4,1,"-PIT 13","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"4:45","yes",1,10,"-PIT 11","pass","TB"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"4:38","yes",1,10,"-PIT 25","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"3:51","yes",2,2,"-PIT 33","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"3:07","yes",3,15,"-PIT 20","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"2:26","no",1,10,"-PIT 37","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"2:20","yes",2,7,"-PIT 40","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"2:15","yes",3,11,"-PIT 36","pass","PIT"
"buccaneers_at_steelers_2022_reg_6","Pittsburgh Steelers",3,"2:07","yes",1,10,"-TB 38","run","PIT"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,"2:00","no",1,10,"-TB 26","run","TB"
"buccaneers_at_steelers_2022_reg_6","Tampa Bay Buccaneers",3,":37","no",2,11,"-TB 27","run","TB"
