"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"15:00","yes",1,10,"-DEN 25","pass","DEN"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"14:33","yes",2,3,"-DEN 32","pass","DEN"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"14:00","yes",1,10,"-DEN 42","run","DEN"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"12:55","no",1,10,"-ARZ 47","pass","DEN"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"12:16","no",1,10,"-ARZ 36","run","DEN"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"11:52","yes",1,20,"-ARZ 46","pass","DEN"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"11:48","yes",2,20,"-ARZ 46","pass","DEN"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",1,"10:27","no",1,10,"-ARZ 25","run","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",1,"9:56","yes",2,7,"-ARZ 28","run","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",1,"9:14","yes",3,6,"-ARZ 29","pass","ARI"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"9:00","yes",1,10,"-DEN 31","run","DEN"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"8:24","no",2,6,"-DEN 35","run","DEN"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"7:52","no",1,10,"-DEN 41","pass","DEN"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"7:16","yes",2,4,"-DEN 47","run","DEN"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"5:56","yes",2,17,"-DEN 49","pass","DEN"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",1,"4:30","yes",1,10,"-ARZ 12","run","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",1,"3:49","yes",2,5,"-ARZ 17","pass","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",1,"3:17","yes",1,10,"-ARZ 22","pass","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",1,"3:13","yes",2,10,"-ARZ 22","pass","ARI"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"2:25","no",1,10,"-ARZ 24","run","DEN"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"1:46","no",2,6,"-ARZ 20","run","DEN"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",1,"1:16","yes",3,8,"-ARZ 22","pass","DEN"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",1,":32","yes",1,10,"-ARZ 28","pass","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",1,":28","yes",2,10,"-ARZ 28","pass","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",2,"15:00","yes",3,4,"-ARZ 34","pass","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",2,"14:31","yes",1,10,"-ARZ 39","run","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",2,"13:50","yes",2,8,"-ARZ 41","pass","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",2,"13:12","yes",1,10,"-DEN 43","run","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",2,"12:38","yes",2,6,"-DEN 39","pass","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",2,"12:09","yes",1,10,"-DEN 31","run","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",2,"11:28","yes",2,10,"-DEN 31","pass","ARI"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",2,"10:47","yes",3,6,"-DEN 27","pass","ARI"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",2,"10:35","no",1,10,"-DEN 25","run","DEN"
"cardinals_at_broncos_2022_reg_15","Denver Broncos",2,"9:26","yes",3,20,"-DEN 15","run","DEN"
"cardinals_at_broncos_2022_reg_15","Arizona Cardinals",2,"8:50","yes",1,10,"-ARZ 45","run","ARI"
