"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",1,"15:00","yes",1,10,"-ARZ 25","pass","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",1,"13:47","yes",3,14,"-ARZ 21","pass","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",1,"13:26","yes",1,10,"-ARZ 38","run","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",1,"12:51","no",2,8,"-ARZ 40","pass","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",1,"12:17","no",1,10,"-ATL 44","run","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",1,"11:35","yes",2,9,"-ATL 43","pass","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",1,"11:14","yes",3,1,"-ATL 35","run","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",1,"10:43","no",1,10,"-ATL 31","run","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",1,"10:05","no",2,3,"-ATL 24","run","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",1,"9:44","yes",1,10,"-ATL 19","pass","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",1,"9:09","no",2,1,"-ATL 10","run","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",1,"8:37","yes",2,11,"-ATL 20","pass","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",1,"8:32","yes",3,11,"-ATL 20","pass","ARI"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",1,"8:24","yes",1,10,"-ATL 25","pass","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",1,"7:43","yes",2,7,"-ATL 28","run","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",1,"6:34","no",1,5,"-ATL 41","run","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",1,"5:58","yes",2,6,"-ATL 40","pass","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",1,"5:22","yes",3,1,"-ATL 45","run","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",1,"3:56","yes",2,5,"-ARZ 45","run","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",1,"3:12","yes",1,10,"-ARZ 40","run","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",1,"2:50","no",1,18,"-ARZ 48","pass","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",1,"2:15","no",2,23,"-ATL 47","pass","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",1,"1:33","yes",3,7,"-ARZ 37","run","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",1,":47","yes",1,10,"-ARZ 28","pass","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",1,":43","yes",2,10,"-ARZ 28","run","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",2,"15:00","yes",3,5,"-ARZ 23","pass","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",2,"14:21","no",4,1,"-ARZ 19","run","ATL"
"cardinals_at_falcons_2022_reg_17","Atlanta Falcons",2,"13:41","yes",1,5,"-ARZ 5","run","ATL"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",2,"13:38","yes",1,10,"-ARZ 25","pass","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",2,"13:11","no",2,8,"-ARZ 27","pass","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",2,"12:33","yes",1,10,"-ARZ 40","run","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",2,"12:01","yes",2,4,"-ARZ 46","run","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",2,"11:33","yes",1,10,"-ATL 48","pass","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",2,"11:27","yes",2,10,"-ATL 48","run","ARI"
"cardinals_at_falcons_2022_reg_17","Arizona Cardinals",2,"10:58","yes",3,7,"-ATL 45","pass","ARI"
