"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cardinals_at_panthers_2022_reg_4","Arizona Cardinals",1,"14:55","yes",1,10,"-ARZ 24","pass","ARI"
"cardinals_at_panthers_2022_reg_4","Arizona Cardinals",1,"14:27","yes",2,4,"-ARZ 30","pass","ARI"
"cardinals_at_panthers_2022_reg_4","Arizona Cardinals",1,"13:55","yes",2,14,"-ARZ 20","pass","ARI"
"cardinals_at_panthers_2022_reg_4","Arizona Cardinals",1,"13:17","yes",3,4,"-ARZ 30","pass","ARI"
"cardinals_at_panthers_2022_reg_4","Carolina Panthers",1,"12:59","yes",1,10,"-CAR 30","pass","CAR"
"cardinals_at_panthers_2022_reg_4","Carolina Panthers",1,"12:16","no",2,4,"-CAR 36","run","CAR"
"cardinals_at_panthers_2022_reg_4","Carolina Panthers",1,"11:39","no",3,1,"-CAR 39","run","CAR"
"cardinals_at_panthers_2022_reg_4","Carolina Panthers",1,"10:58","no",4,1,"-CAR 39","run","CAR"
"cardinals_at_panthers_2022_reg_4","Arizona Cardinals",1,"10:53","yes",1,10,"-CAR 39","run","ARI"
"cardinals_at_panthers_2022_reg_4","Arizona Cardinals",1,"9:32","yes",1,10,"-CAR 19","run","ARI"
"cardinals_at_panthers_2022_reg_4","Arizona Cardinals",1,"8:54","yes",2,5,"-CAR 14","run","ARI"
"cardinals_at_panthers_2022_reg_4","Arizona Cardinals",1,"8:12","yes",3,5,"-CAR 14","pass","ARI"
"cardinals_at_panthers_2022_reg_4","Arizona Cardinals",1,"7:31","no",4,1,"-CAR 10","run","ARI"
"cardinals_at_panthers_2022_reg_4","Carolina Panthers",1,"7:28","no",1,10,"-CAR 14","pass","CAR"
"cardinals_at_panthers_2022_reg_4","Carolina Panthers",1,"7:25","yes",2,10,"-CAR 14","pass","CAR"
"cardinals_at_panthers_2022_reg_4","Carolina Panthers",1,"6:45","yes",3,2,"-CAR 22","pass","CAR"
"cardinals_at_panthers_2022_reg_4","Arizona Cardinals",1,"6:28","no",1,10,"-ARZ 34","run","ARI"
"cardinals_at_panthers_2022_reg_4","Arizona Cardinals",1,"5:48","yes",2,6,"-ARZ 38","run","ARI"
"cardinals_at_panthers_2022_reg_4","Arizona Cardinals",1,"5:13","yes",3,6,"-ARZ 38","pass","ARI"
"cardinals_at_panthers_2022_reg_4","Carolina Panthers",1,"4:55","no",1,10,"-CAR 10","run","CAR"
"cardinals_at_panthers_2022_reg_4","Carolina Panthers",1,"4:16","no",2,9,"-CAR 11","run","CAR"
"cardinals_at_panthers_2022_reg_4","Carolina Panthers",1,"3:39","yes",1,10,"-CAR 21","run","CAR"
"cardinals_at_panthers_2022_reg_4","Carolina Panthers",1,"3:01","no",2,10,"-CAR 21","pass","CAR"
