"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"15:00","no",1,10,"-LV 25","run","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"13:39","yes",3,11,"-LV 24","pass","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"13:00","no",1,10,"-LV 44","run","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"11:56","no",3,1,"-ARZ 47","run","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"10:55","no",1,5,"-ARZ 40","run","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"10:18","no",2,5,"-ARZ 40","run","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"9:41","no",1,10,"-ARZ 27","run","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"9:11","no",1,15,"-ARZ 32","pass","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"8:24","yes",2,21,"-ARZ 38","pass","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"7:45","yes",3,12,"-ARZ 29","pass","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"7:01","no",1,6,"-ARZ 6","run","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"6:19","yes",2,4,"-ARZ 4","pass","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"6:15","yes",3,4,"-ARZ 4","pass","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"6:11","no",1,1,"-ARZ 1","run","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"5:25","no",2,1,"-ARZ 1","pass","LV"
"cardinals_at_raiders_2022_reg_2","Arizona Cardinals",1,"5:22","yes",1,10,"-ARZ 25","pass","ARI"
"cardinals_at_raiders_2022_reg_2","Arizona Cardinals",1,"4:47","yes",2,4,"-ARZ 31","run","ARI"
"cardinals_at_raiders_2022_reg_2","Arizona Cardinals",1,"3:22","yes",1,10,"-ARZ 38","run","ARI"
"cardinals_at_raiders_2022_reg_2","Arizona Cardinals",1,"2:05","yes",3,14,"-ARZ 34","pass","ARI"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,"1:21","no",1,5,"-LV 25","pass","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,":52","no",1,10,"-LV 44","run","LV"
"cardinals_at_raiders_2022_reg_2","Las Vegas Raiders",1,":07","no",2,6,"-LV 48","pass","LV"
