"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",1,"15:00","no",1,10,"-LA 25","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",1,"14:19","no",2,2,"-LA 33","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",1,"13:43","yes",1,10,"-LA 39","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",1,"12:40","yes",2,15,"-LA 34","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",1,"11:58","yes",3,8,"-LA 41","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",1,"11:16","no",4,1,"-LA 48","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",1,"9:45","yes",3,3,"-ARZ 43","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",1,"9:11","no",1,10,"-ARZ 39","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",1,"8:28","yes",1,10,"-ARZ 25","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",1,"7:42","yes",2,9,"-ARZ 24","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",1,"7:01","yes",3,9,"-ARZ 24","run","LAR"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",1,"6:16","no",1,10,"-ARZ 25","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",1,"5:51","yes",2,9,"-ARZ 26","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",1,"5:17","yes",3,4,"-ARZ 31","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",1,"4:54","yes",1,10,"-ARZ 45","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",1,"4:51","yes",2,10,"-ARZ 45","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",1,"4:45","yes",3,15,"-ARZ 40","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",1,"4:06","yes",4,2,"-LA 47","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",1,"3:40","no",1,10,"-LA 43","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",1,"3:36","yes",2,10,"-LA 43","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",1,"2:58","yes",3,4,"-LA 37","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",1,"2:21","yes",1,10,"-LA 25","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",1,"1:45","yes",2,6,"-LA 21","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",1,"1:02","yes",3,4,"-LA 19","run","ARI"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",1,":08","no",1,10,"-LA 24","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",2,"15:00","yes",2,6,"-LA 28","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",2,"14:52","yes",3,6,"-LA 28","pass","LAR"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"14:35","yes",1,10,"-ARZ 28","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"13:51","yes",2,8,"-ARZ 30","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"13:11","yes",3,3,"-ARZ 35","pass","ARI"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",2,"12:56","yes",1,10,"-LA 33","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",2,"12:18","yes",2,13,"-LA 30","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",2,"12:15","yes",3,13,"-LA 30","pass","LAR"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"11:33","yes",1,10,"-ARZ 33","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"11:28","yes",2,10,"-ARZ 33","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"11:24","yes",3,10,"-ARZ 33","pass","ARI"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",2,"10:39","no",1,10,"-LA 20","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",2,"10:01","no",2,8,"-LA 22","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",2,"8:48","yes",3,11,"-LA 19","pass","LAR"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"8:27","yes",1,10,"-ARZ 34","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"7:54","yes",2,8,"-ARZ 36","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"6:47","yes",1,10,"-LA 38","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"6:11","yes",2,2,"-LA 30","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"5:39","yes",1,10,"-LA 26","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"5:01","yes",2,3,"-LA 19","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"4:23","yes",3,2,"-LA 18","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"4:04","yes",1,10,"-LA 15","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"3:22","yes",2,6,"-LA 11","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"3:19","yes",3,6,"-LA 11","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"2:37","no",4,1,"-LA 6","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"2:00","no",1,4,"-LA 4","run","ARI"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",2,"1:56","yes",1,10,"-LA 25","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",2,"1:51","yes",2,2,"-LA 33","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",2,"1:44","yes",1,10,"-LA 44","pass","LAR"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"1:34","yes",1,10,"-LA 30","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,"1:13","yes",1,10,"-LA 17","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,":39","yes",2,5,"-LA 12","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,":33","yes",1,6,"-LA 6","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",2,":29","yes",2,6,"-LA 6","pass","ARI"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",2,":19","no",1,10,"-LA 6","run","LAR"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"15:00","yes",1,10,"-ARZ 25","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"14:56","no",2,10,"-ARZ 25","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"14:11","yes",3,3,"-ARZ 32","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"14:08","yes",1,10,"-ARZ 35","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"13:37","yes",1,20,"-ARZ 25","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"13:30","yes",2,20,"-ARZ 25","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"12:53","yes",3,15,"-ARZ 30","pass","ARI"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"12:11","no",1,10,"-LA 26","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"11:37","no",1,10,"-LA 36","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"9:51","yes",3,14,"-LA 32","run","LAR"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"8:57","yes",1,10,"-ARZ 20","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"8:53","yes",2,22,"-ARZ 8","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"8:14","yes",3,16,"-ARZ 14","run","ARI"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"7:31","no",1,10,"-LA 41","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"6:47","yes",1,10,"-ARZ 34","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"6:42","yes",2,10,"-ARZ 34","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"5:57","no",1,10,"-ARZ 21","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"5:13","yes",1,10,"-ARZ 10","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"4:33","yes",2,14,"-ARZ 14","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"4:29","yes",3,4,"-ARZ 4","run","LAR"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"4:19","yes",1,10,"-ARZ 15","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"3:45","no",2,2,"-ARZ 23","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"3:01","no",3,1,"-ARZ 24","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"2:20","yes",1,10,"-ARZ 28","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"1:44","no",1,10,"-LA 47","run","ARI"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,":35","yes",3,15,"-ARZ 48","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"14:54","yes",1,10,"-LA 12","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"14:48","yes",2,10,"-LA 12","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"14:24","no",1,10,"-LA 22","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"14:18","yes",1,20,"-LA 12","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"13:40","yes",2,16,"-LA 16","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"13:01","yes",3,8,"-LA 24","pass","LAR"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"12:44","yes",1,10,"-ARZ 40","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"12:07","no",2,4,"-ARZ 46","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"11:27","yes",3,1,"-ARZ 49","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"10:44","no",1,10,"-LA 48","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"9:19","yes",3,17,"-ARZ 45","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"8:45","yes",4,3,"-LA 41","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"8:33","yes",1,10,"-LA 15","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"7:48","no",2,4,"-LA 9","run","ARI"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"7:41","yes",1,10,"-LA 25","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"7:37","yes",2,10,"-LA 25","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"7:12","no",3,1,"-LA 34","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"6:38","yes",4,1,"-LA 34","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"6:12","yes",1,10,"-LA 35","pass","LAR"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"5:33","no",1,10,"-LA 25","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"4:48","no",2,11,"-LA 26","run","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"4:43","no",3,8,"-LA 23","pass","ARI"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,"4:33","yes",3,13,"-LA 28","run","ARI"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"3:44","yes",1,10,"-LA 25","run","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"3:28","yes",2,1,"-LA 34","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"3:00","yes",1,10,"-LA 44","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"2:40","yes",2,3,"-ARZ 49","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"2:14","yes",1,10,"-ARZ 43","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"2:00","yes",1,10,"-ARZ 30","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,"1:40","yes",2,4,"-ARZ 24","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,":38","yes",2,14,"-ARZ 14","pass","LAR"
"cardinals_at_rams_2022_reg_10","Los Angeles Rams",3,":14","yes",3,3,"-ARZ 3","pass","LAR"
"cardinals_at_rams_2022_reg_10","Arizona Cardinals",3,":02","no",1,10,"-ARZ 24","run","ARI"
