"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"14:55","yes",1,10,"-ARZ 19","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"14:21","yes",2,7,"-ARZ 22","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"13:45","yes",3,4,"-ARZ 25","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"13:03","yes",1,10,"-SEA 33","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"12:30","yes",2,6,"-SEA 29","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"12:26","yes",3,6,"-SEA 29","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"11:38","yes",1,3,"-SEA 3","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"11:03","yes",2,1,"-SEA 1","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"10:27","yes",3,5,"-SEA 5","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",1,"10:20","yes",1,15,"-SEA 20","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",1,"10:15","yes",2,15,"-SEA 20","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",1,"9:31","yes",3,5,"-SEA 30","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",1,"8:57","yes",1,10,"-SEA 47","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",1,"8:16","no",1,10,"-ARZ 19","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",1,"7:31","yes",2,6,"-ARZ 15","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"6:41","no",1,10,"-ARZ 25","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"6:10","yes",2,8,"-ARZ 27","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"5:29","yes",3,6,"-ARZ 29","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"4:50","yes",1,10,"-ARZ 41","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"4:18","yes",2,6,"-ARZ 45","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"3:48","yes",1,10,"-SEA 48","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"3:07","yes",2,7,"-SEA 45","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"3:01","yes",3,7,"-SEA 45","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"2:18","no",1,10,"-SEA 37","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"1:59","yes",2,4,"-SEA 31","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,"1:25","yes",1,10,"-SEA 26","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,":48","yes",2,3,"-SEA 19","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",1,":13","yes",3,6,"-SEA 22","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",2,"15:00","yes",4,4,"-SEA 20","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"14:55","no",1,10,"-SEA 20","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"14:24","no",2,7,"-SEA 23","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"13:43","no",3,1,"-SEA 29","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",2,"12:49","yes",1,10,"-ARZ 24","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",2,"12:13","yes",2,7,"-ARZ 27","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"10:49","no",1,10,"-SEA 40","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"10:19","yes",2,7,"-SEA 43","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"9:54","yes",1,10,"-ARZ 45","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"9:24","yes",2,2,"-ARZ 37","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"9:05","yes",1,10,"-ARZ 26","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"8:30","no",2,3,"-ARZ 19","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"7:52","no",1,10,"-ARZ 15","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"7:22","yes",2,8,"-ARZ 13","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"6:53","yes",3,2,"-ARZ 7","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",2,"5:59","yes",1,10,"-ARZ 25","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",2,"5:13","yes",1,10,"-ARZ 49","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",2,"4:42","yes",2,10,"-ARZ 49","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"3:12","yes",1,10,"-SEA 18","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"2:41","yes",2,3,"-SEA 25","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"2:04","no",3,1,"-SEA 27","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"1:52","yes",2,10,"-SEA 29","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"1:41","yes",2,20,"-SEA 19","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"1:36","yes",3,21,"-SEA 18","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",2,"1:17","yes",1,10,"-ARZ 36","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,"1:06","yes",3,22,"-ARZ 24","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,":55","yes",1,10,"-SEA 32","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,":31","yes",1,10,"-ARZ 46","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,":23","yes",1,10,"-ARZ 22","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,":17","yes",2,3,"-ARZ 15","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,":14","yes",1,14,"-ARZ 15","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",2,":09","yes",2,14,"-ARZ 15","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,"15:00","yes",1,10,"-SEA 25","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,"14:24","yes",2,3,"-SEA 32","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",3,"13:26","yes",1,10,"-ARZ 40","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",3,"13:04","yes",2,6,"-ARZ 44","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",3,"12:53","yes",2,15,"-ARZ 35","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",3,"12:31","yes",1,10,"-SEA 49","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",3,"11:20","yes",1,10,"-SEA 35","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",3,"10:43","yes",2,9,"-SEA 34","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",3,"9:56","yes",3,3,"-SEA 28","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",3,"9:19","yes",4,2,"-SEA 27","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,"9:11","yes",1,10,"-SEA 28","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,"8:38","no",2,6,"-SEA 32","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,"8:33","yes",1,10,"-SEA 47","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,"8:10","yes",1,10,"-ARZ 41","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,"7:24","no",2,6,"-ARZ 37","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,"6:39","yes",3,6,"-ARZ 37","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,"6:35","yes",1,10,"-ARZ 32","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,"5:47","yes",1,10,"-ARZ 11","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,"5:11","no",2,9,"-ARZ 10","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",3,"4:11","yes",1,10,"-ARZ 25","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",3,"3:47","yes",1,10,"-SEA 43","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",3,"3:06","yes",2,12,"-SEA 45","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,"2:20","yes",1,10,"-SEA 19","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,"1:45","yes",2,12,"-SEA 17","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,":54","no",1,10,"-SEA 25","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",3,":20","no",1,10,"-SEA 40","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"15:00","no",1,10,"-ARZ 44","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"14:30","yes",1,10,"-ARZ 27","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"14:25","yes",2,10,"-ARZ 27","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"13:55","yes",3,4,"-ARZ 21","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"13:31","yes",1,10,"-ARZ 11","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"13:24","yes",1,10,"-ARZ 25","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"12:53","yes",2,4,"-ARZ 31","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"12:34","yes",1,10,"-ARZ 38","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"11:59","yes",2,5,"-ARZ 43","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"11:35","yes",1,10,"-SEA 31","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"11:29","yes",2,10,"-SEA 31","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"10:50","yes",3,6,"-SEA 27","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"10:06","yes",1,10,"-SEA 35","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"9:26","yes",2,13,"-SEA 32","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"8:03","yes",2,19,"-ARZ 8","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"7:59","yes",3,19,"-ARZ 8","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"7:41","no",1,10,"-ARZ 48","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"7:04","yes",2,8,"-ARZ 46","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"6:59","yes",3,8,"-ARZ 46","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"6:40","yes",1,10,"-ARZ 7","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"6:20","yes",2,3,"-ARZ 14","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"6:13","yes",3,3,"-ARZ 14","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"6:10","yes",4,3,"-ARZ 14","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"5:50","yes",1,10,"-ARZ 20","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"5:44","yes",2,10,"-ARZ 20","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"5:21","yes",1,10,"-ARZ 30","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"4:59","yes",1,10,"-ARZ 45","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"4:30","yes",2,17,"-ARZ 38","run","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,"4:04","yes",3,11,"-ARZ 44","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"3:52","yes",1,10,"-SEA 25","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"3:08","no",2,9,"-SEA 26","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"3:01","yes",3,6,"-SEA 29","pass","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"2:22","no",1,10,"-SEA 46","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"2:12","no",2,10,"-SEA 46","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"2:05","no",2,19,"-SEA 37","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Seattle Seahawks",4,"2:00","no",3,19,"-SEA 37","run","SEA"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,":36","yes",2,18,"-ARZ 22","pass","ARI"
"cardinals_at_seahawks_2022_reg_6","Arizona Cardinals",4,":24","yes",3,13,"-ARZ 27","pass","ARI"
