"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"15:00","no",1,5,"-MIN 30","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"14:32","no",2,2,"-MIN 33","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"13:49","no",3,1,"-MIN 34","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"13:17","no",1,10,"-MIN 37","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"12:34","no",2,3,"-MIN 44","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"11:55","no",1,10,"-MIN 49","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"11:51","yes",2,10,"-MIN 49","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"11:07","no",1,10,"-ARZ 23","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"10:27","no",2,4,"-ARZ 17","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"10:20","yes",3,4,"-ARZ 17","run","MIN"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"10:12","yes",1,10,"-ARZ 25","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"9:50","yes",1,10,"-ARZ 40","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"9:18","yes",2,10,"-ARZ 40","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"9:02","yes",1,10,"-MIN 45","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"8:26","yes",2,3,"-MIN 38","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"7:42","yes",1,10,"-MIN 29","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"6:58","yes",2,10,"-MIN 29","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"6:13","yes",3,7,"-MIN 26","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"6:04","no",1,10,"-MIN 25","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"5:53","no",2,1,"-MIN 34","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"5:15","no",3,1,"-MIN 34","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"4:42","no",1,10,"-MIN 49","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"4:36","yes",1,10,"-ARZ 46","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"4:03","yes",2,7,"-ARZ 43","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"3:19","yes",3,2,"-ARZ 38","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"3:13","yes",4,2,"-ARZ 38","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"3:09","yes",1,10,"-ARZ 39","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"2:07","yes",2,2,"-ARZ 47","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"1:24","yes",1,10,"-MIN 49","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"1:19","yes",2,10,"-MIN 49","run","ARI"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"14:54","no",1,10,"-MIN 17","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"14:11","yes",1,10,"-MIN 36","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"13:31","yes",1,10,"-MIN 47","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"12:29","no",1,10,"-ARZ 43","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"12:05","no",1,10,"-ARZ 27","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"11:29","yes",1,10,"-ARZ 12","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"11:25","no",1,10,"-ARZ 10","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"10:45","no",2,8,"-ARZ 8","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"9:59","no",3,1,"-ARZ 1","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"9:54","yes",1,10,"-ARZ 25","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"9:18","yes",1,10,"-ARZ 36","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"9:13","yes",2,10,"-ARZ 36","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"8:30","yes",3,10,"-ARZ 36","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"7:45","no",1,10,"-MIN 49","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"6:27","yes",3,18,"-ARZ 43","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"5:45","no",1,10,"-MIN 4","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"5:04","yes",2,9,"-MIN 5","run","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"4:37","no",1,10,"-MIN 16","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"3:59","yes",2,3,"-MIN 23","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,"3:55","yes",3,3,"-MIN 23","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"3:39","yes",1,10,"-ARZ 28","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"3:19","yes",2,2,"-ARZ 36","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"2:51","yes",1,10,"-ARZ 43","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"2:27","yes",1,10,"-MIN 41","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"2:00","yes",2,8,"-MIN 39","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"1:41","yes",1,10,"-MIN 26","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"1:09","yes",2,3,"-MIN 19","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,"1:03","yes",1,10,"-MIN 14","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,":59","yes",2,10,"-MIN 14","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",1,":50","yes",3,2,"-MIN 6","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,":47","yes",1,10,"-MIN 25","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,":29","yes",2,1,"-MIN 34","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,":21","yes",1,5,"-MIN 45","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,":18","yes",2,5,"-MIN 45","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,":11","yes",1,10,"-ARZ 41","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",1,":07","yes",2,9,"-ARZ 40","pass","MIN"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",2,"15:00","yes",1,10,"-ARZ 25","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",2,"14:31","yes",1,20,"-ARZ 15","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",2,"14:11","yes",1,27,"-ARZ 8","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",2,"13:31","yes",2,24,"-ARZ 11","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",2,"13:13","yes",3,20,"-ARZ 15","run","ARI"
"cardinals_at_vikings_2022_reg_8","Arizona Cardinals",2,"12:31","yes",3,15,"-ARZ 20","pass","ARI"
"cardinals_at_vikings_2022_reg_8","Minnesota Vikings",2,"12:09","no",1,10,"-MIN 25","run","MIN"
