"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,"15:00","no",1,10,"-LAC 25","run","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,"14:42","no",2,10,"-LAC 25","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,"14:07","yes",3,4,"-LAC 31","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,"13:34","no",1,10,"-LAC 45","run","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,"13:00","yes",2,9,"-LAC 46","run","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,"12:22","yes",3,4,"-SF 49","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,"11:42","no",1,10,"-SF 32","pass","LAC"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",1,"11:29","no",1,10,"-SF 31","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",1,"10:54","no",2,6,"-SF 35","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",1,"10:34","no",3,1,"-SF 40","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",1,"9:54","yes",1,10,"-SF 47","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",1,"9:15","yes",2,11,"-SF 46","pass","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",1,"8:33","yes",3,6,"-LAC 49","pass","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",1,"7:53","yes",1,10,"-LAC 42","pass","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",1,"7:07","no",1,10,"-LAC 22","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",1,"6:29","no",2,3,"-LAC 15","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",1,"6:08","no",3,1,"-LAC 13","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",1,"5:30","yes",1,9,"-LAC 9","pass","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",1,"5:25","yes",2,9,"-LAC 9","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",1,"4:44","yes",3,2,"-LAC 2","run","SF"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,"4:06","yes",1,10,"-LAC 13","run","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,"3:32","no",2,8,"-LAC 15","run","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,"2:51","yes",3,4,"-LAC 19","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,"2:18","no",1,10,"-LAC 44","run","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,"1:37","yes",2,8,"-LAC 46","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,":56","yes",3,3,"-SF 49","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,":34","no",1,10,"-SF 32","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",1,":29","yes",2,10,"-SF 32","run","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"15:00","yes",3,7,"-SF 29","pass","LAC"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"14:52","no",1,10,"-SF 25","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"14:09","yes",2,11,"-SF 24","pass","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"13:48","yes",3,5,"-SF 30","pass","SF"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"13:34","no",1,10,"-LAC 30","run","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"12:54","yes",2,11,"-LAC 29","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"12:50","yes",3,11,"-LAC 29","pass","LAC"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"12:08","yes",1,10,"-SF 24","pass","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"12:03","yes",2,10,"-SF 24","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"11:23","yes",3,3,"-SF 31","run","SF"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"10:25","no",1,10,"-SF 46","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"9:41","no",2,2,"-SF 38","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"9:18","no",3,1,"-SF 37","run","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"8:43","yes",1,10,"-SF 35","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"8:38","yes",2,10,"-SF 35","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"8:06","no",1,2,"-SF 2","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"7:26","yes",3,8,"-SF 8","pass","LAC"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"6:42","no",1,10,"-SF 25","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"5:38","no",2,12,"-SF 23","pass","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"5:33","yes",3,12,"-SF 23","pass","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"4:49","yes",1,10,"-SF 44","pass","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"4:14","yes",1,10,"-LAC 23","pass","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"3:32","yes",2,4,"-LAC 17","pass","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"2:54","yes",1,5,"-LAC 5","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"2:06","no",2,2,"-LAC 2","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",2,"2:00","no",3,1,"-LAC 1","run","SF"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"1:57","yes",1,10,"-LAC 25","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"1:38","yes",2,9,"-LAC 26","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"1:33","yes",1,10,"-LAC 43","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"1:13","yes",2,2,"-SF 49","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,"1:09","yes",3,2,"-SF 49","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,":45","yes",2,17,"-LAC 49","run","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,":38","yes",3,6,"-SF 40","run","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,":30","yes",1,10,"-SF 20","pass","LAC"
"chargers_at_49ers_2022_reg_10","Los Angeles Chargers",2,":27","yes",2,10,"-SF 20","pass","LAC"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",3,"15:00","yes",1,10,"-SF 25","pass","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",3,"14:26","yes",1,10,"-SF 46","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",3,"13:48","no",1,10,"-LAC 39","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",3,"13:07","no",2,5,"-LAC 34","run","SF"
"chargers_at_49ers_2022_reg_10","San Francisco 49ers",3,"12:48","no",3,1,"-LAC 30","run","SF"
