"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chargers_at_browns_2022_reg_5","Cleveland Browns",1,"15:00","no",1,10,"-CLV 25","run","CLE"
"chargers_at_browns_2022_reg_5","Cleveland Browns",1,"14:21","yes",2,9,"-CLV 26","pass","CLE"
"chargers_at_browns_2022_reg_5","Cleveland Browns",1,"13:36","no",1,10,"-CLV 36","run","CLE"
"chargers_at_browns_2022_reg_5","Cleveland Browns",1,"12:12","no",2,1,"-LAC 41","run","CLE"
"chargers_at_browns_2022_reg_5","Los Angeles Chargers",1,"11:57","yes",1,10,"-LAC 17","pass","LAC"
"chargers_at_browns_2022_reg_5","Los Angeles Chargers",1,"11:31","no",1,10,"-LAC 27","pass","LAC"
"chargers_at_browns_2022_reg_5","Los Angeles Chargers",1,"11:27","no",2,10,"-LAC 27","run","LAC"
"chargers_at_browns_2022_reg_5","Los Angeles Chargers",1,"10:48","yes",3,2,"-LAC 35","run","LAC"
"chargers_at_browns_2022_reg_5","Los Angeles Chargers",1,"10:27","yes",1,10,"-CLV 49","run","LAC"
"chargers_at_browns_2022_reg_5","Los Angeles Chargers",1,"9:54","no",2,9,"-CLV 48","pass","LAC"
"chargers_at_browns_2022_reg_5","Los Angeles Chargers",1,"9:23","no",1,10,"-CLV 36","pass","LAC"
"chargers_at_browns_2022_reg_5","Los Angeles Chargers",1,"9:19","yes",2,10,"-CLV 36","pass","LAC"
"chargers_at_browns_2022_reg_5","Los Angeles Chargers",1,"8:59","yes",3,2,"-CLV 28","pass","LAC"
"chargers_at_browns_2022_reg_5","Los Angeles Chargers",1,"8:56","yes",4,2,"-CLV 28","pass","LAC"
"chargers_at_browns_2022_reg_5","Cleveland Browns",1,"8:52","no",1,10,"-CLV 28","pass","CLE"
"chargers_at_browns_2022_reg_5","Cleveland Browns",1,"8:16","no",1,10,"-CLV 48","run","CLE"
"chargers_at_browns_2022_reg_5","Cleveland Browns",1,"6:53","no",1,10,"-LAC 33","run","CLE"
"chargers_at_browns_2022_reg_5","Cleveland Browns",1,"6:31","yes",2,6,"-LAC 29","pass","CLE"
"chargers_at_browns_2022_reg_5","Cleveland Browns",1,"5:54","no",1,10,"-LAC 23","run","CLE"
"chargers_at_browns_2022_reg_5","Cleveland Browns",1,"5:12","yes",2,7,"-LAC 20","pass","CLE"
"chargers_at_browns_2022_reg_5","Cleveland Browns",1,"4:46","no",3,1,"-LAC 14","run","CLE"
