"game","possession_team","quarter","time","shotgun","down","yards_to_first","yards_to_endzone","run_pass","Abbreviation"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",1,"15:00","yes",1,10,"-LAC 25","run","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",1,"14:29","yes",2,3,"-LAC 32","pass","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",1,"14:24","yes",3,3,"-LAC 32","pass","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",1,"13:52","no",1,10,"-LAC 45","run","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",1,"13:14","no",2,7,"-LAC 48","run","LAC"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"11:44","yes",1,10,"-ARZ 12","pass","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"11:16","yes",1,10,"-ARZ 23","run","ARI"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",1,"10:27","yes",1,10,"-ARZ 47","pass","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",1,"10:00","no",2,4,"-ARZ 41","pass","LAC"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"9:05","no",1,10,"-ARZ 18","run","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"8:42","yes",1,19,"-ARZ 9","run","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"8:11","yes",2,8,"-ARZ 20","pass","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"7:25","yes",1,10,"-ARZ 37","run","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"6:50","yes",2,2,"-ARZ 45","run","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"6:15","yes",1,10,"-LAC 49","run","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"5:36","no",2,3,"-LAC 42","run","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"4:55","yes",3,4,"-LAC 43","pass","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"4:13","yes",1,10,"-LAC 38","pass","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"3:25","yes",2,10,"-LAC 38","pass","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"2:41","yes",3,5,"-LAC 33","pass","ARI"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",1,"2:33","yes",1,10,"-LAC 25","run","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",1,"2:15","no",2,12,"-LAC 23","pass","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",1,"2:08","yes",3,17,"-LAC 18","pass","LAC"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"1:51","yes",1,10,"-LAC 44","run","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,"1:09","yes",2,2,"-LAC 36","run","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",1,":23","yes",3,2,"-LAC 36","run","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",2,"15:00","yes",1,10,"-LAC 29","run","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",2,"14:24","yes",2,6,"-LAC 25","pass","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",2,"14:19","yes",3,6,"-LAC 25","pass","ARI"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",2,"14:03","yes",1,10,"-LAC 25","pass","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",2,"13:36","yes",2,2,"-LAC 33","pass","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",2,"13:31","yes",3,2,"-LAC 33","pass","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",2,"12:49","no",1,10,"-LAC 37","pass","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",2,"11:46","no",1,10,"-ARZ 38","pass","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",2,"11:13","no",2,1,"-ARZ 29","run","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",2,"10:55","no",3,1,"-ARZ 29","run","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",2,"10:08","no",1,10,"-ARZ 28","pass","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",2,"9:30","yes",1,10,"-ARZ 17","run","LAC"
"chargers_at_cardinals_2022_reg_12","Los Angeles Chargers",2,"8:55","yes",1,2,"-ARZ 2","pass","LAC"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",2,"8:51","yes",1,10,"-ARZ 25","pass","ARI"
"chargers_at_cardinals_2022_reg_12","Arizona Cardinals",2,"8:45","yes",2,10,"-ARZ 25","pass","ARI"
